date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-23,8854.7,8848.0,8851.75,8862.8,8860.55,8857.7,8854.7,8859.6,8853.65,8859.3,8853.3,8843.7,8835.9,8820.35,8813.85,8813.05,8815.75,8818.3,8805.45,8811.6,8806.75,8805.05,8799.4,8806.15,8810.15,8802.9,8805.1,8807.0,8804.1,8808.95,8815.65,8820.85,8814.8,8811.4,8812.65,8807.7,8807.85,8812.9,8811.65,8812.9,8814.95,8812.7,8811.65,8813.65,8814.75,8820.1,8820.05,8822.4,8822.6,8820.3,8824.1,8821.15,8809.8,8810.05,8813.5,8818.95,8834.4,8829.8,8833.2,8830.35,8828.05,8827.25,8827.65,8826.75,8828.45,8822.4,8827.15,8825.7,8826.1,8846.85,8842.95,8834.85,8831.1,8830.4,8823.55
2015-01-30,8961.3,8964.9,8949.1,8949.75,8948.3,8941.0,8923.5,8926.55,8925.5,8932.85,8932.95,8925.6,8926.8,8934.75,8933.85,8914.6,8916.6,8919.4,8917.3,8912.8,8904.5,8904.9,8886.45,8868.1,8869.6,8880.7,8855.0,8843.9,8844.6,8830.85,8843.75,8837.35,8834.55,8838.2,8833.0,8834.85,8847.3,8854.95,8846.05,8851.9,8834.85,8833.6,8833.75,8840.3,8843.8,8836.1,8831.3,8835.1,8832.35,8830.95,8832.7,8841.5,8834.7,8851.9,8844.3,8843.65,8839.95,8834.9,8809.5,8799.1,8799.15,8794.1,8783.3,8797.9,8796.2,8808.2,8799.9,8799.35,8796.8,8806.8,8809.1,8808.05,8807.5,8806.55,8821.45
2015-02-06,8707.1,8721.8,8712.4,8707.1,8694.5,8713.35,8706.35,8714.1,8710.6,8714.7,8703.3,8696.0,8687.0,8682.75,8687.1,8681.15,8672.25,8675.5,8669.4,8671.2,8670.05,8687.25,8682.65,8686.6,8686.15,8684.25,8674.2,8681.75,8679.05,8695.4,8690.75,8701.2,8697.35,8699.7,8693.0,8692.5,8704.85,8708.35,8709.1,8701.9,8711.0,8701.2,8708.65,8706.4,8714.85,8707.9,8703.85,8687.0,8679.55,8688.1,8690.15,8681.6,8683.55,8682.75,8695.4,8689.45,8694.95,8692.3,8686.05,8688.2,8670.1,8670.4,8670.1,8668.55,8661.0,8668.05,8679.75,8671.1,8674.45,8660.0,8660.45,8654.7,8666.45,8667.85,8666.0
2015-02-13,8748.65,8741.3,8747.95,8759.85,8752.0,8760.9,8760.95,8764.25,8763.45,8753.3,8754.65,8754.4,8757.75,8752.7,8750.5,8751.0,8748.85,8752.65,8743.7,8743.9,8736.55,8746.65,8745.5,8747.1,8742.75,8743.7,8749.7,8747.25,8748.9,8755.15,8753.05,8758.85,8763.65,8779.65,8776.5,8769.35,8766.65,8760.05,8770.2,8770.05,8779.2,8778.45,8774.1,8775.7,8784.85,8790.2,8780.95,8775.7,8780.4,8785.4,8784.65,8788.9,8789.6,8792.25,8783.35,8790.85,8782.3,8780.85,8788.95,8797.2,8796.95,8794.6,8801.5,8800.6,8805.05,8811.7,8813.65,8814.65,8810.65,8820.3,8813.15,8808.05,8792.75,8794.65,8803.05
2015-02-20,8879.6,8876.95,8853.95,8839.2,8827.65,8823.95,8830.55,8834.75,8833.35,8831.6,8831.2,8835.8,8844.8,8851.6,8837.4,8846.0,8847.05,8842.9,8845.4,8842.05,8839.2,8849.85,8840.85,8845.3,8848.35,8854.5,8863.95,8863.2,8871.35,8872.05,8878.95,8872.3,8870.5,8867.1,8868.4,8863.45,8851.6,8857.65,8857.8,8857.4,8854.65,8857.35,8863.75,8862.05,8861.55,8869.8,8868.8,8865.1,8869.35,8875.55,8880.3,8886.9,8874.1,8878.2,8868.45,8864.5,8838.1,8840.65,8862.25,8865.15,8861.9,8866.0,8869.55,8863.85,8861.9,8859.75,8859.9,8854.7,8849.3,8844.3,8838.25,8833.75,8829.15,8823.05,8827.7
2015-02-27,8735.25,8732.85,8737.95,8735.25,8739.65,8739.8,8733.7,8732.75,8727.3,8731.05,8732.0,8736.0,8739.45,8733.1,8736.1,8737.45,8740.75,8734.8,8721.15,8729.65,8724.6,8730.45,8736.05,8731.6,8731.1,8736.2,8748.7,8750.25,8764.75,8761.3,8760.1,8761.1,8764.65,8773.5,8769.75,8773.0,8771.6,8777.2,8766.3,8761.8,8767.45,8779.5,8775.55,8772.2,8776.9,8778.4,8790.7,8804.55,8808.85,8807.6,8803.65,8802.0,8798.15,8818.9,8821.5,8820.85,8818.05,8810.8,8817.05,8815.6,8810.05,8810.15,8812.6,8819.8,8814.5,8809.1,8816.15,8815.55,8829.4,8842.15,8843.7,8851.55,8840.5,8844.8,8850.65
2015-03-20,8607.6,8606.55,8597.3,8619.85,8621.4,8610.5,8605.35,8610.25,8609.15,8600.7,8596.75,8597.9,8603.1,8596.4,8599.25,8603.3,8598.7,8590.55,8582.1,8589.65,8597.55,8602.25,8592.2,8603.95,8600.95,8605.8,8607.15,8611.45,8611.65,8610.05,8610.9,8595.8,8591.5,8587.4,8582.95,8592.45,8592.0,8585.0,8585.45,8598.3,8590.2,8584.9,8588.6,8588.05,8584.2,8581.85,8566.9,8578.75,8578.85,8588.15,8601.7,8599.4,8600.5,8591.75,8591.85,8594.2,8588.2,8593.05,8589.6,8582.55,8566.3,8592.3,8587.15,8586.6,8588.1,8584.25,8575.05,8572.7,8583.85,8577.9,8573.3,8570.05,8565.0,8570.75,8584.85
2015-03-27,8375.5,8392.1,8380.05,8369.55,8357.7,8352.25,8362.1,8355.8,8363.95,8358.35,8352.2,8361.8,8360.75,8354.05,8355.3,8339.35,8338.85,8352.15,8349.1,8354.1,8359.7,8367.1,8361.8,8358.8,8351.7,8355.8,8351.3,8347.25,8348.15,8336.55,8342.0,8344.4,8341.4,8340.05,8321.25,8325.05,8312.35,8310.55,8302.9,8296.3,8296.7,8280.7,8277.25,8285.0,8290.65,8297.25,8302.6,8300.4,8291.05,8310.55,8314.3,8320.05,8351.15,8338.25,8339.15,8345.65,8325.9,8329.5,8328.4,8333.3,8331.9,8329.9,8338.35,8321.95,8327.5,8332.05,8353.2,8354.8,8354.4,8347.95,8333.45,8346.1,8339.65,8342.05,8348.05
2015-04-10,8763.1,8763.75,8765.9,8770.15,8767.6,8774.2,8773.15,8772.95,8770.6,8780.65,8770.85,8763.65,8763.1,8769.2,8768.0,8764.45,8761.2,8765.0,8763.25,8769.25,8768.65,8769.75,8769.2,8765.65,8762.95,8749.45,8753.1,8753.95,8742.1,8748.25,8753.3,8761.05,8760.1,8760.7,8753.7,8758.8,8754.85,8756.65,8750.2,8747.8,8751.7,8753.05,8753.35,8756.05,8756.35,8755.5,8758.55,8748.35,8744.95,8745.25,8745.8,8748.75,8754.8,8743.0,8748.85,8750.85,8751.3,8758.95,8758.6,8760.5,8758.45,8761.05,8763.0,8765.15,8767.05,8762.25,8765.1,8766.65,8767.6,8776.8,8780.05,8782.55,8777.25,8776.3,8767.55
2015-04-17,8693.7,8672.7,8678.1,8669.55,8668.1,8660.6,8658.5,8662.8,8656.4,8660.85,8647.7,8644.4,8643.35,8650.45,8647.35,8655.9,8656.35,8656.4,8658.3,8649.15,8660.65,8659.95,8662.1,8664.9,8666.25,8668.45,8664.25,8660.7,8661.25,8657.9,8652.1,8659.6,8654.8,8655.75,8654.55,8650.6,8650.7,8653.2,8647.9,8646.65,8656.25,8662.35,8653.05,8653.65,8652.4,8650.95,8640.05,8640.6,8648.4,8641.65,8642.0,8644.85,8640.85,8638.55,8648.05,8648.65,8645.65,8650.1,8632.45,8638.2,8641.5,8646.15,8644.95,8647.05,8633.4,8629.4,8633.35,8632.1,8617.75,8613.7,8611.8,8600.5,8606.0,8602.55,8602.05
