date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-12,8267.6,8257.95,8265.6,8262.85,8256.7,8271.1,8270.5,8274.6,8285.9,8281.5,8274.05,8284.1,8294.05,8293.15,8293.35,8288.05,8281.4,8285.7,8288.7,8279.25,8284.35,8286.15,8283.9,8281.35,8281.3,8283.7,8285.95,8286.5,8281.45,8280.95,8280.65,8284.65,8287.75,8291.0,8281.65,8268.6,8263.0,8255.35,8257.45,8263.6,8264.2,8268.1,8269.05,8267.3,8270.85,8269.85,8268.7,8272.8,8267.9,8272.75,8267.85,8275.1,8277.45,8277.55,8281.5,8282.6,8282.0,8290.55,8289.75,8283.3,8287.25,8309.45,8319.35,8317.1,8317.0,8310.3,8304.95,8303.8,8305.85,8320.05,8321.0,8319.95,8328.55,8329.25,8326.55
2015-02-02,8790.5,8775.55,8788.1,8780.55,8774.35,8787.1,8790.1,8795.45,8797.8,8792.75,8783.15,8777.25,8782.2,8777.25,8784.8,8779.6,8789.8,8795.35,8794.85,8790.45,8786.9,8786.8,8787.4,8786.75,8788.8,8789.4,8784.05,8787.6,8785.1,8781.25,8775.55,8769.25,8759.65,8761.75,8757.55,8768.5,8764.25,8757.8,8760.4,8763.75,8760.85,8764.6,8761.8,8756.55,8759.05,8760.7,8758.05,8758.45,8758.9,8759.4,8778.9,8792.75,8834.4,8810.7,8826.9,8818.5,8810.7,8833.25,8829.15,8826.25,8810.35,8811.35,8802.05,8793.35,8787.8,8785.25,8782.95,8779.5,8783.8,8799.85,8798.4,8797.05,8796.55,8800.6,8798.15
2015-02-09,8590.95,8596.85,8585.4,8581.95,8589.7,8587.25,8586.45,8571.55,8569.5,8551.95,8556.15,8562.4,8555.15,8572.0,8574.9,8566.15,8567.45,8564.4,8570.05,8573.15,8567.9,8566.95,8557.8,8556.95,8563.45,8576.55,8579.85,8574.4,8577.65,8577.1,8574.15,8576.75,8577.8,8574.25,8567.4,8565.95,8570.9,8569.8,8572.8,8575.5,8576.4,8577.25,8588.45,8584.9,8586.85,8579.5,8581.95,8582.4,8587.35,8589.75,8579.3,8581.9,8580.05,8573.6,8566.65,8568.85,8567.3,8569.85,8568.8,8564.15,8564.55,8554.45,8561.0,8549.05,8555.05,8550.2,8554.75,8560.7,8546.7,8544.55,8522.5,8525.2,8526.25,8529.0,8518.3
2015-02-16,8836.45,8839.9,8855.4,8860.1,8857.5,8853.85,8847.25,8849.75,8844.55,8850.5,8849.6,8861.95,8852.55,8853.0,8865.4,8864.9,8868.5,8862.1,8859.1,8851.4,8847.45,8850.1,8849.5,8846.4,8835.05,8827.25,8822.4,8827.6,8823.3,8832.0,8830.65,8830.75,8829.2,8842.0,8826.85,8822.6,8826.6,8833.2,8834.3,8834.05,8832.2,8830.65,8830.1,8828.3,8831.7,8829.8,8826.5,8826.65,8826.7,8827.55,8828.85,8830.05,8827.45,8834.15,8834.7,8839.45,8842.3,8832.55,8832.6,8839.15,8837.15,8845.95,8844.55,8849.5,8849.65,8839.3,8841.15,8837.25,8843.8,8828.25,8815.05,8803.75,8806.05,8802.95,8808.7
2015-02-23,8858.95,8856.6,8853.3,8847.7,8857.0,8864.1,8866.6,8864.65,8862.0,8851.6,8842.2,8842.05,8850.7,8851.7,8850.95,8854.1,8856.55,8854.5,8852.25,8854.4,8848.6,8847.65,8850.65,8849.8,8847.75,8838.65,8841.2,8844.8,8845.55,8848.65,8839.65,8832.45,8838.05,8840.1,8848.75,8847.6,8847.35,8843.45,8845.1,8848.55,8848.6,8848.1,8847.9,8845.0,8841.1,8842.95,8843.3,8850.6,8847.6,8850.2,8845.05,8853.8,8842.0,8843.65,8842.85,8814.3,8822.5,8824.45,8784.75,8776.35,8771.4,8776.15,8767.0,8772.95,8762.85,8764.1,8755.0,8760.1,8759.1,8770.2,8774.2,8759.9,8741.6,8745.2,8742.8
2015-03-02,8956.4,8935.55,8937.8,8945.3,8967.85,8963.95,8960.55,8959.6,8960.8,8957.25,8952.6,8960.4,8970.85,8961.1,8951.2,8947.8,8951.2,8942.15,8933.1,8924.15,8926.0,8919.95,8926.45,8927.35,8913.75,8903.7,8913.95,8914.05,8903.4,8891.7,8905.75,8907.3,8893.6,8891.7,8898.1,8903.75,8894.0,8908.9,8920.75,8926.55,8919.65,8913.0,8916.5,8917.45,8922.9,8913.05,8904.1,8898.8,8901.1,8902.8,8894.2,8908.5,8910.35,8912.75,8916.3,8918.25,8915.5,8925.05,8917.45,8928.25,8918.05,8928.0,8937.0,8936.2,8936.6,8936.1,8923.5,8920.35,8927.1,8944.05,8962.6,8958.8,8960.15,8965.95,8961.55
2015-03-09,8836.15,8838.3,8829.3,8830.55,8811.75,8816.3,8812.2,8818.1,8824.45,8826.35,8817.0,8818.85,8814.65,8811.0,8817.4,8816.95,8822.1,8824.7,8821.55,8819.25,8822.5,8821.9,8816.1,8812.95,8809.9,8805.05,8810.25,8810.3,8814.1,8817.4,8822.95,8817.7,8816.6,8809.35,8812.95,8820.9,8815.45,8821.75,8818.2,8818.6,8815.45,8812.55,8813.95,8814.55,8818.8,8818.1,8817.55,8788.9,8791.3,8782.95,8787.7,8776.85,8774.1,8764.0,8764.25,8775.3,8780.7,8784.55,8779.9,8777.45,8776.2,8777.3,8777.45,8781.15,8792.1,8777.55,8774.65,8765.1,8770.2,8771.3,8762.65,8758.25,8752.25,8752.0,8743.25
2015-03-23,8591.7,8600.8,8591.45,8581.2,8581.1,8565.55,8573.25,8579.4,8582.45,8579.3,8571.65,8575.8,8578.8,8575.95,8583.2,8582.15,8578.5,8576.6,8577.55,8568.3,8577.0,8576.15,8577.1,8575.9,8574.05,8570.25,8572.2,8579.7,8575.35,8580.9,8587.6,8585.1,8590.6,8590.15,8589.7,8590.7,8590.05,8589.1,8588.15,8588.7,8580.35,8579.85,8580.65,8581.95,8577.0,8582.8,8578.75,8578.1,8580.1,8586.0,8584.5,8575.0,8564.15,8558.0,8561.05,8549.95,8562.25,8565.8,8550.35,8550.7,8549.4,8550.35,8561.45,8559.15,8558.7,8552.65,8546.5,8555.0,8550.85,8556.0,8558.2,8554.8,8549.3,8547.5,8550.95
2015-03-30,8391.0,8384.15,8387.3,8398.25,8400.55,8408.65,8404.85,8399.3,8408.75,8410.7,8407.1,8399.75,8404.95,8403.4,8405.75,8409.95,8420.8,8427.2,8429.3,8427.2,8422.45,8413.2,8415.2,8417.75,8416.65,8419.3,8414.55,8403.55,8405.7,8406.75,8407.9,8404.1,8408.15,8410.55,8401.9,8403.3,8403.3,8407.1,8406.55,8409.85,8412.45,8411.6,8421.45,8425.65,8422.5,8428.5,8430.2,8428.0,8441.0,8446.8,8442.8,8442.85,8447.05,8448.15,8459.85,8462.8,8465.5,8461.05,8457.35,8462.6,8469.4,8468.3,8462.85,8460.0,8458.6,8470.9,8472.45,8478.15,8480.15,8484.8,8492.05,8492.5,8486.5,8493.4,8501.35
2015-04-06,8596.05,8584.75,8582.6,8583.75,8589.05,8587.9,8590.95,8583.0,8581.15,8583.1,8588.35,8588.6,8600.4,8592.55,8591.05,8584.45,8589.45,8593.75,8591.85,8587.95,8587.6,8590.45,8588.45,8587.75,8589.45,8588.9,8583.7,8581.4,8580.35,8586.1,8590.05,8591.0,8584.1,8584.8,8577.15,8577.55,8584.35,8584.55,8587.7,8581.3,8588.95,8589.9,8591.6,8592.0,8592.2,8598.1,8595.8,8604.8,8605.7,8609.15,8604.0,8606.5,8608.95,8615.5,8625.25,8622.95,8625.35,8616.65,8623.15,8628.7,8619.95,8625.15,8637.0,8636.35,8642.1,8644.45,8653.2,8652.25,8646.75,8658.2,8660.65,8657.9,8662.85,8662.05,8652.0
