date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-15,8429.3,8425.8,8416.9,8430.1,8416.55,8412.85,8408.85,8409.55,8422.35,8417.6,8413.4,8407.8,8403.55,8407.5,8408.45,8406.55,8407.75,8404.35,8414.25,8417.6,8418.85,8419.9,8423.55,8433.3,8432.5,8432.65,8431.95,8442.0,8455.4,8463.4,8457.7,8460.4,8463.4,8462.15,8454.15,8459.75,8459.05,8460.65,8460.3,8461.8,8465.35,8471.85,8482.75,8474.15,8475.85,8475.5,8474.85,8472.65,8474.6,8476.25,8476.5,8482.85,8483.75,8481.65,8476.3,8476.05,8479.4,8483.5,8489.2,8491.1,8493.75,8491.5,8491.35,8508.65,8507.95,8512.15,8526.5,8515.85,8516.55,8507.1,8502.35,8510.75,8498.1,8463.55,8461.15
2015-01-22,8751.25,8745.15,8741.55,8744.45,8747.1,8754.65,8760.65,8761.15,8760.55,8758.0,8756.35,8762.05,8765.35,8764.1,8766.9,8767.45,8770.85,8768.15,8770.85,8761.4,8752.8,8757.8,8748.35,8754.7,8754.2,8752.1,8755.35,8757.9,8759.75,8760.7,8756.05,8758.1,8760.9,8764.05,8761.35,8758.45,8753.4,8756.05,8752.35,8746.25,8754.35,8755.15,8753.55,8748.75,8746.6,8746.35,8744.85,8746.65,8749.9,8746.5,8749.0,8745.95,8759.65,8748.45,8749.75,8746.15,8743.15,8740.95,8736.45,8735.35,8735.5,8743.6,8741.7,8740.2,8739.75,8740.7,8738.9,8737.25,8735.55,8752.3,8755.2,8760.3,8771.95,8769.9,8762.2
2015-01-29,8870.9,8869.4,8870.65,8862.65,8865.3,8872.95,8877.45,8878.1,8880.3,8879.4,8873.3,8873.4,8878.4,8883.75,8883.1,8886.25,8889.9,8890.35,8884.75,8880.45,8878.85,8879.9,8880.4,8872.75,8870.35,8869.1,8867.7,8872.8,8874.5,8877.55,8878.9,8882.65,8887.1,8888.2,8897.5,8900.15,8895.25,8886.85,8888.05,8886.35,8888.25,8887.45,8880.2,8882.9,8883.95,8887.3,8876.85,8876.65,8878.5,8882.7,8886.05,8891.0,8901.4,8894.6,8896.75,8896.45,8895.75,8884.35,8879.2,8883.2,8882.65,8882.85,8878.2,8879.0,8895.85,8887.75,8891.55,8888.8,8894.2,8959.5,8957.0,8953.45,8954.2,8951.3,8950.2
2015-02-05,8710.15,8734.05,8730.65,8736.0,8732.65,8742.7,8741.35,8738.35,8740.95,8753.4,8753.15,8757.4,8764.8,8762.25,8751.85,8751.35,8760.1,8751.0,8748.25,8745.05,8751.15,8749.4,8751.15,8752.95,8754.05,8761.1,8761.0,8756.85,8754.35,8747.75,8747.15,8743.6,8748.8,8752.3,8754.85,8751.75,8751.8,8754.9,8761.25,8753.4,8755.15,8754.8,8755.55,8760.85,8757.6,8760.95,8759.35,8778.55,8797.55,8807.35,8806.6,8796.6,8796.2,8802.85,8800.85,8803.65,8812.35,8830.55,8832.0,8824.15,8826.05,8817.3,8823.5,8820.35,8805.15,8793.2,8795.8,8786.55,8756.95,8744.3,8729.25,8708.0,8696.7,8694.55,8699.4
2015-02-12,8662.95,8660.9,8651.7,8636.0,8638.2,8642.7,8640.15,8642.3,8647.55,8648.55,8633.95,8634.4,8619.2,8630.05,8631.65,8636.25,8635.2,8630.25,8628.1,8639.25,8627.55,8631.35,8632.35,8629.5,8627.45,8623.35,8618.15,8606.7,8612.4,8606.6,8607.4,8611.55,8616.45,8615.65,8605.7,8612.9,8614.15,8614.7,8615.35,8605.6,8611.2,8614.8,8613.75,8612.6,8607.35,8610.25,8606.6,8611.95,8619.25,8621.45,8619.0,8618.85,8622.05,8627.75,8626.4,8638.55,8632.35,8640.5,8637.05,8651.3,8656.15,8651.5,8650.4,8654.95,8666.8,8682.0,8688.35,8681.3,8681.55,8689.2,8715.05,8721.95,8718.4,8721.55,8728.4
2015-02-19,8892.65,8900.15,8888.1,8885.25,8883.5,8890.3,8893.4,8884.3,8890.25,8892.15,8896.6,8894.6,8895.05,8890.8,8884.35,8882.0,8866.5,8852.0,8854.35,8859.45,8839.4,8820.5,8812.85,8826.4,8819.9,8825.65,8827.0,8822.35,8827.85,8835.8,8834.85,8839.85,8827.4,8833.25,8833.5,8831.1,8835.85,8832.85,8833.35,8840.15,8839.8,8845.1,8849.05,8846.1,8840.65,8839.6,8827.45,8832.4,8835.05,8836.65,8836.2,8837.4,8823.5,8834.9,8844.15,8831.3,8819.9,8816.2,8804.45,8804.3,8808.0,8819.6,8826.25,8832.45,8828.05,8838.05,8857.5,8849.45,8858.25,8880.85,8891.4,8904.0,8910.85,8900.7,8898.35
2015-02-26,8754.05,8748.1,8756.9,8749.05,8742.4,8736.6,8742.3,8746.1,8747.95,8747.4,8748.45,8747.8,8737.2,8740.5,8747.1,8748.3,8744.9,8745.3,8747.4,8737.15,8738.8,8743.5,8737.85,8745.3,8756.3,8751.15,8751.4,8752.25,8744.6,8747.05,8748.9,8746.9,8742.85,8738.45,8735.75,8739.4,8741.75,8740.65,8738.9,8733.45,8736.6,8718.9,8722.35,8718.3,8717.35,8717.65,8721.35,8734.1,8719.3,8723.35,8722.75,8710.9,8693.05,8684.8,8692.0,8691.9,8692.85,8696.75,8708.6,8708.4,8708.1,8713.85,8717.4,8717.85,8729.1,8720.55,8704.15,8717.8,8699.2,8678.15,8676.85,8680.85,8683.6,8685.05,8694.65
2015-03-05,8928.9,8940.65,8943.85,8939.0,8930.4,8923.65,8921.2,8910.4,8901.4,8914.85,8918.35,8918.45,8931.1,8935.9,8933.15,8935.4,8926.15,8925.05,8923.75,8916.55,8924.55,8930.7,8928.85,8927.65,8925.45,8929.2,8930.6,8929.45,8917.15,8910.35,8906.9,8896.75,8904.9,8907.7,8894.85,8906.05,8907.1,8905.7,8906.35,8901.75,8907.85,8900.1,8867.7,8878.65,8871.25,8876.3,8853.95,8862.75,8865.45,8871.2,8875.7,8869.9,8875.45,8866.85,8869.7,8884.35,8909.2,8904.9,8901.2,8915.2,8910.0,8893.85,8897.2,8898.25,8901.85,8901.05,8904.35,8920.25,8916.15,8911.45,8941.25,8952.05,8941.65,8934.05,8937.75
2015-03-12,8737.1,8756.8,8769.45,8764.7,8761.35,8767.0,8768.95,8767.8,8766.6,8763.85,8752.95,8755.85,8763.35,8754.05,8756.8,8756.65,8763.8,8761.95,8767.75,8765.8,8756.6,8761.1,8759.15,8759.45,8757.1,8764.6,8763.7,8761.25,8757.25,8758.9,8761.35,8760.45,8754.0,8751.85,8746.0,8751.5,8747.5,8754.4,8756.65,8761.3,8766.35,8762.7,8760.9,8759.8,8756.55,8753.5,8750.15,8754.95,8756.2,8753.45,8754.1,8745.9,8753.35,8753.7,8755.45,8754.55,8762.65,8765.8,8766.95,8756.45,8753.2,8751.9,8755.45,8761.15,8762.0,8765.25,8759.75,8757.1,8756.7,8767.6,8774.2,8780.25,8774.95,8779.2,8771.4
2015-03-19,8738.55,8735.1,8743.45,8772.6,8782.45,8775.7,8776.05,8776.3,8775.75,8778.5,8786.25,8779.0,8776.55,8768.05,8768.0,8772.55,8764.7,8763.4,8766.25,8757.8,8746.45,8745.6,8745.95,8742.65,8747.45,8749.45,8751.4,8732.0,8728.95,8731.35,8734.9,8738.35,8736.05,8740.2,8743.6,8744.0,8741.45,8744.25,8746.0,8750.65,8752.55,8743.85,8739.15,8741.7,8732.1,8737.6,8737.75,8736.5,8743.75,8753.3,8745.6,8745.1,8743.9,8745.1,8746.15,8744.75,8741.3,8742.7,8736.45,8743.3,8746.65,8741.7,8705.25,8697.65,8703.95,8695.85,8692.15,8688.25,8658.95,8651.7,8616.4,8634.15,8632.7,8628.5,8622.9
