date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-13,8340.8,8334.15,8330.95,8327.8,8332.2,8340.45,8342.8,8343.95,8339.7,8335.35,8339.55,8336.7,8334.15,8335.3,8337.9,8337.65,8340.75,8343.65,8341.85,8342.6,8337.95,8336.6,8335.55,8336.4,8338.3,8328.95,8329.3,8326.95,8334.05,8333.25,8333.4,8341.85,8338.5,8339.05,8339.45,8340.0,8340.35,8342.6,8335.65,8334.45,8325.5,8328.65,8327.2,8330.65,8332.6,8334.25,8336.95,8340.65,8354.85,8346.9,8352.15,8346.05,8349.9,8351.0,8351.75,8355.5,8352.4,8349.35,8352.15,8339.25,8338.35,8329.65,8318.05,8300.35,8302.15,8276.65,8276.35,8280.05,8281.75,8284.45,8298.55,8304.8,8304.9,8308.7,8303.8
2015-01-20,8581.9,8583.8,8584.55,8589.0,8592.25,8592.6,8594.9,8592.25,8590.95,8591.3,8593.95,8598.3,8598.75,8595.0,8595.1,8596.3,8594.5,8598.5,8602.65,8603.35,8600.85,8603.4,8603.2,8599.25,8594.95,8592.55,8596.7,8596.6,8597.45,8596.95,8600.75,8601.45,8605.3,8603.6,8600.0,8603.9,8606.8,8612.75,8615.3,8619.35,8620.05,8624.55,8618.5,8616.3,8616.65,8620.4,8624.3,8624.45,8621.05,8617.15,8626.05,8630.15,8630.55,8641.6,8635.25,8642.25,8645.45,8647.95,8655.65,8654.6,8660.5,8670.2,8663.95,8666.7,8673.75,8682.2,8688.55,8688.45,8692.45,8700.05,8701.05,8689.85,8690.45,8691.4,8691.25
2015-01-27,8844.65,8839.15,8849.3,8846.55,8846.4,8854.5,8852.45,8855.55,8857.1,8856.65,8855.55,8854.3,8859.4,8856.8,8856.2,8855.3,8854.7,8850.3,8849.1,8849.95,8849.3,8849.6,8843.8,8847.15,8847.5,8846.3,8843.55,8845.95,8836.85,8837.55,8835.7,8829.5,8832.75,8826.35,8832.55,8833.45,8841.55,8841.5,8843.65,8834.15,8837.3,8842.25,8839.35,8838.05,8836.3,8840.55,8846.3,8850.2,8849.9,8848.25,8848.05,8863.25,8855.5,8851.0,8852.5,8846.7,8849.45,8851.15,8848.55,8851.15,8859.7,8861.2,8872.2,8876.2,8881.9,8883.6,8898.25,8894.25,8895.75,8911.25,8917.2,8915.5,8912.15,8904.15,8904.2
2015-02-03,8823.2,8817.65,8817.65,8823.4,8824.9,8817.1,8818.95,8815.75,8802.95,8802.4,8803.0,8801.2,8788.8,8792.45,8794.0,8798.5,8803.0,8806.3,8803.5,8800.05,8801.3,8788.65,8799.75,8828.45,8824.0,8814.9,8808.85,8799.3,8798.4,8794.15,8759.0,8745.85,8734.2,8752.65,8746.6,8741.65,8736.7,8743.15,8739.25,8742.3,8749.05,8758.15,8747.85,8745.1,8737.25,8740.15,8731.3,8733.6,8731.95,8738.35,8739.3,8745.75,8748.2,8756.35,8765.8,8791.95,8777.5,8774.5,8778.15,8770.35,8777.75,8773.85,8783.15,8771.45,8762.85,8759.7,8770.05,8772.5,8772.0,8773.7,8772.05,8761.8,8752.55,8741.5,8746.65
2015-02-10,8534.4,8547.65,8546.6,8551.65,8564.55,8581.1,8611.2,8593.25,8585.3,8566.9,8582.05,8583.95,8582.3,8591.5,8584.2,8592.5,8599.35,8601.2,8602.35,8596.15,8597.4,8593.65,8604.95,8600.55,8631.2,8631.25,8631.95,8640.35,8625.4,8624.1,8622.9,8613.95,8614.65,8601.1,8595.35,8580.9,8560.6,8572.25,8579.25,8582.1,8578.15,8577.8,8591.55,8585.35,8583.3,8572.4,8571.45,8569.65,8573.25,8565.05,8556.65,8556.35,8552.05,8551.9,8556.1,8541.9,8527.6,8509.05,8487.15,8495.65,8503.9,8484.9,8503.65,8517.45,8545.6,8542.1,8555.9,8578.4,8570.15,8567.85,8565.2,8552.3,8564.65,8574.05,8578.85
2015-02-24,8762.7,8755.75,8762.05,8766.3,8765.55,8771.8,8771.7,8757.45,8759.25,8752.95,8756.5,8755.55,8765.15,8770.55,8775.45,8776.4,8766.35,8766.75,8763.6,8756.75,8753.1,8739.2,8745.45,8749.35,8746.9,8748.6,8754.35,8760.0,8766.6,8758.0,8761.55,8767.95,8763.6,8759.3,8759.1,8763.65,8764.65,8760.7,8768.05,8767.7,8762.6,8758.6,8756.3,8746.0,8746.1,8749.8,8751.1,8753.15,8770.2,8768.45,8779.65,8782.9,8775.15,8779.1,8786.15,8791.7,8782.9,8789.95,8794.3,8774.65,8760.2,8763.75,8746.5,8754.35,8727.35,8740.6,8748.55,8752.65,8748.35,8756.8,8758.35,8770.1,8766.55,8759.55,8760.8
2015-03-03,8939.35,8940.1,8933.9,8950.0,8948.95,8960.4,8958.6,8946.85,8946.35,8956.55,8958.65,8952.3,8965.55,8965.55,8969.3,8956.2,8955.8,8958.3,8960.35,8959.8,8959.3,8954.3,8950.65,8952.05,8942.35,8939.8,8944.95,8944.55,8945.3,8951.05,8946.6,8948.05,8957.85,8958.35,8957.7,8961.2,8965.4,8961.8,8963.05,8963.15,8962.75,8963.55,8973.75,8976.8,8975.55,8979.0,8972.6,8976.85,8976.2,8977.0,8977.45,8982.8,8982.95,8983.35,8962.3,8965.55,8969.65,8977.0,8980.35,8981.95,8979.75,8979.3,8984.85,8981.5,8983.4,8984.9,8991.95,8989.7,8991.6,9004.4,9002.6,8989.95,8992.5,8993.75,8996.75
2015-03-10,8749.5,8739.85,8751.75,8756.1,8746.15,8749.9,8750.55,8737.55,8751.9,8751.6,8741.7,8734.15,8739.25,8749.65,8751.0,8757.85,8767.25,8754.05,8761.65,8766.15,8775.0,8769.2,8763.0,8759.85,8762.05,8764.8,8765.1,8766.65,8765.65,8758.35,8751.6,8752.25,8753.25,8749.5,8753.6,8753.65,8746.9,8751.55,8761.85,8763.05,8759.8,8758.05,8753.75,8762.9,8759.6,8753.8,8755.75,8734.15,8729.4,8736.9,8739.95,8741.55,8733.45,8723.35,8702.75,8701.85,8702.55,8708.65,8702.55,8709.35,8706.05,8701.25,8704.15,8688.95,8688.65,8696.9,8693.35,8677.65,8692.65,8689.7,8719.2,8717.3,8714.15,8721.75,8725.6
2015-03-17,8675.75,8679.4,8676.1,8671.0,8672.15,8666.8,8681.3,8685.15,8695.8,8713.3,8721.3,8723.25,8712.85,8726.7,8722.65,8718.5,8717.15,8715.4,8717.45,8721.4,8723.25,8722.75,8719.8,8722.25,8726.55,8727.9,8730.25,8730.8,8728.05,8719.2,8717.15,8714.8,8713.7,8698.15,8686.35,8682.0,8686.8,8684.85,8680.4,8684.6,8692.3,8682.65,8682.75,8680.25,8666.55,8657.25,8644.6,8653.85,8653.55,8649.6,8665.1,8657.5,8650.7,8632.85,8642.1,8645.05,8652.0,8653.55,8653.4,8658.1,8648.05,8656.7,8651.5,8645.8,8650.0,8652.15,8653.15,8656.25,8674.7,8702.75,8720.65,8731.55,8739.65,8730.2,8722.35
2015-03-24,8547.0,8560.55,8560.9,8559.75,8564.0,8565.5,8577.0,8576.45,8574.15,8578.05,8576.0,8578.45,8580.4,8579.0,8571.35,8570.25,8566.6,8570.25,8577.85,8586.05,8582.35,8583.95,8581.9,8582.15,8589.7,8590.25,8592.0,8601.1,8597.9,8592.15,8596.95,8591.65,8585.5,8576.1,8581.55,8585.8,8579.05,8581.95,8586.35,8587.75,8583.25,8581.95,8579.55,8579.35,8582.6,8581.75,8586.6,8579.7,8566.25,8560.6,8562.5,8551.95,8553.15,8558.4,8560.55,8573.35,8588.3,8615.85,8605.7,8621.6,8616.35,8608.7,8611.5,8617.15,8604.25,8578.85,8559.45,8558.55,8549.3,8537.6,8548.9,8541.8,8547.85,8542.85,8549.9
2015-03-31,8513.8,8506.1,8513.1,8515.9,8520.15,8527.3,8521.6,8517.7,8510.7,8515.6,8516.3,8513.5,8510.55,8510.7,8512.75,8516.5,8519.5,8522.25,8527.3,8526.85,8521.8,8520.45,8514.0,8519.8,8517.2,8518.1,8522.05,8520.7,8516.3,8521.1,8522.65,8522.8,8523.65,8522.5,8524.65,8527.6,8528.45,8532.85,8523.1,8517.7,8520.05,8525.7,8527.6,8525.7,8525.1,8521.15,8525.15,8528.45,8532.5,8532.3,8541.2,8539.2,8534.15,8538.8,8542.2,8539.8,8542.65,8542.4,8540.1,8535.55,8508.65,8487.35,8477.05,8476.2,8478.2,8478.2,8486.6,8482.25,8473.7,8491.5,8500.25,8494.75,8497.1,8491.85,8480.9
2015-04-07,8685.1,8681.85,8683.15,8678.95,8665.65,8657.65,8664.6,8665.1,8671.65,8666.95,8669.4,8670.3,8671.05,8666.15,8652.35,8653.3,8657.35,8654.7,8659.15,8649.4,8655.35,8643.75,8636.95,8616.8,8623.6,8635.8,8635.6,8639.95,8640.3,8645.15,8650.45,8674.75,8662.9,8637.05,8623.5,8614.05,8611.25,8609.2,8600.6,8612.8,8609.05,8599.9,8591.8,8604.95,8610.1,8616.0,8606.35,8607.95,8610.85,8598.05,8605.2,8604.75,8608.8,8604.85,8604.35,8604.8,8605.3,8595.5,8603.95,8615.85,8626.2,8630.25,8614.25,8622.25,8622.85,8631.45,8633.6,8620.15,8612.65,8638.35,8646.35,8666.95,8670.2,8680.25,8676.9
2015-04-21,8420.65,8458.1,8463.55,8450.65,8436.5,8431.65,8436.1,8435.4,8424.15,8404.6,8402.0,8420.0,8414.65,8400.9,8391.85,8396.05,8404.25,8417.65,8418.5,8420.8,8414.05,8424.7,8445.65,8428.85,8427.0,8436.9,8440.4,8451.2,8443.2,8440.35,8439.7,8442.5,8449.6,8444.85,8435.0,8422.85,8423.6,8425.1,8428.05,8436.65,8434.1,8440.4,8459.65,8458.45,8447.0,8443.15,8450.6,8456.35,8438.3,8442.0,8446.35,8437.4,8437.0,8422.65,8431.9,8435.0,8436.35,8432.1,8431.45,8431.2,8440.7,8435.75,8431.4,8415.9,8425.3,8410.4,8388.6,8402.75,8389.65,8378.85,8363.65,8368.4,8381.05,8388.75,8398.1
2015-04-28,8208.9,8216.9,8218.65,8223.4,8213.85,8222.9,8224.95,8235.55,8239.55,8251.5,8249.85,8242.85,8243.45,8262.15,8260.8,8261.65,8259.55,8251.9,8241.2,8236.6,8237.55,8245.8,8246.9,8250.5,8244.75,8240.4,8235.0,8238.6,8234.4,8232.75,8228.3,8213.65,8215.2,8203.2,8206.05,8210.15,8218.0,8221.6,8215.75,8218.7,8218.9,8217.4,8217.1,8220.0,8222.25,8217.8,8215.0,8201.5,8196.45,8203.7,8204.5,8203.0,8199.75,8202.1,8231.05,8231.6,8217.2,8213.25,8210.1,8215.05,8221.8,8220.5,8219.95,8238.45,8235.7,8252.15,8274.0,8295.85,8278.5,8304.3,8299.35,8297.05,8272.7,8262.1,8264.85
2015-05-05,8319.6,8323.65,8311.9,8304.85,8308.45,8314.85,8320.3,8323.4,8320.1,8313.55,8316.4,8320.1,8322.8,8329.85,8342.3,8337.3,8337.95,8342.75,8345.45,8343.95,8351.6,8350.35,8349.1,8349.85,8341.2,8346.5,8345.25,8346.15,8348.0,8342.65,8336.4,8329.7,8330.15,8319.05,8330.85,8333.4,8325.45,8331.65,8325.95,8323.4,8331.85,8330.3,8328.3,8327.4,8320.35,8325.35,8311.7,8298.15,8290.55,8297.0,8303.6,8305.4,8303.8,8305.25,8313.45,8315.7,8311.35,8310.55,8313.5,8318.65,8318.8,8314.85,8313.65,8302.35,8304.8,8309.45,8304.3,8319.2,8319.2,8319.8,8320.1,8326.15,8323.6,8325.3,8321.1
2015-05-12,8254.35,8250.1,8244.95,8214.0,8224.95,8212.0,8211.05,8210.7,8218.9,8216.4,8212.8,8180.1,8176.1,8165.7,8164.9,8171.4,8167.5,8177.8,8173.75,8171.75,8185.2,8181.6,8177.1,8169.6,8172.6,8180.25,8181.9,8181.2,8176.2,8175.9,8170.15,8171.35,8171.35,8165.75,8161.25,8153.35,8145.7,8150.9,8153.75,8159.25,8163.35,8151.6,8153.4,8145.2,8150.8,8152.05,8149.8,8144.75,8147.65,8146.65,8151.85,8150.35,8157.4,8153.9,8159.7,8158.5,8147.4,8139.05,8144.4,8138.85,8142.35,8147.85,8147.55,8141.4,8147.7,8142.1,8139.65,8142.35,8141.15,8127.15,8122.05,8119.25,8123.35,8136.15,8125.0
2015-05-19,8355.75,8358.8,8348.55,8339.05,8348.9,8350.95,8351.5,8353.95,8346.4,8344.95,8350.3,8357.8,8354.45,8356.1,8362.9,8359.05,8366.85,8368.5,8364.6,8360.25,8363.3,8358.4,8356.2,8361.05,8362.3,8363.35,8362.2,8362.6,8366.3,8378.05,8371.35,8372.35,8377.6,8384.6,8396.15,8399.25,8393.8,8397.25,8395.3,8392.1,8404.2,8400.8,8404.6,8408.55,8404.45,8402.7,8405.0,8406.8,8410.15,8410.85,8411.4,8409.15,8409.75,8410.65,8418.2,8419.85,8421.9,8424.3,8419.55,8395.45,8370.2,8336.85,8363.05,8366.75,8366.2,8356.4,8362.7,8371.25,8370.95,8378.25,8366.75,8368.55,8363.4,8357.75,8357.05
2015-05-26,8374.4,8366.1,8351.75,8343.35,8348.05,8343.75,8346.45,8354.3,8357.75,8359.1,8363.0,8368.6,8357.4,8353.65,8352.45,8350.25,8353.1,8353.85,8350.85,8359.55,8354.35,8354.5,8354.65,8354.15,8352.55,8353.65,8359.1,8358.35,8361.35,8358.5,8356.65,8354.9,8350.1,8352.5,8353.1,8354.6,8352.4,8349.6,8347.95,8348.7,8353.0,8350.95,8355.25,8355.4,8349.35,8349.85,8353.7,8350.4,8348.05,8340.3,8343.25,8344.45,8340.9,8338.95,8332.05,8335.75,8327.35,8324.85,8328.85,8329.85,8331.0,8333.45,8331.05,8325.6,8326.5,8325.65,8331.55,8330.3,8335.8,8333.2,8331.3,8332.3,8341.75,8349.35,8354.8
2015-06-02,8426.2,8412.9,8383.55,8385.65,8390.85,8390.6,8393.05,8392.5,8388.8,8395.0,8388.3,8395.75,8393.9,8394.5,8383.2,8378.2,8378.35,8377.6,8378.35,8375.25,8383.95,8360.3,8351.2,8354.75,8347.35,8340.0,8340.5,8320.8,8308.2,8312.05,8317.85,8326.2,8331.75,8340.4,8348.35,8352.25,8348.55,8350.6,8346.9,8348.35,8351.6,8346.05,8337.95,8324.0,8319.85,8325.1,8304.6,8305.05,8304.0,8301.3,8302.55,8312.6,8308.7,8290.05,8298.75,8297.7,8289.0,8283.5,8287.15,8278.65,8264.95,8272.05,8241.0,8247.5,8249.15,8249.25,8249.3,8264.1,8255.55,8251.0,8236.25,8236.6,8227.75,8230.1,8232.25
