date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-14,8304.85,8305.35,8300.7,8309.9,8313.7,8318.5,8321.3,8317.5,8312.15,8303.05,8303.8,8304.0,8297.5,8291.4,8303.85,8296.35,8300.65,8298.65,8306.95,8306.15,8304.65,8297.35,8290.5,8290.1,8284.1,8281.7,8289.5,8286.3,8282.0,8288.9,8292.05,8287.4,8283.6,8272.85,8276.8,8274.9,8275.6,8274.05,8247.15,8244.45,8247.6,8253.85,8250.15,8244.3,8252.45,8251.2,8251.5,8257.9,8257.85,8256.65,8255.5,8245.95,8253.5,8259.35,8253.2,8248.95,8256.75,8251.9,8272.65,8280.45,8292.2,8291.45,8285.2,8282.75,8269.4,8261.45,8255.8,8260.3,8263.65,8279.8,8271.6,8272.8,8280.25,8285.15,8287.75
2015-01-21,8707.7,8719.15,8716.15,8716.55,8730.9,8730.1,8732.2,8729.4,8736.35,8737.15,8720.6,8715.75,8721.55,8728.6,8728.1,8722.4,8725.6,8718.25,8715.0,8708.25,8703.65,8701.6,8702.1,8704.5,8697.9,8704.65,8711.05,8714.25,8717.3,8707.9,8711.4,8716.45,8719.1,8722.6,8725.35,8720.25,8718.15,8723.5,8723.0,8719.85,8718.4,8720.0,8711.55,8706.5,8715.2,8711.3,8714.85,8719.8,8720.0,8721.4,8718.2,8723.9,8729.85,8728.0,8722.8,8725.55,8725.45,8724.45,8717.25,8715.3,8706.3,8713.05,8709.95,8720.65,8719.8,8721.05,8731.2,8727.95,8723.0,8726.3,8730.5,8730.7,8727.15,8731.05,8728.05
2015-01-28,8899.35,8894.75,8904.7,8915.8,8903.95,8889.95,8901.7,8895.2,8902.9,8906.25,8912.55,8909.15,8902.1,8903.15,8906.2,8906.0,8905.9,8899.05,8902.45,8909.2,8914.85,8917.55,8929.3,8928.0,8944.5,8944.6,8957.2,8952.15,8953.05,8954.8,8957.65,8952.3,8954.55,8952.85,8957.1,8955.3,8958.0,8971.15,8976.85,8983.8,8958.55,8944.1,8925.75,8925.55,8928.2,8919.15,8925.6,8928.7,8932.05,8926.8,8912.35,8920.9,8910.6,8908.4,8905.6,8893.75,8900.85,8918.85,8911.4,8907.75,8891.5,8882.25,8890.65,8891.9,8881.05,8877.8,8885.9,8898.35,8898.6,8909.65,8913.95,8920.05,8913.3,8911.1,8906.8
2015-02-04,8769.8,8771.65,8771.5,8765.7,8769.1,8759.55,8770.15,8757.15,8761.15,8760.6,8748.45,8740.6,8735.1,8735.25,8745.8,8744.0,8746.1,8721.9,8724.2,8731.25,8731.0,8744.45,8753.25,8745.5,8744.55,8757.9,8755.85,8763.0,8749.45,8750.45,8753.2,8753.35,8758.1,8753.55,8745.9,8747.85,8745.6,8747.3,8746.1,8746.9,8743.95,8748.35,8746.15,8748.45,8759.4,8754.2,8764.75,8771.65,8767.85,8756.05,8757.2,8757.25,8752.9,8757.85,8758.15,8763.25,8765.75,8767.15,8762.15,8759.35,8760.95,8764.85,8760.25,8759.5,8763.95,8763.6,8762.35,8762.15,8747.15,8746.2,8738.55,8724.35,8719.1,8710.2,8713.95
2015-02-11,8610.75,8614.25,8607.7,8611.5,8610.35,8610.25,8596.1,8601.45,8607.55,8607.85,8608.5,8609.85,8625.8,8623.75,8623.45,8618.25,8620.45,8608.7,8603.3,8604.35,8607.9,8608.0,8613.25,8607.5,8606.75,8602.45,8603.45,8615.35,8612.85,8610.1,8612.75,8611.1,8611.0,8623.7,8617.7,8618.45,8617.75,8618.0,8622.15,8626.8,8623.55,8617.85,8617.55,8615.85,8619.3,8620.15,8640.7,8637.85,8644.0,8638.95,8636.5,8619.7,8613.2,8619.3,8622.7,8622.55,8623.2,8622.5,8624.2,8627.7,8627.9,8628.55,8640.75,8631.95,8635.5,8642.1,8641.0,8644.75,8635.05,8634.3,8626.65,8624.05,8627.9,8629.5,8635.5
2015-02-18,8832.65,8829.5,8827.35,8833.5,8835.6,8831.8,8834.3,8841.15,8841.3,8848.85,8848.1,8850.65,8848.05,8847.65,8853.35,8851.45,8856.85,8850.8,8856.9,8857.5,8846.1,8848.8,8850.1,8854.3,8857.4,8851.0,8853.35,8853.35,8859.9,8855.6,8852.7,8850.5,8851.25,8844.1,8849.85,8840.05,8839.95,8840.4,8845.15,8844.15,8845.25,8847.7,8847.25,8845.25,8853.65,8851.05,8853.5,8853.45,8858.35,8857.9,8852.5,8837.7,8843.4,8843.15,8848.4,8851.45,8861.35,8870.85,8866.65,8869.75,8871.35,8864.45,8865.85,8882.5,8883.35,8880.65,8892.5,8883.85,8884.75,8872.7,8870.6,8870.25,8861.75,8862.6,8865.25
2015-02-25,8807.55,8817.4,8828.35,8833.8,8829.65,8828.35,8821.95,8820.5,8822.0,8823.8,8813.85,8816.2,8813.65,8825.15,8823.85,8824.5,8819.15,8817.3,8816.5,8818.45,8813.55,8815.0,8815.8,8817.55,8819.75,8822.25,8818.0,8822.55,8824.6,8825.4,8823.3,8825.6,8820.85,8822.55,8822.25,8820.0,8822.6,8816.5,8822.65,8816.9,8814.9,8817.55,8825.4,8822.4,8826.7,8824.1,8820.7,8809.55,8814.55,8814.8,8811.8,8816.75,8816.05,8817.4,8816.45,8807.65,8794.05,8779.65,8785.8,8769.85,8773.2,8777.45,8779.1,8767.7,8771.55,8768.3,8770.15,8754.45,8767.35,8763.8,8763.1,8771.8,8768.1,8763.45,8765.25
2015-03-04,9088.1,9082.25,9069.05,9065.1,9071.0,9078.55,9071.05,9067.4,9069.35,9077.2,9084.1,9081.15,9080.1,9078.85,9073.5,9075.7,9078.75,9081.65,9077.75,9073.85,9066.6,9059.45,9061.4,9064.95,9067.9,9061.6,9052.3,9056.4,9058.65,9056.25,9053.25,9051.75,9042.45,9022.9,9038.0,9040.3,9047.65,9040.35,9039.75,9047.45,9044.8,9042.65,9042.0,9045.4,9057.6,9057.35,9048.85,9044.7,9039.6,9046.8,9042.25,9041.4,9052.7,9052.25,9047.3,9047.85,9053.25,9053.9,9038.95,9024.65,9023.25,9029.4,8996.6,8983.6,8978.15,8953.7,8942.9,8902.9,8925.25,8943.55,8925.9,8922.2,8917.55,8909.8,8918.4
2015-03-11,8725.0,8727.35,8735.55,8732.6,8722.25,8725.25,8722.6,8730.65,8738.2,8741.05,8738.25,8739.65,8737.35,8721.35,8709.95,8713.65,8721.15,8726.95,8726.55,8726.6,8723.05,8718.8,8710.8,8712.9,8708.25,8700.2,8700.85,8689.15,8696.45,8704.3,8705.05,8698.65,8694.4,8701.35,8710.45,8711.55,8708.75,8710.55,8721.2,8720.15,8715.55,8711.1,8710.75,8722.95,8720.45,8713.9,8713.65,8713.9,8712.65,8697.75,8696.25,8702.25,8703.25,8715.7,8716.6,8729.4,8720.65,8718.8,8723.9,8727.3,8732.15,8752.3,8747.8,8733.85,8736.35,8722.55,8724.5,8725.4,8721.35,8703.8,8710.55,8696.15,8693.9,8695.15,8701.8
2015-03-18,8712.05,8718.3,8716.75,8716.15,8714.5,8697.7,8689.9,8690.6,8701.25,8705.6,8703.85,8710.5,8711.25,8706.35,8699.05,8686.2,8690.15,8691.7,8695.0,8689.0,8692.8,8693.7,8697.85,8698.75,8694.35,8696.45,8707.1,8702.75,8698.05,8702.4,8713.15,8725.05,8721.85,8720.5,8719.85,8720.0,8719.25,8716.6,8716.2,8724.25,8725.7,8716.45,8715.45,8711.75,8716.2,8716.75,8715.15,8722.6,8719.55,8716.4,8704.5,8696.15,8698.85,8696.95,8691.5,8677.6,8687.05,8695.5,8692.1,8699.7,8699.35,8695.95,8693.6,8687.4,8689.4,8673.95,8680.95,8674.85,8676.8,8674.95,8688.25,8688.75,8685.7,8683.9,8680.9
