date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-12,8267.6,8257.95,8265.6,8262.85,8256.7,8271.1,8270.5,8274.6,8285.9,8281.5,8274.05,8284.1,8294.05,8293.15,8293.35,8288.05,8281.4,8285.7,8288.7,8279.25,8284.35,8286.15,8283.9,8281.35,8281.3,8283.7,8285.95,8286.5,8281.45,8280.95,8280.65,8284.65,8287.75,8291.0,8281.65,8268.6,8263.0,8255.35,8257.45,8263.6,8264.2,8268.1,8269.05,8267.3,8270.85,8269.85,8268.7,8272.8,8267.9,8272.75,8267.85,8275.1,8277.45,8277.55,8281.5,8282.6,8282.0,8290.55,8289.75,8283.3,8287.25,8309.45,8319.35,8317.1,8317.0,8310.3,8304.95,8303.8,8305.85,8320.05,8321.0,8319.95,8328.55,8329.25,8326.55
2015-01-13,8340.8,8334.15,8330.95,8327.8,8332.2,8340.45,8342.8,8343.95,8339.7,8335.35,8339.55,8336.7,8334.15,8335.3,8337.9,8337.65,8340.75,8343.65,8341.85,8342.6,8337.95,8336.6,8335.55,8336.4,8338.3,8328.95,8329.3,8326.95,8334.05,8333.25,8333.4,8341.85,8338.5,8339.05,8339.45,8340.0,8340.35,8342.6,8335.65,8334.45,8325.5,8328.65,8327.2,8330.65,8332.6,8334.25,8336.95,8340.65,8354.85,8346.9,8352.15,8346.05,8349.9,8351.0,8351.75,8355.5,8352.4,8349.35,8352.15,8339.25,8338.35,8329.65,8318.05,8300.35,8302.15,8276.65,8276.35,8280.05,8281.75,8284.45,8298.55,8304.8,8304.9,8308.7,8303.8
2015-01-14,8304.85,8305.35,8300.7,8309.9,8313.7,8318.5,8321.3,8317.5,8312.15,8303.05,8303.8,8304.0,8297.5,8291.4,8303.85,8296.35,8300.65,8298.65,8306.95,8306.15,8304.65,8297.35,8290.5,8290.1,8284.1,8281.7,8289.5,8286.3,8282.0,8288.9,8292.05,8287.4,8283.6,8272.85,8276.8,8274.9,8275.6,8274.05,8247.15,8244.45,8247.6,8253.85,8250.15,8244.3,8252.45,8251.2,8251.5,8257.9,8257.85,8256.65,8255.5,8245.95,8253.5,8259.35,8253.2,8248.95,8256.75,8251.9,8272.65,8280.45,8292.2,8291.45,8285.2,8282.75,8269.4,8261.45,8255.8,8260.3,8263.65,8279.8,8271.6,8272.8,8280.25,8285.15,8287.75
2015-01-15,8429.3,8425.8,8416.9,8430.1,8416.55,8412.85,8408.85,8409.55,8422.35,8417.6,8413.4,8407.8,8403.55,8407.5,8408.45,8406.55,8407.75,8404.35,8414.25,8417.6,8418.85,8419.9,8423.55,8433.3,8432.5,8432.65,8431.95,8442.0,8455.4,8463.4,8457.7,8460.4,8463.4,8462.15,8454.15,8459.75,8459.05,8460.65,8460.3,8461.8,8465.35,8471.85,8482.75,8474.15,8475.85,8475.5,8474.85,8472.65,8474.6,8476.25,8476.5,8482.85,8483.75,8481.65,8476.3,8476.05,8479.4,8483.5,8489.2,8491.1,8493.75,8491.5,8491.35,8508.65,8507.95,8512.15,8526.5,8515.85,8516.55,8507.1,8502.35,8510.75,8498.1,8463.55,8461.15
2015-01-20,8581.9,8583.8,8584.55,8589.0,8592.25,8592.6,8594.9,8592.25,8590.95,8591.3,8593.95,8598.3,8598.75,8595.0,8595.1,8596.3,8594.5,8598.5,8602.65,8603.35,8600.85,8603.4,8603.2,8599.25,8594.95,8592.55,8596.7,8596.6,8597.45,8596.95,8600.75,8601.45,8605.3,8603.6,8600.0,8603.9,8606.8,8612.75,8615.3,8619.35,8620.05,8624.55,8618.5,8616.3,8616.65,8620.4,8624.3,8624.45,8621.05,8617.15,8626.05,8630.15,8630.55,8641.6,8635.25,8642.25,8645.45,8647.95,8655.65,8654.6,8660.5,8670.2,8663.95,8666.7,8673.75,8682.2,8688.55,8688.45,8692.45,8700.05,8701.05,8689.85,8690.45,8691.4,8691.25
2015-01-21,8707.7,8719.15,8716.15,8716.55,8730.9,8730.1,8732.2,8729.4,8736.35,8737.15,8720.6,8715.75,8721.55,8728.6,8728.1,8722.4,8725.6,8718.25,8715.0,8708.25,8703.65,8701.6,8702.1,8704.5,8697.9,8704.65,8711.05,8714.25,8717.3,8707.9,8711.4,8716.45,8719.1,8722.6,8725.35,8720.25,8718.15,8723.5,8723.0,8719.85,8718.4,8720.0,8711.55,8706.5,8715.2,8711.3,8714.85,8719.8,8720.0,8721.4,8718.2,8723.9,8729.85,8728.0,8722.8,8725.55,8725.45,8724.45,8717.25,8715.3,8706.3,8713.05,8709.95,8720.65,8719.8,8721.05,8731.2,8727.95,8723.0,8726.3,8730.5,8730.7,8727.15,8731.05,8728.05
2015-01-22,8751.25,8745.15,8741.55,8744.45,8747.1,8754.65,8760.65,8761.15,8760.55,8758.0,8756.35,8762.05,8765.35,8764.1,8766.9,8767.45,8770.85,8768.15,8770.85,8761.4,8752.8,8757.8,8748.35,8754.7,8754.2,8752.1,8755.35,8757.9,8759.75,8760.7,8756.05,8758.1,8760.9,8764.05,8761.35,8758.45,8753.4,8756.05,8752.35,8746.25,8754.35,8755.15,8753.55,8748.75,8746.6,8746.35,8744.85,8746.65,8749.9,8746.5,8749.0,8745.95,8759.65,8748.45,8749.75,8746.15,8743.15,8740.95,8736.45,8735.35,8735.5,8743.6,8741.7,8740.2,8739.75,8740.7,8738.9,8737.25,8735.55,8752.3,8755.2,8760.3,8771.95,8769.9,8762.2
2015-01-23,8854.7,8848.0,8851.75,8862.8,8860.55,8857.7,8854.7,8859.6,8853.65,8859.3,8853.3,8843.7,8835.9,8820.35,8813.85,8813.05,8815.75,8818.3,8805.45,8811.6,8806.75,8805.05,8799.4,8806.15,8810.15,8802.9,8805.1,8807.0,8804.1,8808.95,8815.65,8820.85,8814.8,8811.4,8812.65,8807.7,8807.85,8812.9,8811.65,8812.9,8814.95,8812.7,8811.65,8813.65,8814.75,8820.1,8820.05,8822.4,8822.6,8820.3,8824.1,8821.15,8809.8,8810.05,8813.5,8818.95,8834.4,8829.8,8833.2,8830.35,8828.05,8827.25,8827.65,8826.75,8828.45,8822.4,8827.15,8825.7,8826.1,8846.85,8842.95,8834.85,8831.1,8830.4,8823.55
2015-01-27,8844.65,8839.15,8849.3,8846.55,8846.4,8854.5,8852.45,8855.55,8857.1,8856.65,8855.55,8854.3,8859.4,8856.8,8856.2,8855.3,8854.7,8850.3,8849.1,8849.95,8849.3,8849.6,8843.8,8847.15,8847.5,8846.3,8843.55,8845.95,8836.85,8837.55,8835.7,8829.5,8832.75,8826.35,8832.55,8833.45,8841.55,8841.5,8843.65,8834.15,8837.3,8842.25,8839.35,8838.05,8836.3,8840.55,8846.3,8850.2,8849.9,8848.25,8848.05,8863.25,8855.5,8851.0,8852.5,8846.7,8849.45,8851.15,8848.55,8851.15,8859.7,8861.2,8872.2,8876.2,8881.9,8883.6,8898.25,8894.25,8895.75,8911.25,8917.2,8915.5,8912.15,8904.15,8904.2
2015-01-28,8899.35,8894.75,8904.7,8915.8,8903.95,8889.95,8901.7,8895.2,8902.9,8906.25,8912.55,8909.15,8902.1,8903.15,8906.2,8906.0,8905.9,8899.05,8902.45,8909.2,8914.85,8917.55,8929.3,8928.0,8944.5,8944.6,8957.2,8952.15,8953.05,8954.8,8957.65,8952.3,8954.55,8952.85,8957.1,8955.3,8958.0,8971.15,8976.85,8983.8,8958.55,8944.1,8925.75,8925.55,8928.2,8919.15,8925.6,8928.7,8932.05,8926.8,8912.35,8920.9,8910.6,8908.4,8905.6,8893.75,8900.85,8918.85,8911.4,8907.75,8891.5,8882.25,8890.65,8891.9,8881.05,8877.8,8885.9,8898.35,8898.6,8909.65,8913.95,8920.05,8913.3,8911.1,8906.8
