date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-23,8855.85,8860.75,8857.2,8863.2,8866.15,8861.95,8861.9,8861.5,8863.7,8859.9,8860.95,8853.85,8843.75,8836.25,8821.15,8815.25,8821.8,8821.85,8819.1,8815.25,8816.6,8808.1,8808.85,8806.15,8811.55,8810.2,8807.15,8810.5,8808.3,8809.0,8815.65,8820.85,8820.95,8816.35,8815.15,8813.15,8810.3,8814.25,8815.45,8815.0,8815.1,8815.05,8813.45,8814.35,8815.35,8820.1,8827.9,8825.05,8824.45,8823.8,8827.45,8826.0,8822.5,8814.1,8815.1,8822.3,8837.0,8836.15,8836.8,8834.2,8831.55,8829.65,8828.6,8830.7,8830.4,8828.85,8829.6,8829.0,8827.85,8848.4,8849.6,8846.1,8837.05,8833.7,8832.3
2015-01-30,8996.6,8964.9,8971.3,8955.5,8950.6,8950.55,8941.5,8933.2,8926.7,8933.1,8934.1,8933.4,8935.3,8935.5,8934.55,8938.0,8923.2,8920.6,8921.1,8920.25,8914.75,8905.3,8905.2,8885.8,8873.2,8882.05,8882.3,8863.75,8856.1,8845.35,8845.45,8848.95,8841.35,8840.1,8838.8,8837.45,8847.55,8858.25,8855.9,8852.1,8853.05,8848.5,8839.15,8842.85,8844.75,8845.1,8836.0,8835.25,8839.45,8836.35,8838.6,8841.55,8848.15,8854.1,8854.25,8849.55,8845.9,8844.05,8835.75,8813.0,8807.0,8799.2,8795.6,8800.65,8798.55,8809.2,8810.1,8800.65,8800.4,8823.75,8815.45,8813.0,8809.85,8808.05,8824.35
2015-02-06,8712.9,8724.5,8722.85,8721.65,8709.3,8713.55,8722.4,8722.85,8725.8,8718.05,8716.6,8708.05,8700.85,8695.05,8690.75,8687.2,8681.9,8676.8,8683.0,8675.55,8681.7,8687.9,8689.7,8689.05,8689.15,8686.75,8687.4,8681.95,8684.55,8697.05,8697.35,8701.6,8706.0,8701.05,8700.75,8694.05,8705.1,8709.4,8713.35,8709.85,8711.0,8711.3,8712.1,8711.0,8715.4,8716.1,8708.15,8703.65,8693.6,8692.8,8692.25,8690.65,8686.4,8688.85,8697.4,8696.5,8695.9,8695.85,8693.25,8693.1,8689.1,8677.65,8678.75,8675.6,8671.2,8668.6,8684.6,8682.95,8678.2,8675.85,8664.45,8666.2,8666.7,8668.85,8669.5
2015-02-13,8749.35,8752.5,8752.15,8761.4,8759.6,8765.35,8764.75,8766.55,8766.05,8764.1,8757.3,8757.85,8760.0,8759.5,8757.55,8752.9,8757.45,8753.75,8753.7,8748.1,8747.55,8746.65,8748.95,8748.45,8747.25,8745.35,8750.8,8751.25,8749.7,8755.5,8755.35,8762.2,8767.4,8780.7,8780.4,8775.9,8775.2,8771.85,8770.7,8773.75,8780.6,8780.55,8780.3,8777.9,8785.05,8793.7,8795.65,8786.25,8782.65,8787.6,8790.75,8792.0,8792.6,8796.85,8793.1,8791.2,8792.45,8788.55,8792.4,8799.05,8799.05,8798.9,8806.8,8804.15,8812.35,8813.9,8817.0,8821.0,8814.7,8821.7,8821.65,8813.7,8809.8,8799.8,8803.15
2015-02-20,8895.5,8890.8,8879.25,8854.2,8842.25,8835.25,8836.65,8836.9,8839.5,8835.0,8834.45,8838.9,8849.0,8852.05,8851.3,8850.7,8851.5,8850.25,8848.05,8845.95,8842.55,8850.05,8848.8,8845.3,8848.6,8859.75,8864.15,8869.55,8876.85,8873.15,8883.05,8887.6,8872.7,8872.4,8869.9,8870.55,8863.95,8862.55,8861.55,8860.15,8859.65,8860.4,8866.2,8864.5,8867.8,8871.55,8874.85,8871.55,8874.4,8877.1,8880.4,8890.1,8889.35,8882.75,8881.05,8871.2,8869.15,8847.2,8862.65,8871.4,8871.45,8875.0,8870.25,8876.15,8869.3,8863.8,8862.75,8865.95,8860.1,8852.05,8850.4,8843.55,8836.7,8829.6,8830.85
2015-02-27,8757.25,8735.2,8741.45,8746.65,8746.1,8741.7,8744.25,8737.6,8732.75,8732.6,8732.45,8736.1,8741.8,8739.55,8738.45,8737.9,8741.6,8741.2,8737.2,8732.55,8733.0,8734.0,8736.25,8737.1,8737.4,8736.9,8748.9,8753.45,8768.75,8766.15,8765.3,8762.2,8766.35,8773.65,8774.4,8774.05,8777.25,8778.6,8777.7,8767.75,8770.85,8779.55,8781.6,8778.7,8777.6,8780.5,8793.05,8805.5,8812.3,8808.9,8809.35,8807.45,8803.65,8818.9,8825.95,8830.2,8823.6,8818.45,8818.85,8821.1,8821.95,8816.8,8814.7,8826.0,8821.05,8814.85,8819.0,8816.55,8829.95,8842.75,8848.7,8853.9,8856.95,8847.35,8851.05
2015-03-20,8627.9,8608.9,8610.45,8623.05,8622.95,8622.0,8610.4,8611.25,8611.0,8608.5,8601.3,8597.95,8607.6,8602.35,8600.95,8603.75,8601.3,8598.2,8591.7,8594.15,8598.05,8603.0,8603.7,8603.95,8603.45,8614.5,8615.6,8613.5,8620.9,8612.0,8612.95,8611.9,8598.6,8593.65,8592.8,8593.55,8594.0,8592.1,8586.25,8599.2,8597.5,8592.95,8593.95,8592.15,8588.9,8587.8,8582.15,8580.7,8582.55,8589.35,8605.45,8602.45,8606.15,8600.5,8592.95,8599.6,8598.65,8597.9,8595.05,8589.7,8584.55,8592.65,8593.7,8596.5,8589.35,8589.45,8584.4,8575.5,8584.1,8586.0,8583.15,8578.15,8569.95,8570.75,8588.3
2015-03-27,8411.4,8393.1,8390.3,8390.0,8374.5,8363.6,8363.5,8360.4,8365.35,8364.3,8358.35,8363.1,8369.2,8363.65,8358.6,8356.15,8344.35,8353.85,8351.7,8354.9,8361.5,8368.0,8373.6,8362.05,8362.15,8363.75,8360.05,8351.15,8348.2,8346.6,8342.4,8345.45,8344.3,8341.45,8342.25,8325.2,8326.85,8317.75,8312.65,8308.0,8303.8,8297.6,8283.2,8288.15,8298.15,8306.25,8303.6,8306.65,8296.75,8310.85,8327.65,8337.55,8352.0,8351.55,8349.45,8351.1,8345.75,8331.75,8330.45,8339.8,8343.1,8335.15,8340.3,8336.05,8333.2,8333.5,8355.75,8356.35,8366.35,8355.35,8345.85,8347.1,8346.9,8343.5,8349.15
2015-04-10,8778.0,8774.7,8771.1,8773.35,8773.6,8774.75,8778.1,8776.5,8774.65,8780.95,8781.2,8770.8,8766.2,8771.4,8770.55,8771.65,8766.1,8765.8,8766.05,8770.95,8772.5,8772.45,8772.1,8771.4,8767.0,8764.55,8756.25,8754.65,8754.35,8751.55,8755.3,8761.55,8763.85,8766.8,8761.1,8759.55,8760.0,8758.7,8758.15,8751.25,8755.05,8754.35,8755.8,8759.05,8757.5,8760.25,8759.6,8761.15,8749.65,8752.2,8751.25,8749.2,8762.85,8756.65,8749.95,8751.5,8756.7,8759.6,8760.25,8777.6,8761.3,8765.4,8763.8,8768.4,8769.85,8767.6,8767.0,8766.95,8769.95,8782.75,8786.2,8787.1,8784.6,8781.15,8777.6
2015-04-17,8698.35,8698.75,8685.05,8680.15,8673.3,8668.4,8665.9,8662.9,8664.95,8662.55,8663.25,8648.65,8646.7,8650.6,8652.2,8656.7,8656.95,8656.75,8661.85,8657.95,8660.9,8664.65,8672.3,8666.6,8666.55,8670.65,8668.6,8664.55,8663.85,8662.2,8658.85,8660.3,8660.7,8658.05,8657.75,8655.0,8652.7,8655.05,8653.4,8649.55,8657.7,8663.1,8662.2,8656.45,8656.55,8654.0,8650.65,8642.95,8651.65,8649.95,8647.5,8651.25,8646.9,8642.95,8650.45,8654.05,8649.75,8654.45,8649.85,8642.75,8646.6,8648.35,8650.6,8649.8,8647.8,8641.0,8637.65,8636.1,8636.75,8619.1,8617.0,8615.3,8606.8,8608.7,8606.85
