date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-12,8291.35,8274.45,8268.6,8268.9,8265.8,8271.25,8274.0,8283.7,8287.6,8292.7,8288.05,8286.65,8296.5,8294.9,8297.3,8294.1,8288.05,8285.8,8290.65,8289.65,8286.9,8288.05,8287.1,8284.25,8282.5,8285.3,8286.25,8289.55,8288.4,8283.85,8281.8,8285.6,8288.35,8292.45,8293.9,8281.95,8270.25,8263.25,8260.45,8266.65,8265.35,8268.1,8269.15,8271.65,8271.2,8272.6,8271.35,8275.4,8273.4,8273.7,8274.45,8275.1,8281.65,8279.5,8290.6,8284.6,8284.25,8291.4,8293.35,8290.7,8289.05,8309.45,8320.1,8320.15,8320.15,8322.25,8316.75,8306.65,8309.85,8320.8,8323.6,8323.0,8328.85,8330.4,8332.25
2015-02-02,8807.8,8799.55,8788.25,8797.05,8793.1,8788.7,8795.5,8795.6,8797.95,8797.6,8794.5,8786.7,8785.55,8783.6,8786.4,8784.9,8790.7,8796.95,8805.25,8796.6,8791.05,8790.1,8793.4,8789.4,8792.1,8792.35,8789.95,8787.6,8790.8,8785.3,8782.9,8776.85,8774.5,8763.55,8763.15,8769.8,8769.75,8765.55,8762.65,8768.4,8767.7,8767.2,8765.4,8761.8,8764.2,8762.6,8762.7,8759.65,8762.1,8760.05,8778.9,8798.6,8839.05,8836.75,8828.1,8825.7,8819.65,8834.1,8839.9,8829.8,8826.8,8819.15,8818.8,8806.95,8793.6,8794.95,8784.9,8786.25,8792.65,8802.45,8806.2,8798.5,8798.1,8803.55,8802.3
2015-02-09,8593.55,8603.9,8599.4,8591.95,8590.0,8594.55,8590.05,8586.7,8575.95,8570.65,8566.4,8566.45,8565.7,8574.4,8577.15,8578.9,8575.25,8571.0,8573.85,8573.4,8574.4,8572.8,8566.5,8565.3,8564.75,8577.45,8580.2,8581.1,8580.95,8579.15,8581.45,8577.1,8580.15,8577.7,8575.4,8574.5,8570.9,8570.65,8574.05,8576.05,8578.7,8580.8,8588.85,8588.0,8592.35,8588.7,8582.3,8583.75,8588.7,8592.9,8590.8,8590.05,8589.0,8584.8,8575.4,8574.2,8572.35,8570.35,8572.65,8569.6,8567.5,8565.75,8564.2,8561.65,8556.55,8558.9,8562.4,8563.2,8561.5,8547.05,8544.1,8528.7,8528.05,8530.6,8530.75
2015-02-16,8844.55,8840.4,8861.5,8868.95,8869.95,8857.6,8855.6,8852.05,8851.45,8851.1,8852.85,8862.55,8864.15,8856.0,8865.4,8867.75,8868.5,8869.35,8863.8,8859.15,8851.9,8851.4,8851.4,8850.8,8846.05,8838.55,8831.95,8832.2,8829.45,8832.35,8836.95,8831.0,8834.4,8846.1,8844.95,8830.9,8829.05,8836.95,8838.15,8837.75,8833.9,8832.95,8833.4,8833.05,8831.7,8834.3,8830.6,8829.3,8832.45,8830.2,8832.3,8832.65,8836.55,8835.85,8841.4,8839.75,8845.7,8843.0,8837.35,8840.0,8840.1,8848.05,8845.4,8855.5,8855.8,8849.45,8849.1,8842.1,8843.8,8846.45,8829.0,8819.4,8806.15,8807.2,8808.7
2015-02-23,8859.7,8867.7,8860.05,8857.1,8862.55,8864.75,8868.9,8867.8,8867.4,8862.05,8851.5,8849.6,8852.1,8855.05,8853.1,8855.6,8856.85,8861.1,8855.75,8856.4,8853.5,8851.1,8853.85,8851.15,8851.0,8848.45,8843.3,8846.45,8847.2,8849.05,8848.85,8842.25,8840.75,8843.0,8849.2,8849.0,8847.9,8848.5,8846.15,8849.5,8853.0,8852.15,8850.45,8849.1,8845.35,8843.95,8844.35,8851.5,8856.1,8850.95,8850.3,8853.9,8855.25,8846.9,8844.6,8842.9,8823.5,8827.45,8825.85,8784.25,8782.1,8776.15,8785.5,8773.5,8775.75,8772.25,8772.15,8761.9,8763.75,8775.2,8779.9,8775.15,8761.45,8748.65,8745.45
2015-03-02,8960.45,8959.7,8948.35,8948.5,8968.65,8967.8,8969.2,8964.05,8965.35,8964.9,8964.1,8963.1,8971.7,8971.25,8960.5,8950.65,8951.2,8953.1,8945.4,8934.35,8935.1,8929.55,8926.7,8931.05,8927.25,8914.4,8914.9,8917.75,8913.5,8903.55,8906.6,8912.3,8907.2,8903.05,8898.95,8904.2,8904.2,8910.95,8922.65,8929.8,8930.85,8920.1,8924.8,8919.85,8923.4,8924.85,8914.1,8907.35,8902.75,8905.05,8905.7,8908.5,8910.35,8917.6,8917.85,8927.75,8918.8,8928.7,8928.0,8928.85,8928.7,8929.85,8937.2,8940.5,8941.7,8947.4,8936.4,8927.05,8929.15,8947.2,8962.6,8964.0,8961.4,8969.9,8966.45
2015-03-09,8877.3,8846.45,8846.4,8838.1,8836.9,8819.25,8817.6,8819.85,8825.9,8829.8,8829.65,8821.75,8819.6,8816.2,8817.4,8819.95,8822.55,8825.7,8825.05,8825.65,8827.85,8826.65,8821.45,8817.8,8814.95,8811.9,8814.15,8811.7,8814.45,8818.9,8829.8,8824.4,8817.45,8816.9,8816.15,8820.9,8820.05,8821.75,8823.5,8820.4,8820.65,8815.65,8814.35,8819.15,8820.9,8824.5,8819.7,8817.8,8793.35,8791.4,8787.95,8789.05,8774.1,8779.2,8764.25,8775.3,8781.25,8785.55,8781.7,8782.25,8778.35,8782.25,8781.35,8782.9,8792.1,8794.35,8780.0,8778.65,8775.9,8779.6,8771.85,8762.9,8758.8,8753.95,8752.1
2015-03-23,8607.9,8600.8,8601.9,8594.65,8586.7,8580.6,8575.4,8581.05,8582.7,8586.3,8581.15,8576.8,8581.5,8580.05,8583.25,8588.75,8584.5,8579.9,8580.35,8579.6,8578.15,8577.05,8579.05,8580.85,8578.55,8573.25,8575.8,8581.25,8579.85,8582.85,8590.6,8591.3,8592.95,8594.6,8591.0,8595.05,8595.15,8593.85,8595.1,8591.2,8588.55,8582.55,8582.75,8584.0,8579.7,8584.3,8583.85,8582.5,8584.9,8589.8,8586.85,8585.05,8579.0,8565.8,8563.2,8561.2,8562.95,8575.0,8564.5,8554.05,8556.4,8552.6,8563.95,8567.75,8565.7,8560.05,8554.25,8555.25,8554.8,8556.55,8561.2,8558.1,8555.95,8550.35,8552.05
2015-03-30,8403.25,8398.45,8394.55,8398.9,8403.85,8409.55,8412.2,8407.85,8409.4,8412.9,8411.9,8410.05,8405.55,8407.85,8408.7,8409.95,8420.85,8428.65,8432.6,8429.5,8427.35,8424.05,8416.2,8418.4,8417.8,8420.75,8420.15,8414.35,8407.9,8409.25,8410.05,8408.95,8408.7,8410.85,8411.85,8407.55,8403.4,8407.1,8413.65,8410.65,8413.65,8417.65,8421.45,8430.0,8431.25,8428.8,8434.15,8432.1,8442.65,8447.4,8447.15,8444.05,8447.7,8448.15,8460.25,8464.9,8466.0,8468.6,8460.95,8463.3,8470.0,8471.7,8467.7,8463.95,8461.55,8473.6,8472.45,8479.7,8483.25,8486.75,8494.9,8495.75,8495.5,8494.45,8504.25
2015-04-06,8615.8,8601.55,8591.0,8587.2,8589.8,8591.05,8592.55,8591.45,8587.05,8589.05,8589.5,8591.55,8600.65,8601.8,8594.9,8591.55,8590.65,8594.45,8594.35,8598.35,8592.3,8594.65,8591.25,8590.9,8592.15,8591.05,8592.25,8586.45,8581.9,8589.3,8592.4,8593.15,8591.55,8586.65,8587.95,8581.0,8586.15,8587.1,8589.35,8590.95,8589.15,8591.8,8592.6,8592.8,8593.35,8599.05,8600.1,8605.85,8608.55,8611.5,8610.75,8607.1,8612.65,8621.6,8625.25,8632.7,8629.35,8625.85,8626.95,8630.4,8629.45,8628.9,8638.0,8639.45,8644.2,8646.35,8653.4,8655.5,8654.35,8667.5,8664.25,8662.95,8667.35,8665.45,8664.55
