date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-15,8452.65,8428.15,8427.55,8438.05,8428.55,8417.95,8421.95,8414.95,8424.15,8426.25,8417.2,8414.45,8408.15,8409.15,8412.85,8409.15,8411.3,8409.05,8415.95,8420.1,8419.7,8420.25,8424.6,8437.35,8436.1,8434.15,8436.75,8444.9,8457.15,8463.4,8468.55,8461.7,8464.65,8468.45,8462.5,8461.85,8461.55,8463.1,8464.55,8464.65,8467.55,8473.1,8482.95,8482.95,8478.8,8475.95,8478.0,8477.3,8478.15,8477.75,8479.5,8484.15,8486.85,8484.35,8481.9,8477.25,8479.85,8484.9,8489.3,8496.7,8494.3,8493.9,8493.75,8509.45,8513.7,8515.95,8526.65,8526.9,8518.05,8516.5,8506.95,8515.0,8511.0,8498.05,8470.6
2015-01-22,8754.55,8752.6,8746.3,8745.5,8753.25,8754.8,8763.85,8761.15,8764.25,8760.6,8758.2,8762.15,8767.15,8766.1,8766.9,8768.65,8771.4,8771.75,8772.45,8770.75,8761.4,8757.9,8758.55,8758.0,8756.3,8755.55,8755.85,8758.7,8760.35,8761.15,8762.25,8761.85,8765.6,8765.15,8764.15,8763.35,8758.15,8760.95,8756.25,8752.9,8754.35,8758.5,8755.95,8754.15,8749.2,8749.05,8747.75,8748.5,8753.25,8750.05,8750.55,8749.95,8761.8,8759.4,8752.6,8750.3,8750.3,8742.4,8742.05,8737.85,8739.9,8744.35,8748.45,8741.65,8746.3,8746.0,8744.1,8739.0,8741.35,8757.95,8758.75,8761.2,8773.4,8774.0,8770.4
2015-01-29,8901.5,8876.95,8874.75,8877.5,8870.95,8874.65,8877.9,8879.45,8884.35,8885.45,8879.95,8873.55,8879.15,8883.75,8888.85,8889.6,8890.9,8892.65,8890.8,8887.25,8881.6,8883.5,8881.2,8882.6,8874.3,8870.85,8869.55,8874.75,8875.85,8880.4,8882.5,8884.1,8889.95,8893.75,8898.5,8907.45,8900.0,8895.4,8893.0,8891.05,8890.4,8890.75,8888.1,8884.1,8886.25,8887.6,8889.55,8881.0,8879.2,8884.15,8886.05,8893.85,8904.3,8904.95,8899.65,8901.1,8896.55,8896.5,8884.95,8888.4,8885.25,8884.3,8883.95,8879.8,8899.0,8899.0,8893.45,8892.3,8899.85,8961.0,8960.2,8966.2,8957.0,8956.95,8958.6
2015-02-05,8733.1,8734.05,8741.15,8744.7,8738.25,8746.0,8743.95,8743.45,8744.15,8753.85,8757.85,8761.6,8764.95,8767.85,8762.35,8759.15,8760.15,8760.35,8751.5,8749.2,8751.25,8753.35,8753.65,8754.9,8758.5,8761.35,8766.35,8764.05,8759.25,8754.7,8749.85,8748.7,8751.45,8754.55,8754.85,8755.95,8755.15,8757.5,8762.05,8760.15,8758.4,8758.2,8756.75,8760.85,8763.9,8761.35,8762.1,8779.0,8799.65,8815.35,8814.75,8806.75,8796.8,8803.05,8807.15,8805.0,8813.45,8832.85,8832.95,8838.3,8829.2,8826.7,8826.75,8824.15,8820.0,8804.9,8796.6,8793.85,8786.1,8765.85,8738.1,8736.5,8712.7,8698.3,8702.1
2015-02-12,8681.4,8671.55,8666.0,8660.3,8645.05,8643.15,8644.1,8643.6,8650.1,8651.55,8650.0,8634.6,8635.35,8630.05,8637.3,8638.4,8637.2,8635.2,8632.6,8639.25,8639.7,8635.7,8635.65,8632.4,8632.7,8627.4,8624.4,8617.85,8612.85,8616.3,8609.65,8614.3,8618.1,8616.95,8615.75,8612.9,8616.25,8615.55,8615.7,8617.75,8616.0,8615.5,8615.75,8614.9,8613.45,8611.1,8611.9,8612.85,8621.65,8624.15,8626.15,8621.9,8627.7,8630.9,8630.55,8640.45,8639.95,8644.1,8641.25,8655.25,8669.7,8659.2,8653.55,8655.25,8667.5,8684.4,8689.25,8688.4,8683.35,8689.4,8715.05,8725.95,8724.1,8722.05,8732.15
2015-02-19,8895.05,8901.4,8902.55,8893.4,8890.85,8891.75,8895.8,8894.65,8890.9,8894.15,8897.0,8898.6,8897.15,8895.25,8891.1,8885.85,8884.2,8866.3,8859.0,8866.25,8859.45,8839.1,8829.4,8830.75,8830.75,8832.1,8829.6,8829.7,8828.45,8835.9,8836.85,8839.85,8842.5,8834.3,8837.3,8834.55,8836.0,8835.95,8835.35,8840.6,8841.55,8845.45,8849.35,8848.25,8846.3,8845.25,8839.65,8835.05,8837.1,8838.15,8837.7,8838.3,8837.25,8838.3,8844.45,8844.5,8832.45,8824.65,8816.4,8804.85,8809.45,8821.1,8826.25,8836.8,8835.8,8838.35,8863.5,8857.7,8863.1,8882.0,8892.35,8905.0,8911.8,8913.45,8902.7
2015-02-26,8783.6,8755.7,8758.55,8757.4,8751.0,8747.0,8745.75,8746.8,8748.1,8751.3,8750.15,8750.35,8747.5,8741.45,8750.25,8749.95,8750.25,8746.95,8749.65,8747.85,8741.95,8743.8,8743.95,8746.55,8756.45,8756.2,8753.8,8754.3,8753.8,8748.7,8751.5,8749.1,8748.05,8743.15,8742.4,8741.0,8746.0,8744.55,8742.8,8740.35,8740.9,8736.65,8723.2,8726.15,8719.6,8722.55,8723.1,8736.7,8737.5,8725.4,8724.35,8723.65,8710.5,8692.35,8692.35,8693.35,8700.55,8697.05,8708.6,8711.95,8709.85,8714.9,8724.15,8720.95,8730.6,8734.6,8721.0,8717.8,8720.55,8712.25,8680.95,8683.75,8688.85,8688.9,8695.7
2015-03-05,8936.2,8944.95,8948.5,8948.6,8946.1,8936.9,8925.6,8921.8,8916.6,8918.15,8924.6,8927.2,8933.35,8937.9,8938.05,8936.0,8939.4,8930.7,8928.7,8923.65,8926.05,8933.4,8934.35,8930.8,8928.0,8929.2,8934.35,8934.55,8929.55,8917.3,8912.2,8907.85,8904.9,8908.95,8906.65,8906.45,8909.7,8911.05,8908.3,8907.3,8910.55,8910.0,8902.05,8878.75,8881.1,8876.7,8876.7,8863.1,8865.45,8871.6,8878.45,8881.85,8879.9,8875.4,8871.75,8886.9,8919.6,8922.0,8911.4,8918.15,8917.0,8912.65,8905.95,8901.75,8905.0,8904.65,8905.6,8922.65,8920.3,8919.2,8942.85,8957.35,8953.35,8941.35,8941.95
2015-03-12,8752.3,8756.8,8772.85,8773.2,8765.95,8768.25,8772.95,8768.6,8771.35,8770.8,8766.15,8760.9,8763.95,8761.95,8758.15,8759.0,8765.4,8767.4,8767.95,8768.75,8767.7,8764.4,8761.8,8760.45,8759.45,8764.65,8765.25,8765.65,8761.5,8762.35,8765.45,8763.65,8760.5,8756.1,8751.85,8755.5,8756.6,8754.45,8759.85,8763.4,8771.4,8769.3,8765.5,8766.7,8761.85,8758.25,8754.15,8758.1,8758.85,8757.7,8757.0,8754.1,8755.8,8756.95,8762.7,8757.6,8764.1,8769.6,8767.4,8766.65,8758.55,8756.65,8762.35,8761.15,8763.15,8770.45,8768.0,8763.8,8761.7,8774.1,8775.3,8786.2,8783.75,8780.1,8779.9
2015-03-19,8752.65,8741.4,8744.3,8774.2,8783.4,8785.7,8779.1,8784.0,8782.9,8784.75,8787.95,8786.0,8779.15,8776.85,8771.0,8774.05,8772.15,8767.8,8767.75,8768.7,8757.55,8753.8,8749.1,8747.0,8747.8,8751.55,8753.0,8751.85,8740.1,8734.1,8736.65,8740.35,8739.5,8741.7,8744.4,8745.2,8745.85,8744.6,8746.8,8750.65,8753.0,8752.35,8743.5,8742.6,8741.45,8738.55,8738.5,8741.4,8746.05,8754.85,8753.35,8751.15,8745.55,8746.9,8748.2,8747.6,8745.55,8744.9,8744.2,8746.15,8749.45,8746.85,8743.2,8707.05,8704.65,8706.55,8702.3,8690.85,8688.95,8670.25,8655.0,8635.7,8638.5,8633.0,8631.3
