date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-13,8355.9,8342.6,8339.15,8334.8,8332.25,8340.95,8343.5,8349.95,8346.9,8340.2,8341.05,8340.35,8337.85,8335.3,8339.2,8341.4,8344.35,8344.75,8344.7,8343.5,8342.6,8340.6,8341.6,8338.1,8338.75,8338.65,8332.65,8330.0,8334.65,8336.9,8334.0,8341.95,8343.4,8341.8,8340.75,8340.2,8342.6,8342.95,8342.85,8336.25,8334.45,8328.8,8330.4,8331.4,8333.45,8334.8,8339.4,8340.8,8355.05,8356.25,8352.45,8353.3,8349.9,8353.4,8352.8,8356.65,8356.1,8352.6,8353.25,8352.4,8343.0,8339.3,8330.2,8318.05,8306.95,8304.2,8282.7,8283.2,8283.95,8285.15,8299.3,8305.4,8307.85,8309.2,8309.3
2015-01-20,8585.15,8587.25,8585.8,8589.0,8592.75,8594.6,8596.3,8596.75,8592.55,8595.4,8594.3,8599.2,8601.85,8598.4,8597.85,8597.4,8597.8,8599.05,8603.85,8604.9,8604.7,8604.15,8605.0,8604.65,8600.1,8599.15,8601.6,8598.5,8598.6,8598.65,8601.45,8603.15,8607.75,8608.4,8604.5,8605.25,8606.9,8613.3,8616.55,8620.3,8622.25,8624.55,8629.3,8618.85,8617.25,8621.95,8625.05,8625.2,8626.15,8621.4,8626.4,8631.15,8631.7,8642.95,8643.95,8643.1,8649.3,8648.75,8656.4,8658.6,8661.25,8670.85,8670.45,8666.7,8675.05,8684.2,8689.55,8693.05,8694.9,8702.2,8707.75,8702.85,8695.35,8693.0,8696.9
2015-01-27,8874.7,8847.75,8852.2,8854.7,8846.65,8855.85,8855.35,8856.35,8857.8,8857.7,8858.65,8857.1,8859.9,8861.15,8860.05,8856.6,8858.6,8854.75,8853.55,8851.95,8851.7,8851.4,8851.45,8847.15,8849.65,8850.05,8847.75,8846.1,8846.15,8838.95,8840.0,8835.9,8834.3,8832.95,8836.0,8834.25,8841.55,8842.15,8843.65,8843.8,8837.35,8842.4,8841.8,8840.25,8839.4,8841.5,8846.55,8853.0,8853.55,8853.15,8851.2,8863.3,8864.45,8858.9,8852.5,8852.9,8850.15,8853.5,8852.4,8852.5,8860.25,8864.4,8873.1,8877.2,8885.8,8888.0,8898.45,8899.1,8898.45,8911.65,8917.2,8924.95,8916.3,8913.1,8911.15
2015-02-03,8836.45,8832.15,8823.7,8826.2,8829.45,8825.95,8820.9,8821.75,8816.45,8807.8,8809.25,8807.45,8806.5,8798.6,8799.1,8799.3,8805.55,8810.4,8806.5,8803.8,8802.95,8804.4,8799.75,8836.05,8827.6,8825.05,8822.2,8808.9,8805.8,8800.2,8795.3,8759.05,8748.2,8757.3,8755.6,8750.9,8741.95,8744.25,8747.3,8749.8,8750.0,8758.75,8758.1,8749.1,8748.35,8744.4,8740.55,8735.1,8738.15,8742.1,8742.55,8745.75,8758.1,8760.7,8766.45,8792.9,8795.8,8781.2,8787.7,8781.1,8781.4,8779.05,8783.4,8784.15,8775.2,8764.65,8771.7,8779.15,8778.05,8777.8,8774.4,8772.7,8761.85,8753.55,8748.7
2015-02-10,8535.05,8577.9,8561.65,8553.6,8564.55,8584.25,8612.95,8610.45,8596.1,8592.1,8582.4,8588.75,8591.8,8594.15,8592.25,8595.5,8600.6,8609.55,8605.85,8602.95,8604.05,8602.6,8605.9,8605.95,8632.4,8632.7,8637.65,8646.15,8645.1,8628.45,8625.45,8624.7,8618.95,8615.2,8602.25,8595.7,8584.55,8577.0,8584.65,8583.25,8584.3,8581.9,8594.75,8594.85,8591.2,8589.2,8579.85,8575.1,8576.15,8573.4,8570.85,8564.3,8562.5,8553.65,8563.3,8560.25,8541.8,8535.35,8509.0,8502.7,8504.55,8504.5,8506.05,8518.5,8546.25,8546.85,8562.05,8579.4,8579.85,8579.85,8579.0,8569.6,8565.75,8574.7,8579.25
2015-02-24,8775.25,8764.75,8768.15,8766.6,8770.25,8772.0,8773.95,8775.7,8767.15,8762.75,8759.35,8762.7,8767.1,8772.45,8775.45,8777.05,8777.1,8768.35,8767.85,8766.0,8758.65,8753.75,8747.15,8751.4,8750.05,8748.6,8754.35,8761.05,8769.3,8768.55,8763.95,8769.7,8767.95,8765.95,8759.8,8764.15,8765.85,8765.6,8768.55,8770.0,8768.2,8763.5,8759.6,8757.25,8752.25,8751.65,8751.5,8754.3,8772.8,8778.55,8779.65,8788.4,8783.0,8779.5,8786.8,8800.1,8791.9,8793.75,8800.5,8794.2,8775.7,8768.3,8768.65,8755.9,8754.95,8740.65,8750.75,8759.3,8757.6,8757.9,8761.7,8772.3,8774.6,8767.8,8762.35
2015-03-03,8962.85,8946.35,8945.2,8950.4,8961.15,8961.8,8963.4,8958.45,8954.1,8956.6,8958.65,8960.3,8967.4,8966.35,8969.55,8969.4,8964.25,8962.25,8963.45,8962.4,8959.9,8958.5,8960.15,8952.7,8952.2,8943.6,8945.05,8946.65,8946.85,8951.6,8951.7,8949.9,8958.15,8959.85,8960.95,8964.5,8966.45,8966.6,8965.9,8965.95,8967.0,8964.6,8973.75,8980.4,8983.55,8979.9,8981.75,8977.55,8982.0,8978.15,8977.85,8983.85,8990.45,8988.95,8982.9,8974.75,8971.1,8977.95,8982.35,8982.05,8982.45,8981.95,8989.95,8986.55,8985.7,8996.5,8991.95,8992.5,8993.15,9004.85,9008.25,9002.6,8995.5,8995.65,8999.95
2015-03-10,8769.75,8756.05,8756.75,8762.25,8756.5,8755.95,8756.85,8750.4,8753.3,8754.35,8755.1,8741.7,8742.65,8749.75,8751.05,8759.65,8769.9,8769.8,8771.0,8771.7,8776.3,8777.95,8768.9,8762.9,8766.0,8765.8,8767.6,8767.45,8770.55,8766.65,8758.8,8755.4,8753.45,8755.4,8754.05,8756.15,8753.75,8752.9,8762.3,8765.35,8764.55,8759.85,8758.85,8763.95,8762.7,8759.85,8762.9,8757.0,8739.7,8738.15,8741.05,8743.6,8742.55,8735.2,8723.5,8706.15,8703.3,8708.65,8710.25,8711.55,8715.5,8709.15,8707.4,8704.2,8689.2,8702.0,8701.35,8693.15,8696.95,8691.05,8719.8,8730.8,8719.65,8723.55,8726.35
2015-03-17,8691.2,8685.35,8678.15,8677.4,8675.65,8675.7,8681.5,8689.4,8695.8,8718.1,8722.95,8730.6,8722.35,8729.0,8727.8,8725.15,8719.85,8718.05,8720.9,8721.5,8723.9,8727.35,8723.8,8724.95,8728.9,8728.9,8735.25,8737.35,8731.15,8727.55,8722.1,8721.85,8714.9,8713.75,8699.2,8686.6,8687.45,8691.55,8687.85,8685.8,8693.5,8691.6,8688.55,8686.85,8679.4,8668.15,8663.75,8658.65,8658.65,8651.35,8665.15,8664.55,8660.75,8651.1,8642.1,8651.4,8654.8,8656.9,8658.85,8662.8,8662.3,8657.05,8656.05,8653.9,8654.5,8657.5,8657.3,8656.25,8677.65,8704.0,8725.05,8736.65,8740.7,8742.1,8732.15
2015-03-24,8556.2,8560.8,8569.5,8562.35,8568.8,8569.7,8577.1,8577.0,8580.45,8582.25,8578.4,8582.1,8583.4,8581.8,8578.85,8571.95,8570.85,8573.5,8578.55,8586.35,8588.6,8584.65,8586.6,8583.8,8589.7,8593.75,8592.55,8602.95,8600.75,8598.7,8597.45,8596.9,8591.85,8588.4,8582.95,8585.8,8587.4,8583.45,8588.0,8591.25,8588.65,8583.3,8581.85,8581.35,8583.3,8582.55,8588.65,8586.65,8579.55,8566.2,8564.1,8562.4,8553.95,8561.35,8561.0,8573.95,8592.5,8616.65,8620.5,8621.6,8626.65,8616.95,8611.6,8622.8,8619.4,8610.25,8575.95,8559.85,8567.15,8555.9,8551.9,8549.3,8548.4,8548.4,8552.6
