date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-14,8314.15,8307.15,8307.55,8310.95,8315.3,8323.3,8326.3,8325.05,8318.0,8312.55,8306.2,8304.8,8304.25,8299.05,8304.9,8303.95,8305.15,8301.95,8307.8,8308.5,8307.5,8304.75,8298.0,8296.75,8291.3,8286.95,8289.65,8290.85,8290.05,8291.75,8292.5,8293.35,8287.5,8288.7,8281.15,8280.2,8276.35,8277.55,8274.55,8248.45,8250.7,8254.0,8254.05,8255.45,8252.95,8254.45,8253.3,8257.9,8264.55,8262.95,8257.75,8256.5,8253.5,8260.1,8260.5,8253.8,8257.8,8264.1,8272.75,8291.95,8301.9,8298.05,8293.75,8285.4,8284.15,8269.4,8264.35,8262.35,8264.6,8281.0,8280.65,8278.05,8280.75,8286.95,8290.25
2015-01-21,8719.65,8719.15,8721.9,8721.8,8731.15,8732.25,8732.55,8737.65,8739.95,8741.5,8738.3,8726.9,8722.5,8729.0,8733.15,8728.0,8726.3,8727.3,8718.3,8722.7,8713.5,8707.55,8702.85,8710.45,8710.5,8707.05,8712.25,8716.25,8717.95,8717.15,8712.0,8716.65,8719.75,8723.4,8728.45,8725.75,8721.75,8724.5,8724.75,8723.4,8721.05,8721.0,8720.25,8711.95,8715.2,8716.6,8716.7,8722.25,8725.1,8727.4,8725.95,8726.65,8732.2,8734.6,8727.55,8726.2,8726.65,8728.8,8725.25,8720.05,8716.1,8714.15,8713.45,8726.05,8725.9,8725.1,8731.45,8732.1,8729.9,8733.7,8732.25,8732.85,8731.65,8731.55,8734.8
2015-01-28,8909.35,8906.35,8905.35,8917.95,8917.75,8908.2,8901.95,8903.3,8903.7,8906.85,8915.3,8915.55,8910.15,8904.3,8906.8,8909.25,8909.65,8905.65,8902.95,8909.65,8914.85,8918.45,8929.3,8930.65,8951.55,8951.85,8957.3,8957.85,8955.7,8955.95,8961.8,8960.4,8954.8,8958.05,8960.15,8959.8,8958.65,8971.15,8978.3,8985.05,8983.7,8958.8,8946.2,8935.3,8931.3,8928.3,8932.8,8931.15,8934.05,8936.7,8928.1,8922.05,8924.85,8912.1,8914.0,8906.45,8908.05,8919.3,8918.75,8919.95,8908.55,8892.7,8895.65,8900.9,8892.2,8886.5,8886.2,8899.7,8900.05,8909.65,8919.95,8923.75,8921.0,8917.05,8913.6
2015-02-04,8791.45,8782.8,8777.7,8781.9,8777.55,8771.9,8773.2,8772.3,8764.5,8770.35,8762.8,8753.65,8745.3,8739.95,8747.9,8748.15,8749.7,8746.05,8731.45,8734.55,8739.35,8746.5,8757.55,8757.55,8749.95,8759.25,8762.75,8764.7,8763.15,8754.2,8756.0,8756.7,8759.0,8758.55,8755.2,8753.55,8749.1,8752.1,8752.65,8747.4,8748.55,8749.4,8752.35,8751.65,8761.0,8762.2,8767.15,8780.3,8774.25,8767.8,8762.8,8769.6,8763.55,8759.05,8764.25,8767.5,8771.4,8772.05,8770.5,8763.6,8763.6,8767.35,8766.2,8765.35,8766.4,8769.6,8764.7,8773.6,8762.55,8749.4,8746.8,8740.2,8725.25,8719.8,8713.95
2015-02-11,8615.4,8619.95,8614.65,8613.85,8615.65,8614.65,8610.85,8602.3,8608.8,8613.4,8610.1,8612.6,8626.15,8630.9,8625.6,8624.2,8623.2,8621.15,8608.45,8604.35,8608.7,8609.7,8616.15,8614.35,8610.3,8608.5,8607.5,8618.15,8616.35,8614.4,8613.6,8614.95,8613.65,8624.0,8623.9,8620.0,8620.35,8620.0,8624.4,8627.05,8627.2,8625.7,8620.3,8619.1,8619.3,8620.15,8645.55,8641.85,8644.0,8651.9,8647.05,8639.95,8621.55,8620.85,8623.75,8629.25,8628.0,8628.9,8624.7,8628.45,8633.0,8629.5,8643.15,8640.2,8635.55,8642.85,8647.95,8648.0,8646.75,8635.65,8634.75,8627.95,8633.35,8632.55,8638.6
2015-02-18,8838.7,8840.8,8838.85,8834.0,8836.5,8839.05,8835.1,8842.85,8849.2,8850.4,8850.85,8851.5,8851.1,8849.35,8855.55,8855.75,8857.75,8857.8,8856.9,8861.85,8858.55,8852.3,8850.45,8857.35,8857.7,8858.55,8855.85,8856.85,8861.5,8859.75,8856.55,8854.4,8853.7,8850.95,8851.45,8853.2,8842.35,8843.9,8845.45,8846.2,8847.95,8848.25,8848.8,8848.9,8854.2,8854.45,8853.75,8854.4,8861.3,8860.2,8858.4,8852.9,8845.95,8847.75,8848.4,8852.8,8861.5,8872.55,8871.05,8870.85,8873.7,8872.7,8867.05,8882.9,8886.05,8885.8,8893.9,8893.65,8889.75,8889.85,8874.55,8878.25,8873.05,8865.05,8866.05
2015-02-25,8813.45,8818.0,8830.5,8840.5,8834.55,8831.2,8830.05,8824.9,8822.25,8824.55,8824.75,8817.05,8817.5,8825.75,8828.75,8828.15,8825.2,8822.0,8821.9,8821.5,8819.75,8815.6,8817.5,8821.25,8823.2,8824.35,8822.45,8823.05,8827.55,8828.8,8826.0,8826.7,8826.55,8825.2,8823.95,8824.4,8824.55,8824.2,8824.15,8822.8,8817.5,8819.3,8825.85,8827.35,8827.25,8832.8,8825.2,8820.9,8816.2,8815.45,8817.65,8817.55,8820.85,8819.75,8819.9,8818.5,8808.3,8794.55,8787.3,8787.55,8779.0,8780.95,8784.95,8778.85,8773.0,8776.7,8774.7,8771.95,8768.55,8771.85,8766.55,8772.9,8773.45,8769.6,8770.75
2015-03-04,9117.3,9088.35,9082.2,9075.15,9073.0,9078.9,9077.8,9073.6,9070.85,9079.25,9084.15,9085.2,9081.45,9082.6,9078.15,9077.55,9078.75,9082.5,9082.55,9078.5,9076.2,9070.0,9063.5,9068.55,9069.75,9071.55,9063.25,9058.4,9059.6,9060.55,9059.2,9053.2,9053.3,9044.8,9038.75,9041.2,9048.25,9050.65,9043.75,9051.65,9048.6,9045.95,9043.8,9046.3,9058.2,9062.15,9059.6,9051.6,9046.4,9047.9,9047.7,9043.95,9055.8,9055.3,9054.15,9052.8,9053.3,9058.2,9055.1,9041.9,9026.75,9035.2,9031.2,9004.2,8987.4,8978.3,8952.8,8948.75,8925.35,8945.25,8951.05,8933.75,8922.5,8918.3,8921.0
2015-03-11,8739.9,8729.2,8740.6,8733.45,8737.6,8725.45,8727.1,8731.65,8738.2,8741.05,8744.5,8743.4,8747.0,8737.75,8724.6,8717.95,8721.2,8728.45,8727.05,8731.35,8727.7,8723.25,8720.8,8716.35,8717.55,8709.85,8705.15,8701.65,8698.2,8707.4,8708.9,8709.7,8704.1,8705.65,8711.45,8717.65,8712.2,8711.35,8721.2,8727.0,8724.15,8717.7,8714.3,8722.95,8721.9,8721.1,8715.45,8714.15,8716.1,8713.85,8697.7,8702.25,8705.9,8716.9,8727.35,8732.05,8729.75,8724.7,8727.45,8730.55,8732.2,8752.3,8755.3,8747.75,8741.65,8736.35,8727.15,8726.6,8734.0,8720.95,8711.6,8711.6,8695.55,8696.55,8703.65
2015-03-18,8746.4,8721.65,8718.25,8718.4,8720.95,8716.35,8701.15,8693.8,8701.55,8710.3,8711.0,8710.5,8714.85,8714.35,8707.35,8699.1,8697.55,8696.0,8698.6,8696.45,8693.55,8696.15,8700.05,8699.1,8698.65,8696.45,8709.3,8712.35,8702.6,8703.0,8722.55,8733.25,8726.1,8723.7,8722.35,8726.8,8723.15,8719.35,8718.7,8727.55,8727.8,8725.45,8716.2,8713.95,8721.55,8718.9,8718.0,8724.0,8726.35,8718.1,8716.7,8704.8,8699.1,8697.7,8701.65,8690.05,8691.55,8696.35,8696.55,8704.35,8704.95,8699.05,8700.15,8695.15,8691.55,8688.75,8683.3,8687.2,8681.85,8681.95,8688.6,8698.7,8690.65,8688.65,8683.75
