date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-12,8291.35,8274.45,8268.6,8268.9,8265.8,8271.25,8274.0,8283.7,8287.6,8292.7,8288.05,8286.65,8296.5,8294.9,8297.3,8294.1,8288.05,8285.8,8290.65,8289.65,8286.9,8288.05,8287.1,8284.25,8282.5,8285.3,8286.25,8289.55,8288.4,8283.85,8281.8,8285.6,8288.35,8292.45,8293.9,8281.95,8270.25,8263.25,8260.45,8266.65,8265.35,8268.1,8269.15,8271.65,8271.2,8272.6,8271.35,8275.4,8273.4,8273.7,8274.45,8275.1,8281.65,8279.5,8290.6,8284.6,8284.25,8291.4,8293.35,8290.7,8289.05,8309.45,8320.1,8320.15,8320.15,8322.25,8316.75,8306.65,8309.85,8320.8,8323.6,8323.0,8328.85,8330.4,8332.25
2015-01-13,8355.9,8342.6,8339.15,8334.8,8332.25,8340.95,8343.5,8349.95,8346.9,8340.2,8341.05,8340.35,8337.85,8335.3,8339.2,8341.4,8344.35,8344.75,8344.7,8343.5,8342.6,8340.6,8341.6,8338.1,8338.75,8338.65,8332.65,8330.0,8334.65,8336.9,8334.0,8341.95,8343.4,8341.8,8340.75,8340.2,8342.6,8342.95,8342.85,8336.25,8334.45,8328.8,8330.4,8331.4,8333.45,8334.8,8339.4,8340.8,8355.05,8356.25,8352.45,8353.3,8349.9,8353.4,8352.8,8356.65,8356.1,8352.6,8353.25,8352.4,8343.0,8339.3,8330.2,8318.05,8306.95,8304.2,8282.7,8283.2,8283.95,8285.15,8299.3,8305.4,8307.85,8309.2,8309.3
2015-01-14,8314.15,8307.15,8307.55,8310.95,8315.3,8323.3,8326.3,8325.05,8318.0,8312.55,8306.2,8304.8,8304.25,8299.05,8304.9,8303.95,8305.15,8301.95,8307.8,8308.5,8307.5,8304.75,8298.0,8296.75,8291.3,8286.95,8289.65,8290.85,8290.05,8291.75,8292.5,8293.35,8287.5,8288.7,8281.15,8280.2,8276.35,8277.55,8274.55,8248.45,8250.7,8254.0,8254.05,8255.45,8252.95,8254.45,8253.3,8257.9,8264.55,8262.95,8257.75,8256.5,8253.5,8260.1,8260.5,8253.8,8257.8,8264.1,8272.75,8291.95,8301.9,8298.05,8293.75,8285.4,8284.15,8269.4,8264.35,8262.35,8264.6,8281.0,8280.65,8278.05,8280.75,8286.95,8290.25
2015-01-15,8452.65,8428.15,8427.55,8438.05,8428.55,8417.95,8421.95,8414.95,8424.15,8426.25,8417.2,8414.45,8408.15,8409.15,8412.85,8409.15,8411.3,8409.05,8415.95,8420.1,8419.7,8420.25,8424.6,8437.35,8436.1,8434.15,8436.75,8444.9,8457.15,8463.4,8468.55,8461.7,8464.65,8468.45,8462.5,8461.85,8461.55,8463.1,8464.55,8464.65,8467.55,8473.1,8482.95,8482.95,8478.8,8475.95,8478.0,8477.3,8478.15,8477.75,8479.5,8484.15,8486.85,8484.35,8481.9,8477.25,8479.85,8484.9,8489.3,8496.7,8494.3,8493.9,8493.75,8509.45,8513.7,8515.95,8526.65,8526.9,8518.05,8516.5,8506.95,8515.0,8511.0,8498.05,8470.6
2015-01-20,8585.15,8587.25,8585.8,8589.0,8592.75,8594.6,8596.3,8596.75,8592.55,8595.4,8594.3,8599.2,8601.85,8598.4,8597.85,8597.4,8597.8,8599.05,8603.85,8604.9,8604.7,8604.15,8605.0,8604.65,8600.1,8599.15,8601.6,8598.5,8598.6,8598.65,8601.45,8603.15,8607.75,8608.4,8604.5,8605.25,8606.9,8613.3,8616.55,8620.3,8622.25,8624.55,8629.3,8618.85,8617.25,8621.95,8625.05,8625.2,8626.15,8621.4,8626.4,8631.15,8631.7,8642.95,8643.95,8643.1,8649.3,8648.75,8656.4,8658.6,8661.25,8670.85,8670.45,8666.7,8675.05,8684.2,8689.55,8693.05,8694.9,8702.2,8707.75,8702.85,8695.35,8693.0,8696.9
2015-01-21,8719.65,8719.15,8721.9,8721.8,8731.15,8732.25,8732.55,8737.65,8739.95,8741.5,8738.3,8726.9,8722.5,8729.0,8733.15,8728.0,8726.3,8727.3,8718.3,8722.7,8713.5,8707.55,8702.85,8710.45,8710.5,8707.05,8712.25,8716.25,8717.95,8717.15,8712.0,8716.65,8719.75,8723.4,8728.45,8725.75,8721.75,8724.5,8724.75,8723.4,8721.05,8721.0,8720.25,8711.95,8715.2,8716.6,8716.7,8722.25,8725.1,8727.4,8725.95,8726.65,8732.2,8734.6,8727.55,8726.2,8726.65,8728.8,8725.25,8720.05,8716.1,8714.15,8713.45,8726.05,8725.9,8725.1,8731.45,8732.1,8729.9,8733.7,8732.25,8732.85,8731.65,8731.55,8734.8
2015-01-22,8754.55,8752.6,8746.3,8745.5,8753.25,8754.8,8763.85,8761.15,8764.25,8760.6,8758.2,8762.15,8767.15,8766.1,8766.9,8768.65,8771.4,8771.75,8772.45,8770.75,8761.4,8757.9,8758.55,8758.0,8756.3,8755.55,8755.85,8758.7,8760.35,8761.15,8762.25,8761.85,8765.6,8765.15,8764.15,8763.35,8758.15,8760.95,8756.25,8752.9,8754.35,8758.5,8755.95,8754.15,8749.2,8749.05,8747.75,8748.5,8753.25,8750.05,8750.55,8749.95,8761.8,8759.4,8752.6,8750.3,8750.3,8742.4,8742.05,8737.85,8739.9,8744.35,8748.45,8741.65,8746.3,8746.0,8744.1,8739.0,8741.35,8757.95,8758.75,8761.2,8773.4,8774.0,8770.4
2015-01-23,8855.85,8860.75,8857.2,8863.2,8866.15,8861.95,8861.9,8861.5,8863.7,8859.9,8860.95,8853.85,8843.75,8836.25,8821.15,8815.25,8821.8,8821.85,8819.1,8815.25,8816.6,8808.1,8808.85,8806.15,8811.55,8810.2,8807.15,8810.5,8808.3,8809.0,8815.65,8820.85,8820.95,8816.35,8815.15,8813.15,8810.3,8814.25,8815.45,8815.0,8815.1,8815.05,8813.45,8814.35,8815.35,8820.1,8827.9,8825.05,8824.45,8823.8,8827.45,8826.0,8822.5,8814.1,8815.1,8822.3,8837.0,8836.15,8836.8,8834.2,8831.55,8829.65,8828.6,8830.7,8830.4,8828.85,8829.6,8829.0,8827.85,8848.4,8849.6,8846.1,8837.05,8833.7,8832.3
2015-01-27,8874.7,8847.75,8852.2,8854.7,8846.65,8855.85,8855.35,8856.35,8857.8,8857.7,8858.65,8857.1,8859.9,8861.15,8860.05,8856.6,8858.6,8854.75,8853.55,8851.95,8851.7,8851.4,8851.45,8847.15,8849.65,8850.05,8847.75,8846.1,8846.15,8838.95,8840.0,8835.9,8834.3,8832.95,8836.0,8834.25,8841.55,8842.15,8843.65,8843.8,8837.35,8842.4,8841.8,8840.25,8839.4,8841.5,8846.55,8853.0,8853.55,8853.15,8851.2,8863.3,8864.45,8858.9,8852.5,8852.9,8850.15,8853.5,8852.4,8852.5,8860.25,8864.4,8873.1,8877.2,8885.8,8888.0,8898.45,8899.1,8898.45,8911.65,8917.2,8924.95,8916.3,8913.1,8911.15
2015-01-28,8909.35,8906.35,8905.35,8917.95,8917.75,8908.2,8901.95,8903.3,8903.7,8906.85,8915.3,8915.55,8910.15,8904.3,8906.8,8909.25,8909.65,8905.65,8902.95,8909.65,8914.85,8918.45,8929.3,8930.65,8951.55,8951.85,8957.3,8957.85,8955.7,8955.95,8961.8,8960.4,8954.8,8958.05,8960.15,8959.8,8958.65,8971.15,8978.3,8985.05,8983.7,8958.8,8946.2,8935.3,8931.3,8928.3,8932.8,8931.15,8934.05,8936.7,8928.1,8922.05,8924.85,8912.1,8914.0,8906.45,8908.05,8919.3,8918.75,8919.95,8908.55,8892.7,8895.65,8900.9,8892.2,8886.5,8886.2,8899.7,8900.05,8909.65,8919.95,8923.75,8921.0,8917.05,8913.6
