date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-23,8827.95,8846.45,8847.15,8851.85,8859.9,8857.7,8853.9,8853.95,8853.65,8852.7,8852.95,8843.15,8830.7,8819.7,8807.55,8804.35,8811.85,8814.65,8805.2,8803.85,8806.15,8798.95,8798.25,8795.6,8805.4,8800.15,8799.8,8804.4,8799.5,8802.15,8806.15,8813.75,8814.65,8810.9,8810.0,8807.2,8807.3,8807.15,8810.3,8811.3,8811.75,8811.95,8809.25,8810.45,8812.35,8814.3,8819.95,8817.95,8818.45,8819.0,8818.9,8820.95,8808.7,8806.7,8809.5,8812.7,8818.15,8828.75,8828.45,8830.1,8822.85,8822.8,8824.8,8824.9,8821.55,8822.4,8819.25,8822.35,8824.3,8827.4,8842.45,8833.95,8826.7,8826.6,8822.35
2015-01-30,8960.95,8942.5,8946.7,8945.55,8938.2,8933.7,8923.5,8918.95,8917.4,8920.1,8923.55,8923.65,8923.1,8926.95,8926.55,8914.3,8911.65,8911.9,8912.6,8910.4,8900.7,8894.4,8882.9,8861.95,8860.05,8860.7,8853.3,8843.7,8837.05,8820.5,8829.9,8832.4,8827.8,8828.75,8829.15,8830.05,8833.25,8841.05,8844.35,8845.45,8834.85,8830.95,8831.75,8832.85,8838.3,8835.6,8829.1,8830.7,8831.65,8828.75,8828.35,8827.4,8830.7,8834.15,8841.7,8841.6,8837.05,8831.4,8806.95,8798.55,8792.9,8786.8,8775.6,8779.55,8783.35,8794.85,8793.8,8784.45,8789.85,8796.25,8803.35,8803.85,8798.1,8801.45,8805.9
2015-02-06,8690.6,8704.7,8707.3,8706.4,8690.35,8694.0,8705.6,8707.25,8707.8,8705.1,8703.3,8690.8,8686.25,8680.85,8678.95,8678.2,8663.95,8666.05,8667.1,8663.1,8667.4,8671.0,8680.25,8673.0,8683.35,8680.3,8674.05,8671.0,8672.5,8678.85,8685.35,8687.4,8695.25,8690.7,8689.35,8688.0,8687.75,8699.45,8703.55,8697.85,8700.2,8700.25,8700.3,8704.65,8705.55,8702.2,8702.55,8679.75,8677.55,8679.45,8684.7,8680.55,8675.8,8682.0,8682.2,8681.85,8688.4,8686.55,8684.5,8684.9,8670.1,8662.3,8667.45,8666.4,8658.2,8649.25,8668.2,8667.95,8668.0,8646.65,8654.55,8652.65,8651.4,8663.3,8663.15
2015-02-13,8730.0,8734.2,8739.35,8747.6,8748.55,8751.4,8756.2,8757.05,8759.3,8753.3,8748.1,8750.2,8752.4,8750.7,8744.0,8744.05,8748.75,8746.55,8743.7,8741.45,8735.7,8737.25,8744.7,8741.25,8741.95,8741.9,8742.15,8746.1,8746.9,8748.7,8748.75,8750.8,8758.8,8760.4,8769.55,8763.25,8765.2,8756.5,8759.25,8766.85,8767.7,8773.65,8774.0,8773.6,8775.2,8783.9,8779.45,8775.7,8774.55,8780.35,8784.65,8781.6,8786.25,8788.6,8780.6,8781.7,8780.05,8780.65,8780.05,8787.3,8793.35,8791.8,8795.75,8796.85,8800.25,8802.95,8810.65,8813.25,8808.4,8809.35,8812.3,8803.9,8790.6,8790.9,8794.35
2015-02-20,8863.45,8871.85,8848.5,8830.35,8816.5,8821.15,8823.15,8827.2,8831.7,8819.35,8826.75,8830.5,8835.85,8844.6,8834.2,8832.5,8844.8,8841.7,8841.65,8840.05,8836.7,8839.05,8840.2,8839.0,8843.6,8847.85,8854.65,8859.9,8862.85,8865.5,8872.1,8871.55,8867.75,8863.4,8865.15,8863.45,8851.6,8851.85,8854.15,8854.15,8852.75,8854.15,8857.35,8858.1,8858.6,8861.7,8867.55,8861.5,8864.55,8868.7,8873.3,8880.15,8874.1,8871.75,8868.45,8859.8,8834.75,8833.3,8839.9,8858.95,8856.15,8861.85,8861.75,8860.25,8861.05,8851.1,8854.3,8853.95,8845.7,8836.75,8837.9,8831.95,8822.85,8821.55,8822.7
2015-02-27,8729.5,8723.2,8731.15,8731.8,8735.0,8731.55,8732.7,8730.45,8726.85,8722.95,8724.7,8725.9,8735.85,8729.8,8730.25,8733.6,8735.9,8730.0,8719.05,8717.6,8722.8,8723.75,8728.8,8730.75,8730.75,8730.85,8734.75,8748.4,8751.0,8755.6,8758.45,8755.8,8760.25,8763.5,8765.8,8767.9,8771.0,8769.55,8766.2,8761.35,8763.8,8766.2,8770.5,8770.05,8772.15,8775.5,8778.6,8790.4,8797.4,8802.7,8800.2,8798.4,8796.5,8800.15,8814.5,8814.0,8816.05,8807.0,8809.35,8812.45,8809.25,8807.7,8807.75,8815.2,8811.95,8802.45,8806.9,8811.6,8816.2,8829.65,8837.0,8843.6,8839.9,8839.65,8841.8
2015-03-20,8600.4,8589.85,8595.25,8596.7,8612.95,8608.5,8596.95,8605.15,8603.5,8599.1,8595.8,8594.05,8596.45,8592.65,8595.0,8594.85,8591.95,8590.5,8575.3,8580.0,8586.1,8595.25,8591.9,8592.9,8598.5,8601.3,8604.85,8607.8,8610.45,8606.45,8608.75,8594.75,8591.5,8586.6,8582.95,8581.95,8589.1,8584.95,8580.2,8583.65,8590.2,8584.05,8583.95,8586.6,8583.55,8581.3,8563.0,8567.05,8574.75,8575.3,8588.1,8591.3,8593.4,8589.3,8585.05,8589.45,8586.7,8589.05,8587.3,8572.7,8565.55,8565.5,8585.3,8586.1,8579.0,8582.75,8574.8,8565.7,8572.45,8572.85,8573.3,8569.6,8553.3,8563.6,8571.35
2015-03-27,8359.35,8371.7,8376.3,8367.25,8352.1,8346.0,8352.25,8348.95,8355.8,8358.0,8351.25,8352.2,8359.8,8353.85,8353.7,8339.35,8336.15,8338.15,8344.15,8345.85,8351.55,8361.45,8359.65,8357.3,8351.0,8351.4,8347.75,8346.9,8342.65,8335.8,8334.65,8341.95,8338.45,8338.75,8321.25,8318.25,8311.8,8310.4,8301.5,8296.2,8293.85,8280.7,8269.55,8275.4,8285.6,8290.95,8291.35,8296.55,8289.3,8291.6,8309.0,8314.75,8320.4,8334.4,8333.9,8338.4,8325.85,8318.3,8318.15,8328.25,8331.8,8324.0,8326.35,8317.2,8320.8,8320.7,8328.45,8344.75,8351.65,8338.8,8332.8,8333.45,8337.45,8338.15,8340.25
2015-04-10,8758.95,8761.95,8761.05,8765.2,8767.6,8762.7,8772.0,8767.6,8768.0,8769.0,8770.4,8761.15,8761.25,8762.45,8765.15,8764.25,8761.2,8761.5,8761.35,8763.25,8766.75,8767.55,8768.6,8765.55,8762.4,8749.4,8748.85,8749.15,8739.9,8742.1,8746.15,8753.25,8758.85,8759.95,8752.4,8750.1,8753.35,8754.0,8742.6,8746.1,8748.1,8750.85,8749.9,8752.75,8752.55,8755.5,8755.5,8748.35,8734.35,8744.35,8744.05,8742.15,8748.8,8741.6,8738.5,8741.75,8750.0,8751.05,8753.35,8758.3,8752.85,8758.85,8759.55,8761.85,8764.3,8760.25,8754.9,8762.1,8766.0,8768.25,8776.75,8779.8,8777.25,8774.3,8767.05
2015-04-17,8677.5,8671.55,8671.75,8665.35,8664.25,8654.95,8657.95,8656.95,8652.65,8656.4,8647.7,8638.55,8641.25,8639.15,8644.45,8646.35,8652.0,8651.6,8655.15,8648.8,8648.4,8658.4,8658.8,8661.85,8662.5,8665.5,8660.35,8656.65,8659.15,8656.9,8651.25,8648.8,8652.65,8654.85,8654.55,8650.55,8645.3,8650.5,8647.65,8644.35,8646.55,8656.1,8651.85,8649.95,8650.8,8649.65,8639.55,8635.75,8639.05,8641.3,8639.85,8641.7,8640.85,8637.1,8637.35,8647.1,8644.8,8643.3,8630.5,8630.05,8636.85,8638.45,8641.25,8643.4,8633.35,8629.3,8626.25,8628.1,8616.8,8603.9,8607.55,8600.25,8596.95,8602.5,8600.15
