date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-12,8245.6,8257.95,8254.45,8256.95,8256.7,8256.35,8265.1,8269.9,8272.9,8281.15,8273.45,8273.45,8283.1,8289.7,8290.8,8287.8,8281.35,8280.8,8283.65,8278.3,8277.05,8283.0,8282.4,8280.8,8276.1,8281.3,8282.65,8285.15,8281.4,8279.2,8279.8,8280.55,8283.75,8287.4,8279.75,8263.4,8258.4,8254.05,8252.5,8257.35,8260.75,8264.2,8262.75,8264.95,8265.55,8269.55,8268.3,8267.75,8265.65,8267.85,8266.8,8267.15,8275.05,8272.8,8277.5,8280.05,8279.45,8281.4,8288.4,8283.15,8282.15,8286.6,8306.2,8311.65,8313.9,8308.65,8304.55,8301.25,8303.15,8305.8,8317.65,8316.4,8318.6,8325.4,8324.8
2015-02-02,8777.4,8772.65,8772.45,8775.85,8773.65,8772.8,8781.65,8780.35,8785.9,8788.45,8782.4,8775.65,8776.85,8775.6,8777.3,8772.65,8779.1,8787.05,8790.05,8789.75,8785.1,8786.0,8785.5,8785.25,8785.55,8783.7,8782.45,8779.9,8784.3,8777.9,8775.05,8769.25,8756.25,8755.45,8751.45,8756.3,8761.85,8756.65,8752.85,8759.5,8759.2,8761.25,8758.25,8754.65,8756.4,8755.85,8755.85,8755.95,8756.05,8755.35,8757.5,8777.4,8793.05,8806.5,8811.2,8808.85,8807.9,8809.15,8823.6,8812.4,8809.5,8809.35,8801.7,8793.35,8779.45,8784.45,8775.35,8776.3,8776.7,8784.4,8793.6,8791.0,8789.6,8796.25,8795.7
2015-02-09,8577.85,8589.7,8582.5,8579.25,8574.7,8582.05,8582.4,8570.9,8564.85,8551.95,8552.1,8555.4,8548.2,8554.35,8568.3,8564.0,8560.7,8564.25,8563.55,8565.2,8566.1,8566.95,8556.4,8556.6,8554.15,8562.55,8568.85,8571.7,8574.45,8574.05,8573.75,8571.6,8574.4,8574.1,8566.0,8564.75,8563.8,8566.0,8566.75,8569.55,8574.85,8575.8,8576.95,8580.45,8585.1,8579.2,8575.65,8579.25,8582.3,8585.35,8578.25,8578.8,8578.5,8573.55,8566.35,8559.4,8565.95,8558.7,8567.25,8563.1,8562.3,8554.35,8550.2,8547.25,8547.7,8545.05,8548.35,8553.05,8544.65,8539.85,8522.2,8521.15,8516.85,8525.3,8516.35
2015-02-16,8825.4,8828.1,8841.4,8853.3,8857.5,8852.75,8843.05,8843.25,8843.0,8841.9,8846.85,8849.15,8852.2,8850.7,8852.35,8862.5,8864.75,8861.9,8858.8,8850.55,8844.45,8844.85,8846.3,8845.4,8831.35,8823.45,8818.85,8821.5,8815.3,8821.35,8827.6,8826.25,8828.6,8824.5,8826.4,8820.05,8819.05,8826.25,8832.5,8833.0,8825.1,8827.95,8829.2,8826.55,8828.1,8828.8,8817.25,8824.35,8825.05,8824.05,8826.2,8828.45,8826.2,8826.9,8828.65,8833.2,8838.55,8832.5,8828.0,8830.75,8835.45,8836.55,8840.45,8844.35,8848.2,8839.3,8838.45,8833.25,8836.55,8828.25,8806.75,8801.9,8793.7,8795.8,8801.75
2015-02-23,8839.2,8854.9,8851.15,8847.6,8846.75,8857.25,8861.75,8858.15,8859.5,8847.1,8841.6,8841.0,8842.1,8850.55,8849.55,8845.75,8853.05,8854.5,8852.1,8851.1,8843.8,8844.9,8847.65,8845.85,8846.45,8835.45,8836.5,8840.5,8841.85,8845.2,8838.7,8832.35,8832.1,8836.8,8838.1,8844.95,8845.7,8841.7,8842.15,8844.85,8848.0,8848.1,8843.8,8843.65,8841.1,8840.0,8839.55,8843.4,8847.55,8846.8,8844.9,8844.6,8841.7,8838.4,8840.35,8814.3,8813.0,8820.9,8782.55,8768.6,8768.75,8763.45,8766.6,8761.25,8762.7,8762.8,8753.85,8748.8,8756.65,8753.65,8768.9,8759.65,8741.6,8740.9,8737.25
2015-03-02,8931.25,8935.4,8923.4,8930.25,8945.65,8953.3,8957.7,8953.3,8953.55,8953.2,8952.2,8949.05,8955.9,8959.55,8950.25,8942.55,8939.75,8940.7,8932.95,8921.05,8921.3,8918.2,8917.95,8924.3,8907.7,8893.4,8900.65,8904.4,8902.5,8890.65,8890.6,8903.9,8893.6,8891.25,8885.65,8896.7,8891.35,8895.0,8907.45,8920.8,8916.95,8910.75,8913.05,8913.85,8914.75,8912.9,8904.1,8898.1,8892.9,8899.1,8894.1,8894.1,8903.9,8909.2,8910.75,8915.75,8907.15,8914.9,8917.3,8917.05,8917.7,8917.85,8927.85,8932.8,8935.7,8935.9,8912.9,8917.7,8920.0,8924.65,8945.05,8954.45,8952.4,8961.2,8959.05
2015-03-09,8830.8,8823.0,8825.5,8822.85,8811.75,8803.7,8806.55,8806.35,8814.7,8820.35,8814.9,8813.5,8808.7,8801.1,8812.45,8814.6,8815.2,8821.5,8818.8,8818.5,8819.4,8821.75,8815.05,8811.35,8807.7,8804.55,8806.85,8804.8,8808.0,8814.25,8817.55,8817.5,8812.25,8807.1,8809.25,8812.25,8813.7,8815.85,8817.5,8817.7,8810.35,8811.45,8810.15,8810.7,8815.3,8817.4,8812.15,8788.3,8784.9,8777.55,8781.25,8775.1,8766.25,8764.0,8754.1,8760.55,8769.35,8777.7,8773.0,8777.1,8767.2,8771.8,8773.35,8775.2,8779.0,8775.55,8772.6,8763.5,8762.0,8770.35,8762.15,8755.8,8745.75,8750.0,8740.45
2015-03-23,8591.55,8585.4,8589.55,8580.2,8575.0,8565.55,8560.15,8576.65,8568.85,8576.85,8571.2,8570.5,8576.2,8574.05,8575.2,8581.65,8573.55,8575.35,8573.7,8567.05,8567.1,8573.0,8572.7,8572.95,8573.1,8567.7,8566.85,8570.85,8574.45,8574.65,8580.95,8581.9,8584.4,8588.35,8585.5,8589.5,8589.05,8586.35,8585.9,8586.5,8579.7,8578.05,8578.1,8579.4,8573.0,8575.0,8578.15,8577.2,8572.8,8580.2,8582.2,8573.05,8563.5,8556.6,8556.35,8548.0,8548.4,8563.55,8546.95,8549.3,8549.25,8546.9,8549.4,8555.9,8557.1,8550.9,8545.6,8540.75,8547.15,8546.95,8553.95,8550.85,8546.05,8541.2,8546.55
2015-03-30,8389.4,8381.2,8384.6,8385.55,8397.75,8400.3,8404.6,8398.75,8396.5,8407.0,8405.9,8397.75,8397.8,8400.8,8400.05,8403.15,8408.15,8421.2,8426.3,8425.15,8415.55,8412.75,8410.65,8414.7,8413.95,8415.9,8414.45,8400.55,8402.1,8404.9,8405.8,8398.95,8403.95,8406.0,8400.95,8401.8,8399.05,8402.0,8405.95,8404.2,8409.45,8411.1,8410.95,8420.45,8421.25,8418.75,8427.75,8420.95,8427.6,8438.35,8438.1,8437.45,8438.0,8444.25,8448.05,8458.0,8458.85,8459.7,8452.0,8453.3,8462.4,8467.35,8456.1,8456.45,8455.5,8459.75,8466.8,8472.5,8475.75,8480.6,8484.5,8488.7,8486.05,8485.35,8493.15
2015-04-06,8595.2,8579.9,8575.95,8577.25,8579.35,8584.5,8585.75,8581.15,8575.9,8577.7,8579.85,8587.05,8588.3,8591.5,8588.9,8582.2,8583.85,8588.75,8591.1,8587.95,8584.0,8587.5,8586.7,8587.4,8587.9,8586.85,8582.65,8577.95,8573.85,8580.35,8584.8,8587.7,8583.85,8581.85,8577.15,8576.8,8577.55,8581.75,8584.4,8581.1,8581.2,8586.95,8588.95,8589.3,8589.2,8590.8,8595.1,8593.7,8601.4,8605.4,8600.0,8601.2,8605.55,8607.25,8615.5,8622.05,8617.15,8615.55,8616.4,8622.05,8617.4,8620.35,8623.75,8635.25,8632.4,8640.7,8644.2,8649.6,8644.3,8647.45,8655.7,8652.35,8651.6,8660.95,8652.0
