date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-15,8380.75,8392.6,8407.2,8415.8,8414.85,8406.35,8405.65,8406.4,8409.35,8417.15,8411.5,8404.3,8401.95,8402.55,8406.6,8404.05,8405.35,8399.1,8403.75,8413.6,8415.45,8417.1,8420.0,8422.95,8431.55,8430.8,8430.45,8430.8,8440.25,8451.5,8456.8,8456.0,8459.6,8460.95,8454.15,8453.55,8451.75,8457.55,8459.75,8459.45,8460.55,8465.4,8469.1,8474.05,8473.35,8473.3,8473.9,8470.05,8468.15,8474.1,8475.15,8476.1,8480.9,8481.35,8475.3,8472.9,8474.25,8475.6,8483.15,8488.2,8487.75,8487.85,8487.1,8491.4,8504.9,8506.1,8511.6,8509.35,8509.6,8505.4,8497.8,8502.2,8497.6,8460.7,8459.35
2015-01-22,8745.5,8742.55,8737.7,8735.0,8742.7,8745.95,8753.9,8751.45,8755.2,8754.9,8751.6,8753.8,8762.5,8760.05,8760.9,8764.1,8765.05,8765.9,8768.15,8760.95,8752.75,8750.5,8747.8,8747.95,8753.25,8752.05,8750.05,8754.4,8755.5,8756.95,8754.75,8756.0,8756.6,8759.65,8759.05,8757.8,8752.4,8752.2,8752.35,8744.5,8745.7,8754.05,8751.1,8747.25,8746.0,8744.95,8741.55,8742.6,8745.95,8743.5,8744.2,8744.35,8744.5,8746.6,8747.05,8745.35,8741.0,8734.5,8736.05,8728.75,8727.15,8731.35,8741.7,8738.5,8737.55,8739.9,8737.95,8735.05,8735.4,8735.65,8752.75,8753.5,8759.95,8768.85,8760.15
2015-01-29,8870.45,8862.15,8865.35,8862.65,8861.65,8864.95,8871.15,8869.55,8875.65,8879.4,8871.45,8868.8,8873.0,8876.65,8882.35,8879.55,8883.85,8887.95,8883.05,8879.5,8877.6,8876.4,8878.2,8872.75,8869.75,8864.55,8863.4,8865.85,8868.35,8873.25,8876.25,8876.2,8883.15,8886.9,8885.45,8894.9,8891.15,8886.85,8886.55,8886.0,8885.9,8886.75,8877.4,8875.15,8881.6,8881.6,8876.65,8874.35,8872.0,8875.5,8880.95,8883.9,8888.55,8894.6,8891.3,8892.55,8890.75,8883.85,8875.95,8878.9,8879.1,8879.4,8874.9,8871.35,8878.25,8884.15,8886.45,8884.2,8886.7,8895.5,8947.65,8953.45,8948.2,8949.4,8945.05
2015-02-05,8705.75,8706.9,8726.35,8728.8,8729.05,8732.0,8734.5,8734.65,8735.65,8740.6,8748.75,8750.35,8758.0,8759.1,8748.15,8745.0,8749.35,8749.5,8743.3,8738.45,8743.5,8744.65,8748.35,8751.25,8750.9,8751.6,8758.6,8756.05,8751.75,8746.35,8743.1,8742.05,8742.3,8748.8,8745.8,8751.05,8750.35,8748.8,8754.1,8750.7,8750.05,8752.75,8753.6,8753.7,8754.25,8756.3,8758.45,8753.9,8777.55,8791.8,8804.7,8794.3,8787.15,8794.65,8797.6,8796.4,8801.7,8807.5,8821.8,8824.15,8821.6,8817.05,8812.95,8812.75,8803.15,8789.4,8785.35,8782.35,8742.4,8743.3,8712.05,8707.8,8695.95,8683.95,8693.65
2015-02-12,8655.15,8652.8,8646.65,8631.5,8629.75,8636.85,8627.75,8633.05,8642.65,8642.25,8633.75,8623.2,8618.05,8615.65,8628.1,8631.4,8631.4,8625.1,8622.5,8627.7,8626.6,8626.3,8630.6,8628.15,8627.3,8620.1,8617.1,8599.4,8601.0,8606.15,8601.5,8606.3,8610.95,8609.15,8604.3,8601.85,8610.0,8612.25,8611.9,8605.4,8603.9,8607.8,8607.5,8610.4,8603.85,8605.25,8602.45,8605.85,8609.45,8617.4,8618.05,8614.75,8618.8,8620.15,8623.5,8624.35,8627.85,8631.5,8633.05,8637.2,8650.2,8648.75,8647.05,8645.45,8655.45,8663.1,8673.15,8677.55,8674.45,8679.9,8688.45,8712.25,8713.05,8716.15,8721.55
2015-02-19,8883.05,8887.85,8880.85,8883.45,8879.25,8883.5,8887.15,8883.65,8883.5,8886.9,8891.8,8891.1,8892.4,8887.9,8883.15,8880.1,8865.95,8851.95,8847.2,8854.45,8839.4,8820.5,8809.95,8813.8,8816.7,8819.5,8822.6,8816.55,8821.15,8827.5,8829.5,8832.05,8827.35,8824.3,8832.15,8828.25,8828.95,8830.7,8831.15,8830.9,8835.45,8836.05,8842.85,8838.35,8840.65,8838.75,8827.45,8824.95,8829.8,8833.2,8830.2,8830.2,8822.85,8823.55,8834.9,8829.95,8816.4,8815.6,8794.55,8797.1,8803.75,8805.75,8811.1,8824.9,8826.2,8826.35,8835.4,8845.95,8847.7,8859.75,8880.2,8891.35,8894.75,8900.15,8895.25
2015-02-26,8750.4,8742.3,8748.35,8745.9,8739.95,8734.15,8736.0,8740.7,8739.9,8745.6,8744.75,8747.15,8735.2,8731.7,8739.2,8745.25,8741.3,8741.65,8744.25,8736.05,8735.75,8737.55,8737.85,8738.2,8745.2,8750.3,8750.1,8748.55,8744.6,8742.8,8747.4,8746.3,8742.05,8737.75,8735.75,8727.05,8738.4,8740.0,8734.7,8731.25,8732.9,8717.5,8710.35,8718.3,8706.9,8713.95,8716.7,8718.6,8715.5,8716.55,8716.7,8710.1,8690.3,8676.3,8673.65,8683.45,8691.85,8690.0,8696.35,8704.4,8702.4,8708.55,8713.3,8716.0,8716.35,8720.25,8699.2,8701.55,8698.85,8678.15,8669.85,8671.15,8679.0,8681.75,8679.0
2015-03-05,8917.85,8920.2,8931.6,8927.45,8930.1,8922.6,8913.2,8909.4,8892.65,8901.6,8915.05,8916.4,8918.4,8928.2,8931.0,8931.25,8925.85,8918.75,8922.35,8915.3,8914.6,8924.45,8928.25,8924.2,8921.1,8924.8,8925.25,8928.8,8915.7,8904.1,8903.55,8896.7,8894.05,8905.1,8894.3,8893.85,8903.35,8904.25,8901.9,8900.15,8901.55,8897.75,8866.85,8863.75,8870.6,8870.4,8852.3,8852.3,8849.45,8863.25,8869.15,8865.8,8870.5,8864.65,8866.25,8869.65,8884.45,8900.75,8897.35,8904.4,8905.95,8893.85,8892.2,8892.3,8897.7,8893.9,8892.65,8901.35,8905.5,8901.85,8912.2,8941.65,8940.95,8930.95,8932.25
2015-03-12,8736.7,8733.5,8753.75,8759.9,8758.0,8761.5,8765.75,8760.7,8761.65,8761.85,8752.45,8752.25,8755.95,8750.25,8751.45,8755.95,8755.7,8760.9,8759.85,8765.35,8755.85,8756.25,8756.95,8756.75,8756.05,8756.05,8760.25,8761.15,8754.8,8756.8,8759.2,8756.2,8751.4,8745.7,8744.0,8744.5,8747.35,8747.55,8751.1,8753.2,8755.95,8761.3,8758.85,8758.55,8755.25,8748.95,8748.25,8750.0,8754.7,8751.15,8751.8,8745.0,8745.05,8750.95,8753.3,8750.95,8750.5,8756.0,8760.6,8753.2,8749.8,8749.05,8751.8,8751.2,8758.85,8762.1,8759.0,8757.1,8753.55,8756.3,8768.6,8773.85,8773.9,8774.6,8771.4
2015-03-19,8733.0,8732.15,8735.15,8743.75,8771.7,8774.6,8773.0,8775.9,8774.15,8775.55,8778.45,8775.35,8772.2,8767.4,8767.0,8767.65,8763.0,8760.9,8761.65,8756.6,8742.7,8740.75,8739.2,8739.35,8740.85,8746.85,8747.0,8731.15,8723.95,8727.65,8725.0,8735.1,8732.5,8736.05,8740.0,8740.85,8740.45,8740.55,8744.05,8744.35,8749.9,8743.85,8734.15,8736.95,8726.3,8731.3,8734.55,8735.15,8736.1,8740.55,8745.05,8744.35,8738.9,8741.65,8744.05,8742.8,8737.7,8740.0,8736.45,8733.9,8743.6,8741.25,8702.1,8694.9,8688.8,8693.65,8684.05,8678.15,8655.1,8651.5,8614.95,8616.4,8629.4,8623.45,8620.25
