date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-13,8338.5,8325.6,8324.4,8323.3,8322.0,8331.9,8338.0,8342.55,8339.45,8333.1,8335.05,8336.4,8333.95,8332.15,8333.9,8336.1,8337.25,8340.75,8341.15,8340.95,8337.6,8336.05,8335.2,8335.45,8336.2,8328.65,8328.15,8323.3,8326.9,8332.85,8331.1,8333.4,8337.65,8335.45,8337.7,8336.65,8339.8,8340.0,8332.9,8329.45,8324.1,8321.3,8325.9,8326.8,8328.3,8332.3,8333.65,8336.75,8340.65,8346.3,8343.7,8343.95,8341.2,8345.8,8349.25,8350.9,8350.2,8348.9,8349.25,8339.25,8337.85,8329.5,8318.05,8297.6,8297.05,8271.3,8268.15,8269.7,8275.0,8274.75,8284.45,8298.4,8296.2,8304.7,8303.8
2015-01-20,8575.1,8579.75,8574.65,8579.75,8588.45,8587.7,8590.4,8589.35,8588.95,8591.2,8591.15,8591.85,8597.6,8592.95,8592.75,8593.1,8593.45,8592.85,8598.1,8601.4,8600.55,8599.6,8600.4,8599.25,8592.9,8592.45,8592.0,8593.85,8594.75,8594.45,8596.2,8599.8,8600.85,8602.95,8599.1,8599.85,8602.7,8605.9,8609.75,8614.5,8615.8,8617.65,8618.2,8612.9,8614.25,8616.25,8619.0,8622.75,8619.7,8614.0,8616.55,8625.0,8624.75,8627.75,8634.5,8634.75,8637.9,8642.25,8647.35,8653.25,8654.5,8659.4,8659.2,8660.05,8663.9,8672.95,8680.85,8686.7,8686.45,8692.4,8700.0,8689.15,8687.8,8687.1,8690.8
2015-01-27,8826.1,8837.0,8837.55,8846.4,8837.75,8843.85,8847.95,8850.95,8847.3,8851.05,8855.4,8853.3,8853.8,8855.4,8856.2,8852.15,8854.25,8847.85,8848.25,8847.35,8847.25,8847.05,8843.8,8840.05,8844.15,8845.8,8842.4,8842.3,8836.55,8832.45,8834.9,8828.75,8826.0,8825.55,8827.2,8829.45,8833.1,8840.0,8839.55,8833.35,8833.9,8836.9,8836.7,8836.05,8834.95,8835.3,8840.3,8846.35,8846.75,8846.55,8847.0,8846.0,8854.15,8850.7,8845.85,8842.55,8846.65,8848.95,8847.0,8846.5,8850.55,8856.35,8860.0,8866.5,8875.55,8879.35,8883.35,8888.3,8891.55,8896.15,8910.0,8915.5,8907.15,8902.0,8902.1
2015-02-03,8822.05,8815.05,8813.05,8813.7,8818.65,8814.3,8814.5,8815.45,8802.95,8798.2,8801.2,8799.05,8786.45,8787.15,8792.15,8791.4,8797.4,8799.15,8793.45,8798.45,8796.35,8768.7,8778.8,8792.5,8811.35,8808.35,8808.85,8794.55,8795.5,8791.2,8759.0,8744.45,8729.7,8733.85,8740.8,8737.4,8733.55,8728.85,8738.4,8739.7,8741.8,8744.65,8746.9,8741.6,8736.95,8736.8,8730.0,8726.65,8731.45,8731.7,8735.45,8735.15,8744.55,8746.2,8755.35,8764.4,8773.75,8768.8,8772.65,8770.35,8768.65,8767.3,8769.75,8765.4,8752.75,8752.9,8754.85,8765.55,8769.05,8767.5,8767.1,8757.6,8747.55,8740.4,8740.8
2015-02-10,8472.05,8534.4,8539.85,8541.4,8544.95,8563.05,8573.6,8586.4,8580.1,8558.25,8560.25,8577.4,8575.9,8581.45,8583.75,8583.6,8590.7,8596.0,8597.3,8591.75,8593.5,8593.65,8593.0,8599.2,8599.15,8620.5,8626.5,8632.1,8625.4,8619.9,8611.95,8609.25,8610.1,8598.6,8589.6,8572.85,8560.1,8553.75,8570.8,8569.95,8575.4,8573.8,8576.8,8581.9,8580.8,8567.7,8566.5,8562.8,8566.85,8563.05,8556.35,8550.55,8546.75,8537.95,8549.75,8541.9,8525.25,8508.65,8485.55,8474.95,8486.95,8484.0,8483.55,8504.0,8514.3,8532.1,8537.85,8547.65,8560.8,8561.0,8561.7,8552.3,8548.15,8561.0,8565.4
2015-02-24,8746.5,8753.25,8755.1,8754.15,8764.4,8760.7,8767.55,8757.45,8757.4,8752.55,8748.65,8755.55,8754.55,8764.55,8768.8,8771.2,8766.15,8762.1,8762.05,8754.05,8753.1,8737.15,8738.6,8745.95,8742.35,8741.9,8748.4,8754.15,8760.9,8758.0,8757.45,8760.8,8760.05,8757.0,8753.45,8756.95,8761.45,8759.15,8760.45,8765.75,8758.8,8755.0,8755.75,8745.15,8743.0,8744.25,8744.75,8746.65,8751.7,8765.0,8768.55,8779.55,8772.15,8772.35,8775.8,8786.75,8781.1,8783.0,8789.65,8770.4,8760.2,8759.65,8742.1,8738.35,8727.25,8727.4,8740.95,8748.0,8747.75,8748.2,8751.2,8758.95,8765.7,8759.05,8757.25
2015-03-03,8927.1,8925.7,8930.95,8932.3,8945.6,8948.65,8953.05,8946.4,8943.7,8943.55,8949.35,8952.3,8952.25,8959.0,8963.7,8956.0,8955.75,8955.75,8955.5,8957.45,8953.8,8952.75,8948.55,8946.55,8941.2,8939.8,8937.0,8938.85,8941.6,8945.35,8943.2,8945.8,8946.85,8956.25,8952.15,8956.85,8958.2,8961.7,8959.1,8962.4,8961.5,8960.95,8963.35,8971.5,8972.7,8971.55,8972.6,8968.4,8973.3,8974.55,8973.65,8978.25,8982.85,8981.85,8961.7,8961.1,8960.7,8967.15,8971.25,8975.2,8975.65,8977.15,8979.5,8978.45,8981.05,8983.3,8978.25,8986.75,8986.7,8990.7,9002.6,8989.95,8990.5,8991.7,8993.5
2015-03-10,8734.8,8739.85,8735.75,8750.95,8741.9,8740.5,8745.8,8736.45,8737.3,8747.6,8741.55,8725.4,8734.15,8740.55,8745.2,8743.5,8758.75,8754.05,8754.75,8762.45,8765.95,8767.95,8757.05,8754.9,8756.9,8759.45,8762.6,8763.85,8763.85,8757.95,8749.65,8750.35,8749.6,8745.4,8749.4,8750.45,8746.3,8744.1,8750.4,8756.55,8759.05,8754.2,8751.3,8753.7,8757.0,8751.05,8755.55,8728.6,8728.1,8728.8,8737.25,8739.7,8732.1,8717.1,8701.05,8698.05,8694.2,8698.85,8697.05,8702.5,8705.5,8698.25,8700.5,8682.9,8680.45,8689.1,8689.15,8677.6,8678.15,8682.6,8687.25,8712.8,8711.2,8712.75,8717.7
2015-03-17,8674.4,8670.45,8668.15,8670.7,8665.45,8666.2,8669.4,8681.6,8680.95,8696.3,8709.45,8715.8,8712.6,8711.6,8719.6,8713.25,8714.0,8711.6,8714.4,8717.4,8716.95,8717.75,8718.0,8719.85,8721.25,8725.35,8727.05,8727.25,8726.95,8718.95,8716.75,8712.3,8711.35,8693.35,8684.2,8670.3,8675.1,8683.7,8675.85,8680.3,8682.9,8682.35,8679.65,8680.0,8652.9,8654.95,8642.0,8644.9,8650.95,8645.05,8649.1,8655.35,8650.7,8631.15,8632.3,8639.55,8642.0,8643.25,8649.35,8652.95,8647.1,8648.15,8648.1,8639.2,8640.4,8650.0,8650.0,8646.75,8655.95,8674.3,8703.3,8718.3,8725.25,8726.35,8720.85
2015-03-24,8537.05,8543.05,8559.85,8553.95,8557.4,8561.45,8565.65,8567.5,8573.75,8574.15,8574.0,8574.75,8577.15,8578.0,8570.75,8567.75,8565.55,8566.4,8570.0,8577.05,8580.4,8579.75,8579.55,8580.7,8582.15,8587.2,8588.9,8590.55,8597.9,8589.95,8592.7,8590.4,8585.5,8574.2,8575.6,8581.8,8579.05,8578.4,8581.55,8586.3,8582.8,8579.6,8577.35,8578.75,8577.0,8579.9,8578.9,8579.6,8562.85,8558.0,8558.9,8551.0,8547.2,8553.35,8554.2,8559.8,8573.9,8586.25,8604.15,8599.05,8613.95,8608.5,8602.85,8611.7,8601.25,8574.15,8559.45,8549.2,8549.3,8537.15,8536.95,8537.65,8538.3,8539.8,8542.75
2015-03-31,8505.25,8501.7,8500.05,8511.0,8515.3,8520.4,8520.35,8516.15,8509.4,8510.75,8512.6,8512.6,8509.65,8507.25,8509.55,8512.3,8515.1,8517.6,8523.4,8525.4,8520.9,8519.9,8513.95,8510.1,8512.2,8514.45,8518.15,8519.7,8512.75,8513.8,8519.8,8522.65,8522.3,8521.85,8521.75,8523.65,8526.15,8528.25,8522.95,8513.55,8516.3,8520.1,8522.85,8524.3,8522.95,8520.65,8520.85,8524.3,8528.7,8529.55,8532.3,8538.85,8534.15,8535.85,8539.0,8539.3,8540.05,8539.8,8538.55,8535.45,8508.35,8484.5,8474.9,8455.05,8465.95,8476.9,8477.8,8478.6,8473.1,8474.1,8487.45,8492.6,8489.4,8489.5,8480.9
2015-04-07,8675.9,8681.85,8672.7,8673.45,8659.95,8657.5,8655.35,8662.65,8663.5,8664.35,8666.75,8665.3,8667.4,8663.85,8651.45,8651.1,8652.4,8654.55,8652.8,8649.0,8639.65,8633.15,8628.65,8613.65,8614.65,8623.75,8632.35,8634.6,8638.2,8639.8,8641.6,8650.3,8662.9,8637.05,8619.15,8605.95,8611.25,8598.65,8598.15,8600.75,8609.05,8597.7,8589.1,8586.9,8604.6,8608.45,8606.35,8601.55,8606.9,8597.7,8594.85,8603.05,8601.85,8604.45,8603.65,8603.3,8604.1,8593.2,8593.2,8603.85,8616.05,8618.95,8605.6,8611.45,8617.7,8618.8,8626.7,8619.95,8609.75,8612.55,8638.7,8646.4,8657.2,8669.5,8674.7
2015-04-21,8406.2,8417.65,8447.6,8450.15,8431.45,8425.45,8423.15,8430.6,8416.95,8404.25,8397.6,8400.8,8412.6,8400.0,8382.9,8388.15,8393.45,8402.75,8411.3,8418.15,8411.65,8413.35,8421.45,8427.45,8422.45,8425.9,8436.45,8440.6,8442.75,8439.95,8434.2,8437.85,8441.75,8444.25,8435.0,8421.8,8416.25,8420.55,8424.75,8423.8,8429.2,8431.75,8440.25,8451.15,8447.0,8441.75,8444.15,8449.9,8438.25,8435.15,8435.3,8437.0,8431.6,8421.65,8420.15,8429.55,8434.85,8431.7,8424.2,8423.95,8429.45,8435.7,8427.55,8415.9,8407.6,8410.1,8387.2,8388.5,8381.3,8377.95,8361.3,8353.1,8367.65,8379.95,8388.85
2015-04-28,8185.75,8204.6,8210.75,8218.55,8213.05,8213.1,8220.75,8224.95,8234.4,8239.25,8249.6,8242.15,8239.2,8241.35,8254.25,8251.4,8252.75,8251.4,8239.9,8236.55,8230.5,8237.35,8240.65,8246.25,8242.4,8240.4,8235.0,8231.05,8232.55,8228.9,8225.05,8211.1,8210.55,8194.8,8199.6,8204.35,8209.2,8216.35,8212.85,8214.1,8216.15,8212.85,8212.75,8215.55,8217.3,8217.8,8214.7,8198.25,8196.45,8195.9,8203.3,8202.1,8190.05,8199.7,8200.35,8223.8,8216.35,8211.75,8203.25,8205.25,8214.15,8214.55,8214.85,8218.7,8226.65,8232.5,8246.65,8269.75,8278.5,8278.6,8297.75,8296.8,8270.3,8261.75,8262.25
2015-05-05,8310.65,8316.1,8311.85,8300.15,8302.45,8305.75,8315.1,8318.85,8316.3,8309.35,8311.3,8313.2,8316.45,8320.3,8326.4,8335.45,8336.95,8331.9,8338.35,8341.55,8341.75,8347.35,8348.85,8347.4,8340.95,8338.5,8342.2,8341.9,8342.8,8340.65,8333.7,8322.55,8324.55,8316.95,8317.0,8327.7,8323.5,8324.8,8324.1,8320.65,8322.75,8329.95,8325.65,8325.05,8320.35,8314.35,8310.0,8297.05,8280.6,8281.5,8296.2,8303.05,8301.35,8296.0,8303.3,8309.3,8308.2,8309.15,8310.25,8313.5,8315.3,8313.9,8310.0,8294.2,8297.05,8303.05,8302.2,8304.25,8313.2,8319.1,8319.3,8320.45,8319.4,8322.05,8320.7
2015-05-12,8246.7,8247.05,8231.9,8204.7,8206.0,8210.4,8202.7,8200.9,8208.05,8211.85,8207.9,8170.55,8175.2,8163.85,8159.2,8161.95,8163.75,8167.45,8167.95,8168.65,8171.85,8178.65,8174.95,8169.6,8167.2,8170.9,8179.9,8174.7,8176.15,8173.3,8165.9,8167.9,8164.75,8161.15,8159.7,8151.7,8138.15,8141.65,8149.2,8149.6,8155.5,8151.4,8150.55,8143.95,8144.15,8149.35,8146.95,8138.0,8143.5,8140.05,8144.15,8148.0,8149.4,8151.2,8152.55,8154.4,8147.4,8131.35,8129.95,8136.0,8136.9,8136.0,8144.4,8140.15,8141.15,8136.85,8132.65,8134.95,8140.1,8125.8,8119.55,8115.45,8116.3,8124.05,8124.25
2015-05-19,8343.45,8351.6,8347.05,8335.25,8338.2,8344.8,8347.9,8348.0,8343.15,8342.4,8344.85,8349.5,8351.8,8353.55,8355.3,8357.1,8358.2,8365.05,8364.1,8360.2,8358.3,8357.0,8354.9,8356.5,8359.35,8361.5,8361.55,8360.0,8361.1,8365.35,8371.25,8370.0,8372.15,8375.55,8383.7,8388.9,8391.8,8393.3,8393.3,8390.9,8393.25,8400.0,8399.6,8404.5,8404.45,8401.35,8400.7,8402.85,8405.05,8408.75,8409.45,8409.1,8406.95,8409.05,8409.45,8418.05,8418.45,8421.5,8418.9,8393.6,8356.8,8335.3,8336.8,8360.4,8361.5,8346.35,8349.75,8361.35,8370.35,8371.3,8366.75,8360.95,8362.45,8355.8,8356.45
2015-05-26,8360.65,8364.15,8347.55,8337.5,8343.5,8342.65,8342.35,8345.65,8352.8,8354.3,8355.45,8361.7,8357.4,8352.9,8352.05,8346.4,8350.1,8348.75,8350.0,8350.1,8353.25,8352.95,8349.5,8352.0,8352.25,8351.85,8353.5,8356.9,8357.1,8358.0,8355.3,8353.3,8349.65,8348.55,8352.15,8351.25,8351.8,8349.05,8345.5,8346.15,8348.1,8350.9,8349.95,8354.85,8347.9,8346.05,8349.45,8346.3,8345.7,8334.8,8339.8,8341.9,8339.2,8336.85,8332.05,8328.75,8327.05,8324.1,8322.1,8328.4,8327.75,8329.4,8330.1,8324.35,8320.15,8323.6,8325.4,8327.45,8330.4,8332.9,8331.05,8329.1,8331.3,8341.95,8347.85
