date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-14,8286.85,8290.05,8297.0,8300.4,8305.6,8313.7,8317.25,8310.8,8311.4,8302.9,8299.0,8300.4,8290.9,8290.3,8291.0,8295.05,8295.2,8298.15,8298.6,8303.25,8304.65,8296.4,8290.45,8287.3,8283.15,8278.55,8281.55,8284.15,8281.0,8281.45,8287.15,8287.4,8281.95,8271.7,8272.85,8274.6,8272.65,8273.25,8247.15,8236.75,8238.25,8247.6,8246.35,8243.4,8243.5,8251.0,8249.6,8248.85,8257.05,8256.65,8251.25,8244.05,8245.25,8252.65,8252.45,8247.4,8248.85,8251.55,8251.35,8271.55,8280.45,8289.4,8282.15,8275.5,8269.3,8260.75,8253.3,8252.2,8252.9,8262.3,8270.3,8269.85,8269.0,8277.75,8284.7
2015-01-21,8699.9,8705.85,8712.15,8711.45,8716.75,8724.9,8723.6,8726.55,8728.5,8733.1,8720.6,8714.65,8713.1,8721.3,8727.5,8721.45,8719.95,8718.15,8713.2,8708.1,8703.2,8699.4,8689.7,8701.7,8696.4,8697.75,8703.1,8708.9,8710.9,8706.15,8707.4,8709.35,8713.45,8718.45,8722.6,8719.75,8715.95,8716.95,8720.85,8717.65,8717.9,8709.8,8708.85,8703.05,8706.85,8708.3,8709.6,8714.45,8717.05,8716.55,8717.45,8717.55,8723.9,8728.0,8720.25,8720.1,8721.6,8723.75,8714.8,8712.25,8705.75,8704.2,8703.2,8709.8,8716.5,8718.4,8720.4,8721.75,8721.65,8723.15,8724.85,8728.5,8723.6,8726.95,8727.0
2015-01-28,8893.95,8892.65,8894.35,8904.55,8901.3,8889.95,8889.35,8894.4,8894.7,8901.45,8906.0,8909.15,8900.3,8898.5,8901.35,8903.3,8905.4,8898.4,8898.75,8902.85,8908.7,8912.1,8917.6,8922.4,8928.0,8940.25,8944.55,8950.1,8946.8,8951.25,8954.1,8950.5,8950.2,8952.75,8951.45,8955.1,8953.4,8956.65,8970.3,8974.55,8955.6,8927.7,8918.6,8917.3,8918.1,8907.55,8915.55,8922.2,8923.35,8925.2,8907.7,8908.6,8910.4,8903.2,8903.6,8892.45,8893.15,8899.5,8905.5,8907.75,8890.5,8880.3,8882.2,8890.65,8874.2,8875.6,8875.9,8885.85,8888.1,8898.55,8910.1,8913.4,8911.35,8908.6,8905.0
2015-02-04,8768.95,8766.95,8763.75,8764.95,8765.55,8759.55,8758.95,8755.25,8756.15,8756.85,8743.2,8732.55,8731.85,8729.35,8734.3,8737.8,8743.15,8720.35,8716.75,8722.25,8729.35,8729.65,8744.4,8741.55,8740.9,8744.4,8752.9,8750.6,8748.0,8749.0,8745.0,8751.3,8751.35,8753.55,8745.75,8745.65,8738.0,8745.15,8745.85,8735.2,8741.5,8744.05,8743.75,8746.15,8746.1,8750.3,8751.35,8761.05,8766.75,8751.75,8755.35,8756.05,8751.9,8750.3,8752.4,8756.6,8763.05,8764.65,8759.45,8758.55,8754.15,8755.7,8756.9,8757.15,8759.25,8759.6,8759.75,8761.75,8746.2,8736.45,8734.45,8723.45,8717.45,8709.8,8704.7
2015-02-11,8601.45,8606.15,8606.55,8600.2,8607.65,8607.4,8595.8,8595.15,8598.7,8605.6,8605.6,8606.5,8609.75,8623.6,8619.8,8616.0,8614.8,8608.45,8594.05,8594.1,8601.05,8602.15,8606.9,8607.5,8604.75,8599.85,8601.35,8603.95,8612.85,8605.3,8609.25,8610.45,8609.2,8610.9,8616.2,8614.45,8615.1,8615.5,8618.2,8619.0,8620.0,8617.75,8612.7,8613.7,8613.9,8616.05,8619.9,8630.95,8632.25,8637.7,8633.3,8614.95,8602.15,8608.95,8612.5,8616.9,8621.15,8612.55,8618.9,8622.0,8627.35,8623.25,8627.65,8628.95,8631.45,8635.3,8638.25,8640.0,8632.7,8626.55,8618.0,8618.85,8624.05,8626.25,8626.75
2015-02-18,8810.05,8828.1,8824.35,8822.15,8831.85,8829.2,8824.7,8831.1,8839.95,8840.05,8842.6,8841.45,8845.7,8846.55,8847.75,8850.55,8852.0,8850.7,8850.8,8856.5,8843.4,8845.05,8841.85,8849.4,8852.9,8850.05,8850.5,8852.85,8853.65,8852.5,8847.6,8848.05,8850.0,8840.7,8843.2,8839.35,8837.7,8839.05,8839.4,8842.45,8844.0,8845.2,8844.65,8844.4,8844.3,8847.6,8847.1,8850.6,8853.1,8854.95,8851.6,8836.85,8834.9,8840.75,8841.75,8847.95,8852.05,8861.15,8859.35,8866.1,8869.55,8863.0,8863.95,8864.75,8879.05,8878.75,8880.35,8881.55,8882.6,8872.7,8865.5,8868.65,8860.6,8859.25,8860.4
2015-02-25,8798.6,8804.2,8817.45,8828.05,8825.2,8824.4,8820.9,8817.7,8814.5,8818.9,8813.75,8813.4,8809.75,8813.55,8823.85,8823.9,8818.05,8817.2,8815.65,8815.85,8813.45,8809.45,8814.35,8815.05,8816.65,8819.35,8818.0,8815.35,8822.55,8824.6,8822.6,8822.4,8820.85,8820.05,8819.35,8820.0,8818.45,8815.1,8815.55,8816.15,8812.4,8815.05,8817.55,8822.4,8822.2,8823.65,8820.15,8805.45,8804.4,8809.6,8811.8,8812.15,8814.6,8815.05,8815.95,8806.2,8789.45,8779.05,8767.45,8767.25,8770.35,8772.1,8776.6,8764.3,8767.5,8765.2,8766.9,8752.7,8751.65,8761.95,8759.8,8762.55,8766.2,8762.65,8762.75
2015-03-04,9082.5,9070.45,9067.5,9064.5,9059.9,9072.15,9065.55,9063.15,9064.75,9067.95,9075.55,9071.3,9077.8,9077.7,9072.4,9074.05,9072.95,9076.85,9075.25,9070.45,9065.55,9058.4,9052.3,9061.0,9064.8,9059.35,9052.3,9049.2,9045.4,9054.05,9047.75,9043.95,9042.35,9022.45,9021.15,9029.4,9038.95,9039.9,9037.35,9037.7,9037.4,9041.7,9038.25,9041.65,9044.85,9054.4,9047.35,9044.55,9034.1,9039.7,9039.35,9035.55,9043.15,9050.25,9040.6,9044.7,9045.05,9051.2,9034.75,9024.25,9016.65,9028.05,8990.85,8979.35,8972.95,8953.15,8925.0,8894.5,8903.65,8923.1,8925.3,8916.35,8909.3,8902.75,8910.55
2015-03-11,8722.5,8714.95,8724.9,8724.7,8722.25,8714.6,8721.2,8716.45,8729.8,8731.3,8735.6,8736.3,8735.05,8720.55,8705.95,8700.9,8713.7,8719.8,8722.9,8722.9,8722.6,8713.85,8709.25,8709.4,8708.25,8696.75,8696.7,8688.1,8688.8,8696.0,8703.3,8698.0,8694.4,8695.85,8699.7,8708.9,8704.4,8701.75,8706.15,8716.05,8713.85,8711.0,8707.6,8711.65,8718.4,8710.15,8709.7,8709.2,8710.6,8694.4,8691.1,8695.2,8699.15,8699.85,8713.55,8710.05,8713.15,8718.65,8716.35,8720.4,8722.4,8729.5,8743.5,8730.0,8728.15,8718.05,8715.75,8717.1,8718.85,8700.45,8699.2,8695.8,8682.5,8690.55,8695.55
2015-03-18,8701.3,8711.3,8707.6,8712.25,8714.25,8695.7,8684.7,8682.25,8690.25,8701.3,8701.35,8697.55,8707.1,8701.3,8697.45,8686.2,8683.85,8689.0,8691.4,8687.8,8687.8,8690.25,8690.6,8693.9,8692.5,8690.3,8693.3,8702.15,8696.1,8695.9,8704.1,8711.55,8718.55,8715.3,8715.1,8716.9,8714.1,8710.35,8709.5,8715.45,8718.3,8715.45,8709.55,8707.5,8710.3,8713.9,8710.05,8714.35,8719.55,8710.6,8694.45,8692.95,8691.95,8688.0,8690.25,8674.05,8676.6,8686.3,8689.75,8691.05,8698.3,8691.95,8691.95,8682.55,8686.25,8664.35,8671.1,8674.0,8676.35,8673.0,8673.1,8687.85,8683.25,8682.75,8676.55
