date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-12,8245.6,8257.95,8254.45,8256.95,8256.7,8256.35,8265.1,8269.9,8272.9,8281.15,8273.45,8273.45,8283.1,8289.7,8290.8,8287.8,8281.35,8280.8,8283.65,8278.3,8277.05,8283.0,8282.4,8280.8,8276.1,8281.3,8282.65,8285.15,8281.4,8279.2,8279.8,8280.55,8283.75,8287.4,8279.75,8263.4,8258.4,8254.05,8252.5,8257.35,8260.75,8264.2,8262.75,8264.95,8265.55,8269.55,8268.3,8267.75,8265.65,8267.85,8266.8,8267.15,8275.05,8272.8,8277.5,8280.05,8279.45,8281.4,8288.4,8283.15,8282.15,8286.6,8306.2,8311.65,8313.9,8308.65,8304.55,8301.25,8303.15,8305.8,8317.65,8316.4,8318.6,8325.4,8324.8
2015-01-13,8338.5,8325.6,8324.4,8323.3,8322.0,8331.9,8338.0,8342.55,8339.45,8333.1,8335.05,8336.4,8333.95,8332.15,8333.9,8336.1,8337.25,8340.75,8341.15,8340.95,8337.6,8336.05,8335.2,8335.45,8336.2,8328.65,8328.15,8323.3,8326.9,8332.85,8331.1,8333.4,8337.65,8335.45,8337.7,8336.65,8339.8,8340.0,8332.9,8329.45,8324.1,8321.3,8325.9,8326.8,8328.3,8332.3,8333.65,8336.75,8340.65,8346.3,8343.7,8343.95,8341.2,8345.8,8349.25,8350.9,8350.2,8348.9,8349.25,8339.25,8337.85,8329.5,8318.05,8297.6,8297.05,8271.3,8268.15,8269.7,8275.0,8274.75,8284.45,8298.4,8296.2,8304.7,8303.8
2015-01-14,8286.85,8290.05,8297.0,8300.4,8305.6,8313.7,8317.25,8310.8,8311.4,8302.9,8299.0,8300.4,8290.9,8290.3,8291.0,8295.05,8295.2,8298.15,8298.6,8303.25,8304.65,8296.4,8290.45,8287.3,8283.15,8278.55,8281.55,8284.15,8281.0,8281.45,8287.15,8287.4,8281.95,8271.7,8272.85,8274.6,8272.65,8273.25,8247.15,8236.75,8238.25,8247.6,8246.35,8243.4,8243.5,8251.0,8249.6,8248.85,8257.05,8256.65,8251.25,8244.05,8245.25,8252.65,8252.45,8247.4,8248.85,8251.55,8251.35,8271.55,8280.45,8289.4,8282.15,8275.5,8269.3,8260.75,8253.3,8252.2,8252.9,8262.3,8270.3,8269.85,8269.0,8277.75,8284.7
2015-01-15,8380.75,8392.6,8407.2,8415.8,8414.85,8406.35,8405.65,8406.4,8409.35,8417.15,8411.5,8404.3,8401.95,8402.55,8406.6,8404.05,8405.35,8399.1,8403.75,8413.6,8415.45,8417.1,8420.0,8422.95,8431.55,8430.8,8430.45,8430.8,8440.25,8451.5,8456.8,8456.0,8459.6,8460.95,8454.15,8453.55,8451.75,8457.55,8459.75,8459.45,8460.55,8465.4,8469.1,8474.05,8473.35,8473.3,8473.9,8470.05,8468.15,8474.1,8475.15,8476.1,8480.9,8481.35,8475.3,8472.9,8474.25,8475.6,8483.15,8488.2,8487.75,8487.85,8487.1,8491.4,8504.9,8506.1,8511.6,8509.35,8509.6,8505.4,8497.8,8502.2,8497.6,8460.7,8459.35
2015-01-20,8575.1,8579.75,8574.65,8579.75,8588.45,8587.7,8590.4,8589.35,8588.95,8591.2,8591.15,8591.85,8597.6,8592.95,8592.75,8593.1,8593.45,8592.85,8598.1,8601.4,8600.55,8599.6,8600.4,8599.25,8592.9,8592.45,8592.0,8593.85,8594.75,8594.45,8596.2,8599.8,8600.85,8602.95,8599.1,8599.85,8602.7,8605.9,8609.75,8614.5,8615.8,8617.65,8618.2,8612.9,8614.25,8616.25,8619.0,8622.75,8619.7,8614.0,8616.55,8625.0,8624.75,8627.75,8634.5,8634.75,8637.9,8642.25,8647.35,8653.25,8654.5,8659.4,8659.2,8660.05,8663.9,8672.95,8680.85,8686.7,8686.45,8692.4,8700.0,8689.15,8687.8,8687.1,8690.8
2015-01-21,8699.9,8705.85,8712.15,8711.45,8716.75,8724.9,8723.6,8726.55,8728.5,8733.1,8720.6,8714.65,8713.1,8721.3,8727.5,8721.45,8719.95,8718.15,8713.2,8708.1,8703.2,8699.4,8689.7,8701.7,8696.4,8697.75,8703.1,8708.9,8710.9,8706.15,8707.4,8709.35,8713.45,8718.45,8722.6,8719.75,8715.95,8716.95,8720.85,8717.65,8717.9,8709.8,8708.85,8703.05,8706.85,8708.3,8709.6,8714.45,8717.05,8716.55,8717.45,8717.55,8723.9,8728.0,8720.25,8720.1,8721.6,8723.75,8714.8,8712.25,8705.75,8704.2,8703.2,8709.8,8716.5,8718.4,8720.4,8721.75,8721.65,8723.15,8724.85,8728.5,8723.6,8726.95,8727.0
2015-01-22,8745.5,8742.55,8737.7,8735.0,8742.7,8745.95,8753.9,8751.45,8755.2,8754.9,8751.6,8753.8,8762.5,8760.05,8760.9,8764.1,8765.05,8765.9,8768.15,8760.95,8752.75,8750.5,8747.8,8747.95,8753.25,8752.05,8750.05,8754.4,8755.5,8756.95,8754.75,8756.0,8756.6,8759.65,8759.05,8757.8,8752.4,8752.2,8752.35,8744.5,8745.7,8754.05,8751.1,8747.25,8746.0,8744.95,8741.55,8742.6,8745.95,8743.5,8744.2,8744.35,8744.5,8746.6,8747.05,8745.35,8741.0,8734.5,8736.05,8728.75,8727.15,8731.35,8741.7,8738.5,8737.55,8739.9,8737.95,8735.05,8735.4,8735.65,8752.75,8753.5,8759.95,8768.85,8760.15
2015-01-23,8827.95,8846.45,8847.15,8851.85,8859.9,8857.7,8853.9,8853.95,8853.65,8852.7,8852.95,8843.15,8830.7,8819.7,8807.55,8804.35,8811.85,8814.65,8805.2,8803.85,8806.15,8798.95,8798.25,8795.6,8805.4,8800.15,8799.8,8804.4,8799.5,8802.15,8806.15,8813.75,8814.65,8810.9,8810.0,8807.2,8807.3,8807.15,8810.3,8811.3,8811.75,8811.95,8809.25,8810.45,8812.35,8814.3,8819.95,8817.95,8818.45,8819.0,8818.9,8820.95,8808.7,8806.7,8809.5,8812.7,8818.15,8828.75,8828.45,8830.1,8822.85,8822.8,8824.8,8824.9,8821.55,8822.4,8819.25,8822.35,8824.3,8827.4,8842.45,8833.95,8826.7,8826.6,8822.35
2015-01-27,8826.1,8837.0,8837.55,8846.4,8837.75,8843.85,8847.95,8850.95,8847.3,8851.05,8855.4,8853.3,8853.8,8855.4,8856.2,8852.15,8854.25,8847.85,8848.25,8847.35,8847.25,8847.05,8843.8,8840.05,8844.15,8845.8,8842.4,8842.3,8836.55,8832.45,8834.9,8828.75,8826.0,8825.55,8827.2,8829.45,8833.1,8840.0,8839.55,8833.35,8833.9,8836.9,8836.7,8836.05,8834.95,8835.3,8840.3,8846.35,8846.75,8846.55,8847.0,8846.0,8854.15,8850.7,8845.85,8842.55,8846.65,8848.95,8847.0,8846.5,8850.55,8856.35,8860.0,8866.5,8875.55,8879.35,8883.35,8888.3,8891.55,8896.15,8910.0,8915.5,8907.15,8902.0,8902.1
2015-01-28,8893.95,8892.65,8894.35,8904.55,8901.3,8889.95,8889.35,8894.4,8894.7,8901.45,8906.0,8909.15,8900.3,8898.5,8901.35,8903.3,8905.4,8898.4,8898.75,8902.85,8908.7,8912.1,8917.6,8922.4,8928.0,8940.25,8944.55,8950.1,8946.8,8951.25,8954.1,8950.5,8950.2,8952.75,8951.45,8955.1,8953.4,8956.65,8970.3,8974.55,8955.6,8927.7,8918.6,8917.3,8918.1,8907.55,8915.55,8922.2,8923.35,8925.2,8907.7,8908.6,8910.4,8903.2,8903.6,8892.45,8893.15,8899.5,8905.5,8907.75,8890.5,8880.3,8882.2,8890.65,8874.2,8875.6,8875.9,8885.85,8888.1,8898.55,8910.1,8913.4,8911.35,8908.6,8905.0
