date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-23,8827.95,8854.4,8847.45,8852.8,8862.7,8860.7,8857.55,8854.25,8859.8,8854.25,8859.5,8852.9,8843.25,8835.95,8819.5,8813.15,8812.8,8815.65,8818.3,8805.2,8811.4,8806.8,8805.5,8798.15,8805.6,8810.05,8803.7,8805.4,8807.65,8804.2,8809.4,8815.25,8820.3,8814.85,8811.7,8812.45,8807.5,8807.55,8812.4,8811.65,8812.9,8815.05,8812.85,8811.75,8813.15,8814.8,8820.65,8819.2,8822.65,8822.65,8820.25,8824.15,8821.35,8810.6,8809.7,8813.45,8818.6,8834.3,8829.7,8832.9,8830.1,8827.7,8826.85,8827.55,8827.35,8828.85,8822.2,8827.7,8825.4,8827.45,8847.0,8843.8,8834.9,8830.6,8830.3
2015-01-30,8996.6,8961.2,8965.3,8949.35,8950.1,8948.0,8940.7,8923.55,8926.1,8926.55,8932.65,8931.25,8925.8,8927.1,8934.45,8934.35,8914.35,8916.45,8919.5,8917.15,8912.4,8903.85,8905.2,8885.8,8867.85,8870.1,8880.65,8854.6,8843.25,8844.45,8830.4,8843.5,8837.7,8833.1,8838.5,8832.6,8834.65,8846.9,8855.3,8845.6,8851.35,8834.8,8833.25,8833.2,8840.3,8844.0,8836.0,8831.05,8834.85,8833.35,8830.95,8832.55,8844.65,8834.15,8851.45,8844.3,8843.25,8841.6,8834.8,8808.95,8799.7,8799.2,8793.65,8782.8,8796.55,8796.8,8808.1,8799.85,8799.25,8796.95,8807.15,8808.75,8807.95,8806.4,8806.55
2015-02-06,8696.85,8707.05,8721.6,8712.85,8707.05,8695.1,8713.85,8707.25,8713.8,8710.7,8715.0,8702.75,8696.85,8687.45,8683.1,8687.0,8681.35,8671.95,8675.15,8667.95,8670.35,8671.0,8687.05,8682.6,8686.35,8685.65,8684.5,8674.1,8681.9,8678.9,8694.55,8690.9,8701.1,8697.4,8699.75,8692.75,8692.4,8704.65,8708.7,8709.05,8701.8,8710.8,8701.7,8708.6,8706.5,8714.65,8708.15,8703.25,8687.05,8679.95,8687.55,8690.6,8681.45,8683.65,8682.9,8695.0,8689.0,8694.85,8691.95,8687.15,8688.7,8670.2,8671.1,8669.4,8668.4,8660.95,8668.2,8680.1,8671.75,8675.2,8660.95,8660.75,8654.75,8666.2,8667.65
2015-02-13,8741.5,8748.65,8741.95,8747.6,8759.6,8751.85,8761.3,8761.15,8764.45,8763.0,8753.45,8754.85,8754.45,8757.85,8753.45,8747.45,8750.6,8748.25,8753.05,8743.3,8743.75,8737.25,8746.3,8745.6,8746.45,8742.75,8743.35,8749.35,8747.6,8749.25,8755.35,8753.1,8759.65,8763.9,8779.9,8774.9,8769.05,8766.8,8759.6,8769.4,8769.2,8777.15,8777.95,8774.8,8775.6,8784.75,8789.25,8779.65,8776.3,8780.5,8785.4,8784.55,8788.9,8789.15,8791.3,8782.3,8789.4,8782.3,8780.05,8789.35,8798.1,8795.7,8795.75,8801.2,8800.25,8804.15,8810.65,8813.25,8813.75,8809.65,8819.7,8812.9,8808.15,8791.75,8794.55
2015-02-20,8895.5,8880.35,8877.25,8854.2,8838.95,8828.55,8823.55,8830.75,8834.4,8832.8,8831.4,8831.2,8835.85,8845.1,8851.15,8836.8,8845.25,8846.7,8843.05,8845.5,8842.35,8839.05,8843.1,8841.55,8845.15,8848.3,8854.7,8863.9,8863.4,8871.0,8872.1,8878.65,8872.55,8872.0,8867.0,8869.05,8863.8,8851.85,8857.95,8857.8,8857.45,8854.2,8857.95,8863.3,8862.1,8861.75,8869.4,8868.85,8864.55,8868.95,8875.45,8880.15,8889.35,8875.05,8879.5,8868.1,8864.6,8838.25,8842.1,8863.85,8865.3,8861.85,8865.9,8871.35,8863.65,8862.15,8860.0,8859.9,8854.9,8849.15,8844.4,8838.6,8833.6,8829.3,8823.05
2015-02-27,8729.5,8735.2,8732.75,8738.25,8735.45,8739.45,8741.35,8732.95,8731.35,8727.05,8730.4,8727.65,8736.2,8739.1,8732.9,8737.3,8738.0,8740.9,8734.5,8721.1,8729.9,8724.55,8730.85,8736.85,8733.1,8731.6,8735.35,8748.4,8751.3,8765.3,8761.55,8760.2,8760.7,8764.3,8773.9,8769.6,8773.45,8770.75,8777.25,8766.15,8764.1,8767.45,8781.6,8775.65,8772.15,8777.1,8778.6,8790.6,8804.3,8808.65,8807.75,8803.5,8802.05,8800.35,8818.4,8821.3,8822.0,8817.95,8810.55,8818.65,8817.65,8810.5,8810.2,8815.2,8819.9,8814.45,8809.45,8816.1,8816.2,8829.65,8842.4,8843.6,8852.45,8843.0,8847.2
2015-03-20,8627.9,8607.55,8606.9,8596.7,8619.95,8621.25,8610.4,8606.7,8611.0,8608.35,8600.55,8597.0,8597.65,8602.35,8596.6,8599.4,8600.15,8597.85,8591.45,8583.3,8587.15,8596.85,8602.2,8592.9,8603.3,8601.4,8606.3,8607.8,8611.45,8611.25,8610.3,8611.1,8595.55,8591.45,8588.05,8582.65,8592.6,8592.1,8585.55,8584.5,8597.2,8589.8,8585.1,8587.25,8584.4,8584.65,8582.15,8567.2,8579.35,8579.65,8588.35,8602.25,8599.5,8600.5,8591.55,8590.25,8594.65,8589.05,8592.9,8589.7,8583.95,8566.2,8591.6,8589.7,8587.8,8589.15,8584.3,8575.45,8572.45,8584.45,8578.85,8573.25,8569.95,8564.65,8571.5
2015-03-27,8396.0,8375.5,8389.95,8379.65,8369.9,8361.4,8352.25,8360.35,8355.8,8364.1,8357.6,8352.2,8361.8,8360.95,8356.5,8355.0,8339.35,8339.7,8351.65,8345.85,8354.1,8361.7,8366.6,8361.8,8360.4,8351.75,8359.45,8350.75,8347.3,8346.6,8337.3,8343.55,8344.3,8341.1,8339.95,8325.2,8324.95,8312.2,8311.15,8303.05,8295.6,8297.45,8280.75,8276.9,8285.6,8291.5,8295.35,8302.85,8295.45,8291.6,8310.4,8314.75,8320.4,8350.95,8338.1,8339.0,8345.35,8325.3,8329.85,8328.25,8333.3,8333.25,8329.75,8333.5,8322.35,8323.65,8332.35,8352.65,8352.45,8354.3,8342.9,8333.45,8346.9,8338.35,8342.45
2015-04-10,8774.35,8763.15,8763.95,8766.1,8769.8,8767.5,8774.05,8773.2,8773.0,8770.5,8780.7,8770.75,8764.1,8762.65,8769.1,8767.95,8764.35,8761.5,8764.85,8763.25,8768.9,8768.95,8769.15,8768.85,8765.75,8762.45,8748.85,8753.0,8753.55,8742.25,8748.15,8753.7,8760.7,8759.95,8760.25,8753.5,8758.7,8754.9,8756.9,8749.8,8748.1,8751.45,8753.15,8752.75,8756.0,8756.5,8755.5,8758.7,8748.15,8744.95,8745.2,8745.7,8749.45,8754.95,8742.95,8748.45,8750.0,8751.05,8758.5,8758.3,8759.45,8758.85,8761.2,8763.25,8765.4,8767.6,8762.75,8764.15,8766.05,8768.25,8776.9,8780.25,8781.45,8777.55,8776.4
2015-04-17,8698.05,8693.8,8672.95,8678.6,8669.7,8667.95,8660.45,8658.15,8662.25,8656.4,8661.15,8647.85,8644.0,8642.7,8650.25,8647.45,8656.05,8655.95,8656.05,8657.95,8649.25,8659.45,8660.05,8661.85,8664.95,8666.15,8668.0,8664.3,8660.75,8661.15,8658.2,8652.1,8659.8,8655.15,8655.75,8654.55,8650.15,8651.0,8653.35,8647.7,8646.55,8656.65,8661.8,8653.15,8653.9,8652.25,8650.65,8641.35,8640.35,8648.1,8641.3,8642.3,8644.95,8641.1,8638.75,8647.95,8648.65,8645.65,8649.85,8632.9,8638.35,8641.55,8646.4,8645.4,8647.15,8633.05,8629.5,8633.25,8631.65,8617.45,8613.2,8612.45,8600.65,8605.4,8603.05
2015-04-24,8405.7,8374.0,8373.9,8366.15,8345.5,8356.5,8362.45,8354.4,8349.35,8352.7,8356.6,8357.4,8358.7,8356.55,8354.8,8356.3,8355.3,8343.5,8334.55,8337.85,8344.55,8343.85,8343.35,8333.6,8332.15,8330.0,8326.45,8331.05,8338.65,8337.2,8339.2,8340.85,8340.0,8350.9,8357.9,8353.25,8349.85,8345.05,8345.85,8347.95,8357.35,8357.3,8354.1,8354.0,8360.7,8361.75,8355.1,8351.85,8341.2,8348.2,8347.55,8341.05,8337.45,8340.25,8342.7,8338.5,8336.65,8335.8,8337.5,8349.95,8346.65,8344.0,8333.75,8338.35,8316.2,8318.35,8312.35,8295.65,8301.55,8296.6,8280.9,8284.0,8306.45,8325.9,8320.25
2015-05-08,8131.5,8131.7,8154.85,8150.65,8156.05,8169.75,8162.15,8152.45,8155.65,8158.55,8159.35,8158.25,8162.15,8168.15,8168.85,8167.35,8157.25,8161.0,8155.6,8160.65,8169.4,8165.6,8165.85,8170.75,8168.35,8169.0,8173.75,8165.6,8164.4,8168.05,8171.7,8173.4,8168.1,8174.65,8183.4,8181.1,8168.8,8169.2,8171.95,8182.6,8193.85,8195.25,8191.95,8199.4,8202.25,8201.45,8197.7,8197.95,8193.85,8189.6,8195.45,8198.1,8200.0,8194.1,8194.05,8179.5,8189.2,8200.4,8199.1,8199.3,8196.5,8203.35,8208.2,8208.1,8206.1,8216.8,8215.55,8206.35,8213.55,8208.75,8199.6,8195.85,8183.85,8187.65,8188.5
2015-05-15,8240.3,8259.7,8277.85,8255.3,8229.9,8246.95,8238.9,8243.85,8263.8,8256.3,8260.0,8260.4,8249.5,8250.95,8251.15,8250.15,8246.35,8238.35,8245.5,8234.65,8232.4,8237.4,8243.05,8243.6,8240.9,8241.0,8245.9,8246.75,8248.2,8250.3,8250.0,8257.7,8256.0,8252.55,8256.45,8261.45,8258.8,8266.95,8265.7,8260.05,8256.8,8262.5,8266.6,8261.75,8255.45,8250.75,8253.15,8257.75,8258.65,8261.1,8254.3,8258.15,8255.35,8250.0,8256.25,8259.35,8258.85,8262.7,8263.65,8263.1,8257.3,8261.3,8266.45,8268.95,8263.45,8262.8,8255.05,8242.75,8256.6,8257.9,8267.25,8263.9,8260.65,8261.2,8258.0
2015-05-22,8432.5,8426.25,8426.45,8428.85,8430.8,8426.35,8427.8,8437.25,8435.1,8439.15,8439.7,8433.45,8434.4,8440.4,8440.45,8443.65,8457.0,8456.5,8458.2,8463.85,8465.5,8469.6,8467.55,8464.05,8462.65,8462.0,8462.3,8469.35,8469.95,8466.7,8464.7,8468.1,8470.7,8471.4,8473.7,8476.15,8478.0,8474.65,8477.6,8477.3,8469.9,8463.45,8464.95,8470.05,8470.55,8471.25,8473.85,8475.4,8482.6,8484.65,8481.6,8474.8,8467.3,8466.55,8472.55,8474.35,8479.05,8462.5,8449.9,8460.5,8459.65,8463.1,8455.8,8459.5,8459.8,8449.85,8457.3,8460.8,8457.6,8453.75,8466.85,8457.7,8461.2,8459.05,8451.95
2015-05-29,8327.1,8322.15,8351.7,8344.65,8352.9,8354.0,8355.05,8354.55,8350.85,8353.7,8357.95,8354.55,8357.5,8398.8,8390.4,8396.55,8393.4,8400.05,8397.6,8398.45,8397.8,8401.75,8415.4,8413.9,8414.0,8407.5,8406.6,8407.3,8410.8,8414.35,8415.85,8410.2,8411.5,8411.15,8410.45,8413.35,8410.65,8409.6,8409.9,8410.35,8410.65,8407.75,8403.45,8409.6,8411.45,8415.3,8417.7,8412.75,8412.2,8412.3,8395.2,8381.35,8376.95,8386.7,8381.35,8378.75,8381.75,8379.9,8386.7,8390.4,8387.15,8389.55,8389.35,8385.35,8400.55,8419.3,8414.2,8424.35,8439.7,8438.7,8433.5,8432.05,8431.2,8428.2,8437.0
