date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-12,8291.35,8267.45,8257.85,8265.7,8263.1,8257.05,8271.05,8270.3,8274.5,8285.8,8281.1,8273.65,8283.5,8294.2,8292.95,8292.75,8287.6,8281.5,8285.8,8288.7,8278.85,8284.35,8286.2,8283.5,8280.9,8281.35,8283.55,8286.0,8286.5,8282.05,8281.05,8280.75,8284.4,8287.8,8291.2,8281.95,8268.95,8263.25,8255.3,8257.35,8263.55,8264.6,8267.8,8268.9,8267.45,8270.75,8269.9,8269.15,8272.85,8267.9,8273.2,8267.75,8275.05,8277.5,8277.85,8281.45,8282.3,8281.4,8291.4,8289.75,8283.3,8287.3,8308.9,8319.3,8317.45,8317.15,8310.35,8304.9,8303.5,8305.8,8320.15,8320.45,8319.55,8329.5,8330.2
2015-02-02,8802.5,8790.05,8775.4,8787.95,8781.3,8774.6,8786.75,8789.05,8795.35,8797.6,8792.4,8782.95,8776.85,8781.5,8777.4,8784.55,8780.0,8790.1,8795.5,8794.6,8790.1,8786.2,8787.5,8787.25,8786.3,8788.85,8789.75,8783.75,8787.4,8784.25,8780.75,8775.7,8769.25,8759.35,8761.9,8757.6,8767.85,8763.8,8758.25,8759.85,8763.35,8761.35,8764.8,8760.3,8756.45,8759.0,8760.3,8758.45,8758.8,8758.75,8758.4,8779.2,8793.05,8834.4,8811.9,8825.7,8818.55,8810.1,8833.65,8829.8,8825.9,8810.85,8810.55,8802.3,8793.6,8787.8,8783.25,8782.45,8779.5,8784.45,8800.9,8798.5,8797.1,8796.25,8800.85
2015-02-09,8584.4,8591.45,8597.55,8585.6,8579.15,8590.3,8587.25,8586.4,8571.05,8569.7,8552.4,8556.7,8562.55,8554.35,8572.35,8574.95,8565.95,8568.45,8564.55,8570.15,8573.4,8568.0,8566.5,8557.6,8556.75,8563.15,8579.7,8579.65,8574.6,8577.4,8577.3,8573.6,8577.0,8577.55,8574.7,8567.65,8566.0,8570.65,8569.8,8572.75,8575.8,8576.7,8577.35,8587.75,8585.1,8587.05,8579.8,8581.45,8582.3,8587.9,8589.4,8579.55,8582.7,8579.65,8574.35,8565.85,8568.8,8567.5,8570.3,8569.25,8564.55,8564.35,8554.7,8561.35,8548.9,8555.35,8549.6,8554.9,8561.25,8546.45,8543.95,8523.4,8525.65,8526.5,8529.1
2015-02-16,8831.4,8837.15,8841.4,8854.05,8859.05,8857.3,8853.95,8847.15,8850.2,8844.1,8850.75,8849.5,8861.7,8852.9,8852.45,8865.25,8865.4,8868.95,8862.05,8859.15,8850.25,8849.0,8849.9,8849.4,8846.05,8835.5,8827.0,8823.3,8827.6,8823.1,8832.05,8830.95,8830.75,8829.15,8841.45,8826.9,8823.1,8826.4,8833.1,8833.8,8833.85,8832.05,8830.8,8830.25,8828.55,8831.55,8829.9,8826.8,8826.75,8826.65,8827.6,8829.4,8830.5,8827.4,8833.95,8834.95,8839.25,8842.0,8832.8,8832.45,8838.3,8837.25,8845.4,8844.6,8849.55,8849.2,8839.15,8840.9,8837.9,8843.5,8828.4,8814.6,8803.8,8805.95,8803.15
2015-02-23,8856.85,8858.95,8856.8,8853.3,8847.8,8857.4,8864.6,8866.35,8864.9,8862.05,8851.35,8842.95,8842.1,8850.7,8851.5,8850.75,8854.2,8855.6,8853.85,8852.0,8853.3,8848.6,8848.0,8850.7,8849.55,8847.25,8837.3,8841.6,8844.9,8845.6,8848.75,8839.05,8832.5,8837.85,8840.3,8848.7,8847.3,8847.6,8843.0,8844.9,8848.4,8848.8,8848.3,8847.85,8844.8,8841.05,8843.2,8843.4,8850.15,8847.65,8850.15,8844.75,8852.75,8841.3,8844.05,8842.65,8814.5,8822.85,8824.35,8782.55,8776.05,8771.15,8776.9,8768.05,8773.75,8763.35,8764.7,8754.7,8759.0,8758.05,8770.6,8774.15,8758.1,8741.75,8743.6
2015-03-02,8954.6,8955.65,8937.2,8936.9,8945.65,8967.8,8964.0,8961.45,8960.25,8960.7,8955.55,8954.55,8959.85,8966.8,8957.05,8949.6,8947.4,8951.3,8944.65,8933.1,8924.2,8927.0,8919.45,8924.3,8927.25,8914.05,8901.05,8914.05,8912.5,8903.3,8890.6,8906.25,8904.7,8899.15,8892.65,8897.5,8903.8,8896.15,8909.1,8921.45,8927.75,8919.7,8913.3,8916.15,8917.75,8923.3,8912.95,8904.7,8898.9,8901.55,8902.6,8894.1,8909.0,8911.5,8913.45,8915.95,8918.8,8916.15,8924.95,8917.05,8928.7,8917.85,8928.65,8938.4,8936.25,8936.6,8936.4,8923.45,8920.15,8927.05,8945.2,8962.35,8959.3,8962.25,8966.35
2015-03-09,8877.3,8831.15,8838.25,8828.9,8831.55,8804.9,8817.0,8812.25,8818.0,8824.55,8826.35,8817.55,8819.35,8815.05,8812.45,8818.35,8817.6,8822.1,8824.55,8820.8,8819.4,8823.25,8821.45,8816.05,8812.3,8807.6,8807.2,8811.45,8810.6,8814.25,8817.6,8822.75,8817.45,8816.65,8809.75,8813.4,8820.0,8816.55,8822.25,8818.2,8818.3,8814.75,8812.5,8814.1,8815.85,8821.4,8819.0,8817.8,8788.4,8791.4,8783.35,8787.55,8769.05,8773.4,8763.8,8763.8,8774.45,8781.2,8781.35,8779.1,8778.35,8776.15,8778.3,8777.0,8780.75,8792.05,8778.1,8775.05,8764.45,8770.4,8771.85,8762.8,8758.8,8751.9,8751.95
2015-03-23,8591.55,8591.75,8600.9,8594.65,8582.35,8580.45,8565.8,8576.9,8579.8,8583.7,8581.15,8571.95,8576.6,8579.3,8577.45,8584.3,8581.95,8578.45,8576.0,8577.5,8568.3,8575.35,8576.65,8576.8,8575.55,8571.65,8569.8,8572.1,8578.6,8574.9,8581.05,8587.9,8585.95,8590.4,8590.65,8589.5,8590.65,8590.2,8588.85,8588.4,8588.55,8580.25,8579.8,8580.45,8579.7,8576.95,8583.05,8578.35,8578.25,8580.2,8585.65,8584.2,8574.9,8564.05,8557.4,8561.15,8549.9,8565.05,8564.5,8549.35,8550.45,8549.9,8549.75,8561.4,8558.65,8556.7,8552.1,8546.15,8554.8,8551.0,8555.7,8558.1,8554.1,8550.35,8547.25
2015-03-30,8391.7,8393.9,8384.6,8387.3,8398.5,8401.8,8409.6,8406.15,8398.7,8408.25,8410.55,8407.2,8398.95,8404.5,8403.3,8406.15,8411.85,8421.2,8427.3,8428.95,8427.35,8422.8,8413.15,8416.1,8417.0,8417.1,8419.3,8414.35,8403.15,8405.8,8406.75,8408.75,8404.0,8407.35,8410.3,8401.8,8403.25,8403.05,8413.65,8406.5,8409.7,8412.3,8410.95,8421.1,8429.1,8422.15,8428.2,8430.05,8427.6,8440.8,8446.15,8442.5,8442.75,8446.85,8448.05,8460.35,8463.2,8466.3,8460.95,8453.5,8463.0,8469.15,8466.8,8463.1,8459.75,8459.75,8470.5,8472.5,8478.5,8481.55,8484.65,8491.9,8492.15,8486.7,8493.7
2015-04-06,8615.8,8594.45,8584.4,8582.35,8584.2,8588.8,8587.5,8591.35,8582.05,8581.0,8582.95,8588.65,8588.8,8600.65,8592.5,8590.95,8584.2,8590.25,8593.9,8591.9,8587.8,8587.5,8590.05,8588.75,8587.9,8589.6,8588.75,8583.35,8581.1,8580.85,8586.1,8590.15,8591.05,8583.95,8584.65,8576.85,8577.55,8584.25,8584.4,8587.6,8581.35,8588.4,8590.3,8591.5,8592.05,8591.95,8598.55,8595.9,8605.05,8605.8,8609.35,8603.8,8606.7,8608.7,8615.65,8625.2,8620.6,8625.1,8616.4,8623.35,8628.65,8620.35,8625.25,8636.85,8637.4,8642.25,8645.2,8652.7,8652.35,8647.45,8658.05,8661.05,8657.9,8663.25,8662.05
2015-04-13,8801.75,8770.2,8774.8,8781.45,8779.3,8775.5,8778.65,8778.35,8775.65,8777.8,8776.7,8775.5,8768.05,8770.85,8772.75,8775.3,8781.0,8779.0,8780.3,8783.4,8776.6,8779.45,8779.65,8778.1,8779.15,8780.75,8776.8,8778.7,8780.85,8781.0,8786.85,8788.15,8786.45,8795.05,8794.6,8799.1,8805.05,8817.1,8812.6,8822.75,8819.35,8822.35,8818.3,8813.65,8808.15,8810.85,8814.8,8809.55,8815.8,8815.2,8816.35,8815.85,8817.6,8817.25,8807.65,8808.5,8811.6,8795.5,8793.15,8804.3,8809.15,8810.5,8809.6,8814.45,8822.95,8828.95,8827.15,8825.95,8828.1,8828.45,8834.7,8838.65,8832.9,8830.4,8832.2
2015-04-20,8615.4,8577.15,8594.25,8586.15,8571.65,8576.15,8573.15,8563.95,8565.65,8563.35,8563.15,8549.65,8557.15,8552.4,8553.0,8562.15,8557.75,8554.95,8544.9,8546.15,8545.85,8543.2,8538.3,8548.35,8531.35,8534.1,8539.2,8536.35,8534.65,8536.0,8542.7,8546.6,8547.5,8544.25,8552.8,8548.55,8543.5,8538.2,8538.75,8536.85,8545.15,8555.2,8553.95,8556.25,8548.55,8548.95,8540.25,8539.1,8524.6,8521.15,8525.9,8526.0,8532.2,8528.55,8522.45,8511.0,8520.7,8513.7,8508.75,8497.95,8495.2,8485.9,8488.75,8475.0,8473.25,8460.35,8426.25,8435.25,8446.0,8453.1,8446.05,8448.9,8453.3,8450.8,8450.35
2015-04-27,8330.55,8303.65,8294.5,8298.3,8289.05,8283.0,8293.15,8293.1,8282.35,8272.35,8273.05,8261.75,8248.55,8247.75,8251.75,8261.65,8254.05,8235.55,8227.95,8236.55,8235.75,8231.05,8238.75,8243.75,8244.8,8261.5,8258.95,8257.65,8265.95,8275.35,8265.85,8268.2,8270.0,8262.45,8260.6,8261.6,8261.65,8259.25,8254.35,8250.75,8252.9,8254.3,8253.35,8249.55,8255.05,8248.05,8250.9,8265.25,8262.25,8256.2,8252.3,8253.45,8246.1,8243.2,8255.2,8254.0,8250.25,8248.0,8233.65,8244.1,8249.6,8239.7,8222.8,8222.4,8237.05,8235.65,8234.3,8230.7,8225.9,8217.55,8218.95,8215.2,8222.3,8212.2,8211.1
2015-05-04,8230.05,8236.05,8239.4,8263.75,8279.25,8279.15,8286.85,8284.65,8277.85,8271.6,8272.15,8260.95,8258.7,8267.05,8268.2,8270.15,8263.7,8265.5,8270.35,8273.95,8273.6,8274.0,8267.65,8273.85,8280.1,8282.05,8285.15,8282.95,8284.35,8287.2,8285.55,8293.3,8292.4,8288.7,8289.0,8288.1,8293.1,8291.9,8290.7,8296.25,8293.3,8288.45,8286.85,8279.65,8279.75,8283.65,8283.45,8293.35,8287.8,8284.5,8282.7,8282.4,8287.2,8286.35,8285.55,8286.05,8290.05,8294.0,8290.3,8296.7,8293.25,8287.9,8265.0,8277.55,8271.55,8276.0,8283.05,8278.6,8283.25,8307.1,8310.45,8327.75,8328.95,8333.4,8341.05
