date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-15,8425.2,8428.0,8426.5,8416.55,8428.5,8416.0,8414.9,8409.1,8412.7,8422.35,8417.1,8413.35,8407.4,8403.3,8408.0,8408.1,8406.15,8407.4,8404.15,8414.2,8417.3,8419.25,8420.0,8423.65,8433.3,8432.65,8432.75,8431.8,8443.25,8455.0,8462.55,8457.95,8460.5,8463.65,8461.5,8453.75,8459.45,8458.95,8461.0,8459.55,8461.5,8466.15,8471.8,8482.35,8473.8,8475.5,8475.3,8475.25,8472.6,8474.9,8475.85,8476.45,8483.0,8483.95,8481.85,8476.2,8476.15,8478.55,8483.4,8488.3,8490.8,8493.55,8491.55,8491.6,8508.75,8507.85,8511.95,8526.7,8515.55,8516.5,8506.95,8502.6,8510.45,8497.6,8463.8
2015-01-22,8745.85,8751.1,8744.15,8740.8,8744.05,8746.75,8753.9,8760.45,8761.05,8760.5,8758.2,8756.25,8764.15,8765.35,8764.0,8766.1,8767.85,8771.25,8768.15,8770.4,8760.95,8751.85,8758.2,8748.8,8754.85,8754.4,8751.85,8754.95,8757.65,8759.65,8760.9,8756.0,8757.95,8759.9,8763.2,8761.3,8757.5,8752.7,8756.0,8752.75,8745.75,8754.75,8753.65,8753.3,8748.6,8745.8,8746.5,8744.45,8746.55,8749.75,8745.85,8749.15,8745.45,8759.3,8748.25,8749.55,8745.6,8742.2,8741.25,8736.8,8735.05,8734.95,8743.3,8741.4,8740.2,8739.9,8740.5,8738.65,8737.9,8735.65,8753.0,8755.35,8759.95,8771.9,8769.3
2015-01-29,8901.5,8870.55,8869.1,8870.7,8863.2,8865.6,8872.75,8877.25,8877.55,8880.45,8879.35,8873.0,8873.6,8878.6,8884.2,8883.25,8886.8,8890.35,8890.4,8885.25,8880.15,8879.15,8879.55,8880.4,8872.7,8870.55,8869.2,8867.6,8872.15,8874.55,8877.65,8878.85,8883.75,8887.05,8888.95,8897.65,8898.75,8895.35,8887.05,8887.55,8886.7,8887.85,8886.45,8880.1,8883.1,8883.9,8887.5,8876.8,8875.95,8878.55,8882.0,8885.0,8890.7,8901.3,8893.15,8897.7,8896.2,8895.45,8884.15,8879.0,8882.9,8882.55,8883.05,8878.4,8878.45,8895.85,8888.15,8891.7,8889.0,8895.5,8959.6,8956.8,8954.05,8955.15,8951.75
2015-02-05,8733.1,8708.75,8734.3,8730.05,8735.55,8732.25,8742.25,8741.2,8738.05,8740.8,8753.55,8752.9,8758.0,8765.0,8762.25,8752.6,8751.7,8760.05,8751.15,8748.55,8745.45,8751.2,8749.35,8751.25,8753.55,8754.05,8761.15,8760.6,8757.2,8754.25,8747.4,8746.75,8743.55,8748.95,8751.55,8755.0,8751.6,8752.2,8756.4,8760.15,8752.95,8755.0,8754.95,8755.9,8760.4,8758.45,8761.0,8759.05,8778.2,8797.5,8807.2,8806.75,8796.35,8796.6,8802.95,8799.65,8801.7,8812.4,8829.65,8832.75,8822.4,8824.45,8817.45,8824.15,8820.0,8804.9,8793.1,8793.5,8785.2,8755.95,8737.9,8729.2,8708.0,8696.05,8694.65
2015-02-12,8676.95,8662.4,8661.2,8652.3,8635.5,8638.3,8642.65,8640.3,8642.65,8647.45,8648.5,8634.25,8634.4,8619.5,8629.9,8632.25,8636.15,8634.7,8629.9,8628.1,8639.2,8627.65,8630.6,8632.05,8629.1,8627.3,8623.65,8617.85,8606.1,8612.4,8606.4,8607.3,8611.45,8616.7,8615.35,8605.55,8613.35,8614.1,8614.5,8615.5,8603.9,8611.35,8615.0,8613.7,8612.4,8607.0,8610.4,8607.6,8612.2,8618.95,8621.25,8619.4,8618.85,8622.0,8627.95,8626.4,8638.2,8632.2,8640.95,8637.65,8650.65,8656.2,8651.95,8650.2,8655.45,8666.9,8682.0,8687.95,8681.6,8681.5,8689.4,8714.75,8721.05,8716.55,8721.55
2015-02-19,8883.05,8892.5,8900.75,8887.75,8885.75,8883.9,8890.0,8893.2,8883.7,8890.05,8892.3,8896.8,8894.3,8894.9,8890.5,8883.8,8882.3,8866.25,8852.6,8855.1,8859.25,8839.1,8821.7,8813.8,8826.7,8820.1,8825.65,8827.5,8821.15,8827.95,8834.2,8835.05,8839.35,8827.45,8833.25,8833.5,8830.85,8835.8,8832.95,8832.65,8840.2,8839.5,8844.9,8847.4,8846.0,8840.4,8839.65,8827.25,8832.45,8835.0,8836.6,8836.05,8837.25,8823.55,8835.0,8844.25,8831.45,8819.65,8816.1,8804.3,8805.0,8808.25,8819.1,8826.2,8831.45,8827.5,8837.9,8857.35,8848.85,8860.2,8880.3,8891.5,8905.35,8911.35,8900.3
2015-02-26,8779.0,8754.65,8748.35,8757.15,8749.1,8742.15,8736.05,8742.55,8745.8,8748.2,8747.55,8748.6,8747.5,8736.85,8740.4,8746.85,8748.3,8745.05,8745.25,8746.6,8736.85,8738.4,8743.35,8738.55,8745.65,8756.05,8751.45,8751.25,8752.2,8744.55,8747.4,8748.7,8746.55,8742.75,8738.35,8735.85,8739.05,8742.3,8740.7,8738.95,8733.6,8736.65,8718.8,8723.05,8718.0,8717.05,8716.7,8720.6,8733.5,8718.65,8723.35,8722.25,8710.5,8692.35,8685.25,8692.2,8692.4,8692.45,8696.6,8708.35,8708.9,8708.55,8713.5,8717.95,8718.15,8729.05,8720.45,8703.45,8717.45,8698.75,8678.9,8677.95,8681.1,8685.2,8685.65
2015-03-05,8929.4,8928.2,8943.4,8940.35,8935.3,8930.25,8923.75,8921.6,8910.25,8902.1,8915.05,8918.2,8918.4,8930.7,8936.65,8933.2,8935.7,8926.2,8926.25,8923.65,8916.55,8924.45,8931.7,8928.8,8927.0,8925.45,8929.1,8930.5,8929.55,8917.25,8910.5,8906.8,8896.35,8905.1,8906.65,8894.6,8906.1,8905.7,8905.45,8906.2,8901.55,8908.65,8898.35,8867.8,8879.8,8871.75,8876.0,8854.0,8862.9,8865.55,8870.75,8879.4,8870.5,8875.35,8867.05,8869.65,8884.45,8908.8,8901.2,8905.25,8914.95,8912.3,8893.6,8897.45,8898.15,8901.75,8901.95,8904.9,8919.65,8916.3,8912.2,8941.7,8950.0,8939.75,8932.25
2015-03-12,8740.65,8736.4,8754.45,8766.85,8765.95,8765.2,8766.75,8768.15,8767.55,8766.45,8763.8,8752.75,8756.35,8761.6,8753.6,8756.8,8756.25,8763.75,8763.3,8767.9,8766.25,8757.0,8761.75,8760.05,8759.35,8757.25,8763.95,8763.65,8761.2,8757.45,8759.25,8761.35,8760.25,8754.8,8751.85,8745.65,8751.55,8747.55,8752.1,8756.2,8759.05,8766.6,8762.9,8761.0,8761.2,8756.25,8754.0,8750.0,8755.55,8754.75,8753.85,8754.0,8746.2,8754.35,8756.3,8757.15,8751.95,8762.6,8765.45,8765.2,8754.95,8751.8,8752.2,8753.75,8761.05,8762.2,8765.55,8761.45,8756.85,8756.7,8768.6,8773.85,8782.55,8775.8,8779.15
2015-03-19,8749.45,8738.3,8735.15,8743.75,8771.7,8782.5,8775.6,8776.0,8776.65,8775.55,8779.65,8785.9,8778.75,8776.4,8768.2,8767.65,8772.15,8764.75,8763.05,8766.45,8756.55,8746.9,8740.5,8746.5,8741.05,8747.4,8749.25,8751.85,8733.85,8728.85,8731.15,8735.1,8738.65,8736.05,8740.2,8743.6,8744.0,8740.6,8744.45,8746.15,8750.45,8751.5,8743.05,8739.4,8741.4,8735.4,8736.45,8738.2,8736.1,8743.35,8753.35,8745.7,8745.05,8744.8,8744.65,8744.85,8744.4,8741.0,8742.05,8733.9,8743.6,8746.7,8742.75,8705.7,8689.15,8706.15,8697.15,8690.85,8688.05,8662.5,8647.3,8616.4,8634.9,8632.65,8628.45
