date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-13,8346.15,8340.35,8334.4,8331.45,8328.2,8332.55,8340.4,8342.75,8344.2,8340.0,8335.35,8339.2,8337.1,8333.9,8335.3,8337.85,8337.45,8341.1,8343.5,8341.7,8342.3,8338.1,8336.55,8335.45,8336.6,8338.65,8329.2,8329.45,8327.05,8333.95,8333.05,8333.45,8342.2,8338.6,8339.1,8339.55,8340.05,8340.45,8342.7,8335.65,8334.4,8325.25,8328.6,8327.15,8330.9,8332.65,8334.25,8336.95,8341.3,8354.95,8346.65,8351.95,8346.2,8349.9,8350.7,8351.6,8355.65,8352.5,8349.5,8352.15,8339.8,8338.2,8329.1,8317.55,8301.0,8302.45,8276.4,8276.55,8279.55,8281.0,8284.55,8299.0,8304.9,8304.9,8308.2
2015-01-20,8575.1,8582.4,8584.0,8584.8,8589.5,8592.5,8592.05,8594.9,8592.45,8591.6,8591.15,8593.9,8598.55,8598.2,8595.3,8595.1,8596.35,8594.25,8598.35,8602.75,8603.35,8601.15,8603.1,8603.2,8599.3,8594.5,8592.55,8596.05,8596.75,8597.45,8596.85,8600.9,8601.4,8605.5,8603.35,8599.85,8604.25,8606.7,8612.3,8615.3,8618.5,8620.4,8624.35,8618.85,8615.65,8616.85,8619.9,8623.9,8623.85,8621.0,8617.0,8625.95,8630.1,8629.95,8642.2,8634.75,8641.25,8645.55,8647.35,8655.55,8654.9,8660.25,8670.25,8663.95,8666.85,8673.65,8682.1,8688.25,8688.3,8692.9,8700.2,8700.85,8689.9,8690.15,8691.45
2015-01-27,8871.35,8844.2,8838.8,8849.0,8846.45,8845.75,8854.25,8852.55,8855.5,8857.3,8857.3,8855.55,8853.95,8859.75,8857.1,8856.1,8855.6,8854.75,8850.3,8848.85,8850.05,8848.5,8849.4,8843.65,8847.7,8848.1,8846.25,8843.8,8845.95,8837.45,8837.6,8835.25,8829.65,8832.65,8827.2,8832.45,8833.45,8841.5,8841.75,8843.45,8834.2,8837.65,8841.8,8839.4,8837.9,8836.7,8840.75,8846.35,8849.6,8849.9,8848.35,8848.05,8863.05,8856.05,8850.85,8852.9,8847.05,8849.85,8851.6,8848.75,8850.8,8859.7,8861.1,8873.35,8876.05,8881.7,8883.35,8897.55,8893.65,8896.15,8911.4,8917.55,8915.35,8912.65,8903.65
2015-02-03,8823.15,8823.85,8818.8,8818.35,8823.2,8825.15,8817.15,8818.85,8815.45,8803.35,8801.75,8802.5,8801.45,8788.65,8792.15,8793.85,8798.9,8802.55,8806.35,8803.55,8800.25,8802.15,8787.0,8800.45,8827.6,8824.0,8817.55,8808.9,8798.9,8797.95,8794.2,8759.05,8746.05,8733.85,8752.3,8746.7,8741.4,8737.05,8742.8,8740.0,8743.25,8749.45,8758.1,8748.25,8744.85,8737.4,8739.6,8731.5,8734.2,8732.1,8736.3,8739.5,8745.95,8747.6,8756.15,8765.8,8792.3,8777.85,8775.0,8777.75,8770.6,8777.45,8774.35,8783.55,8771.05,8762.1,8759.65,8770.15,8772.05,8771.55,8774.1,8772.1,8761.25,8752.65,8742.2
2015-02-10,8478.1,8534.4,8546.65,8545.65,8551.55,8564.55,8581.05,8610.45,8591.25,8585.55,8568.25,8582.5,8584.15,8583.15,8591.75,8583.6,8592.4,8599.55,8601.3,8602.1,8596.3,8597.95,8593.1,8604.75,8600.8,8631.35,8630.75,8632.5,8640.5,8625.4,8624.75,8622.95,8614.2,8614.6,8600.8,8595.65,8581.75,8561.3,8572.6,8579.45,8582.55,8578.5,8578.3,8591.8,8585.15,8583.35,8572.35,8567.85,8569.2,8573.2,8565.65,8556.5,8562.5,8552.3,8552.85,8555.2,8541.8,8527.25,8508.5,8486.25,8494.5,8504.5,8486.05,8504.15,8518.1,8544.4,8542.05,8555.5,8578.0,8570.2,8568.45,8565.05,8552.1,8563.9,8574.75
2015-02-24,8772.9,8762.85,8755.45,8761.85,8766.45,8765.85,8771.9,8771.85,8757.4,8759.0,8752.25,8756.15,8755.5,8765.1,8769.35,8777.05,8776.4,8766.35,8767.25,8763.2,8756.3,8753.4,8738.6,8745.95,8749.5,8746.55,8748.4,8754.15,8761.1,8766.9,8757.85,8761.5,8767.75,8763.55,8759.25,8759.2,8763.7,8765.25,8760.65,8767.9,8768.05,8762.35,8758.6,8756.1,8746.25,8746.05,8750.0,8751.05,8753.15,8771.0,8768.55,8779.55,8782.6,8776.35,8779.45,8786.9,8791.6,8783.0,8789.65,8794.15,8774.7,8760.0,8763.95,8746.75,8754.5,8727.4,8741.1,8748.45,8752.5,8748.95,8756.55,8759.35,8770.4,8766.5,8759.2
2015-03-03,8962.85,8939.95,8940.55,8934.3,8951.6,8948.9,8960.25,8957.7,8944.05,8946.2,8952.8,8958.2,8952.25,8966.1,8965.45,8969.4,8956.5,8955.75,8957.5,8960.15,8959.9,8958.25,8954.7,8950.85,8952.05,8942.75,8940.65,8942.7,8944.4,8945.8,8951.0,8946.9,8948.0,8957.75,8960.35,8959.15,8961.15,8965.8,8960.0,8963.8,8963.2,8963.25,8963.35,8974.0,8977.0,8975.2,8979.3,8972.75,8976.95,8976.35,8977.3,8978.25,8982.85,8983.3,8982.25,8962.4,8968.9,8968.1,8976.95,8980.1,8981.85,8980.5,8979.5,8985.2,8983.0,8983.3,8984.75,8991.8,8990.55,8991.45,9006.2,9002.6,8992.4,8992.95,8994.45
2015-03-10,8769.75,8749.7,8738.6,8753.65,8756.5,8746.15,8751.85,8748.35,8738.2,8751.85,8751.65,8741.7,8734.4,8740.8,8749.7,8751.05,8761.35,8768.35,8754.75,8762.5,8765.95,8775.4,8768.9,8761.4,8760.15,8762.3,8765.2,8765.35,8766.35,8765.75,8758.3,8752.2,8752.85,8753.1,8749.4,8753.75,8753.55,8746.9,8751.5,8762.45,8763.1,8755.35,8758.0,8753.7,8762.7,8759.35,8762.15,8755.85,8734.5,8729.2,8738.15,8739.75,8742.35,8733.8,8723.4,8702.6,8699.4,8702.45,8708.75,8702.65,8708.05,8698.8,8700.95,8704.0,8689.15,8689.1,8697.9,8692.6,8678.15,8690.65,8688.9,8718.85,8716.6,8714.65,8721.55
2015-03-17,8689.1,8675.15,8678.15,8675.8,8671.05,8672.25,8669.55,8688.95,8684.05,8696.3,8713.1,8721.45,8722.2,8713.4,8725.0,8722.65,8719.6,8716.35,8715.85,8718.05,8722.6,8723.35,8723.1,8719.95,8722.4,8727.2,8727.9,8730.25,8729.9,8727.55,8719.35,8717.9,8712.6,8713.7,8698.45,8686.6,8681.0,8686.9,8685.05,8680.7,8683.85,8690.35,8682.9,8683.45,8678.85,8664.4,8657.55,8645.1,8654.15,8648.95,8649.1,8664.55,8657.25,8651.1,8632.65,8642.4,8645.55,8651.25,8653.15,8653.6,8659.35,8648.3,8653.6,8652.0,8645.4,8650.0,8652.85,8652.9,8655.95,8674.3,8703.3,8719.05,8732.0,8739.45,8731.85
2015-03-24,8537.05,8546.95,8560.1,8560.65,8559.55,8564.1,8566.15,8577.0,8578.05,8574.9,8575.15,8575.85,8578.35,8580.4,8578.3,8569.9,8570.35,8566.45,8570.0,8577.75,8585.85,8582.1,8584.05,8581.6,8582.15,8589.7,8589.75,8592.35,8600.5,8598.0,8592.95,8596.8,8591.05,8587.1,8579.95,8582.5,8586.6,8579.15,8582.05,8586.45,8587.85,8581.65,8581.8,8579.5,8579.1,8582.5,8581.6,8586.65,8579.55,8565.65,8561.6,8562.4,8552.35,8553.35,8558.5,8560.5,8573.9,8588.65,8616.25,8605.55,8621.95,8616.4,8608.45,8611.7,8617.0,8604.2,8572.75,8559.35,8560.65,8549.0,8536.95,8549.05,8541.7,8547.05,8542.75
