date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-14,8307.25,8304.7,8305.2,8300.45,8309.75,8313.8,8318.45,8320.8,8317.9,8312.4,8303.0,8303.95,8304.25,8297.5,8291.45,8303.95,8296.4,8300.9,8298.65,8307.05,8306.15,8304.45,8297.3,8290.55,8290.2,8284.3,8281.85,8289.4,8286.3,8282.3,8288.55,8292.15,8287.05,8283.9,8273.45,8277.25,8274.75,8275.7,8274.55,8245.9,8244.55,8247.65,8253.6,8250.75,8244.35,8251.5,8251.25,8251.45,8258.2,8258.2,8257.4,8255.45,8246.1,8253.75,8259.25,8253.35,8249.2,8256.7,8252.0,8272.45,8281.6,8292.1,8291.8,8285.25,8282.7,8267.4,8261.25,8255.4,8260.3,8263.85,8280.65,8271.25,8273.05,8280.1,8285.35
2015-01-21,8719.65,8708.85,8718.65,8715.75,8716.75,8730.65,8730.2,8730.65,8729.15,8736.5,8737.15,8721.5,8716.25,8721.7,8728.6,8727.8,8721.75,8725.7,8717.75,8714.5,8708.1,8703.35,8701.05,8702.3,8704.85,8697.75,8704.8,8711.35,8714.2,8716.4,8707.7,8711.3,8716.65,8719.55,8722.75,8725.55,8719.9,8718.5,8723.25,8723.35,8719.95,8718.3,8720.05,8711.45,8707.2,8715.3,8710.0,8714.45,8719.75,8719.7,8720.75,8717.7,8724.0,8731.4,8727.3,8723.85,8725.4,8725.05,8724.5,8717.5,8715.1,8706.3,8713.2,8709.95,8720.15,8719.95,8721.25,8730.95,8728.05,8723.15,8726.6,8730.15,8731.3,8727.05,8730.95
2015-01-28,8902.75,8899.05,8894.35,8904.55,8916.85,8904.0,8889.65,8901.95,8894.85,8902.95,8906.45,8912.15,8910.15,8901.9,8903.6,8906.6,8906.6,8905.65,8898.75,8902.85,8909.65,8914.4,8917.6,8928.65,8928.7,8943.9,8944.55,8957.1,8952.55,8952.45,8954.6,8959.85,8952.1,8954.65,8953.05,8957.05,8955.25,8958.15,8970.55,8976.45,8983.7,8958.45,8943.7,8926.0,8925.45,8928.3,8919.15,8925.55,8928.15,8932.35,8926.35,8913.3,8921.8,8910.7,8908.1,8906.35,8893.55,8900.7,8918.6,8911.85,8907.8,8891.05,8882.2,8890.65,8891.8,8880.95,8877.3,8886.0,8898.35,8898.55,8910.1,8914.05,8920.25,8913.45,8911.15
2015-02-04,8789.15,8770.6,8770.75,8771.8,8765.55,8768.95,8759.3,8770.15,8756.95,8761.8,8760.4,8748.25,8741.6,8735.65,8735.3,8746.6,8743.8,8745.85,8722.15,8723.05,8731.65,8730.95,8744.85,8753.25,8746.0,8744.4,8757.95,8756.0,8763.15,8749.5,8750.2,8753.3,8753.45,8758.3,8753.85,8746.55,8747.9,8745.8,8747.3,8745.45,8747.65,8744.05,8748.35,8746.4,8748.1,8759.75,8754.2,8764.0,8771.4,8767.7,8755.75,8757.4,8757.55,8753.15,8757.95,8757.8,8763.7,8765.35,8767.2,8762.5,8759.4,8761.05,8764.45,8760.15,8759.25,8763.6,8763.45,8761.75,8762.3,8747.0,8746.1,8740.2,8724.35,8719.8,8709.5
2015-02-11,8603.3,8611.35,8613.9,8608.3,8611.45,8610.5,8610.05,8596.3,8601.6,8607.45,8607.65,8609.0,8609.8,8626.2,8624.15,8622.95,8617.85,8620.25,8608.45,8603.65,8604.35,8608.05,8607.6,8612.9,8607.75,8606.95,8602.85,8603.95,8615.35,8613.2,8610.25,8612.5,8610.8,8610.95,8623.9,8618.3,8618.35,8617.7,8618.3,8621.75,8626.65,8623.35,8617.5,8616.85,8615.75,8619.45,8620.9,8641.75,8637.9,8644.55,8638.5,8637.0,8619.7,8613.95,8618.9,8622.55,8622.2,8623.75,8621.4,8624.1,8628.0,8627.55,8628.0,8640.2,8632.0,8635.7,8642.35,8641.15,8644.6,8634.75,8634.35,8626.65,8625.5,8627.9,8629.3
2015-02-18,8811.55,8832.75,8829.45,8826.5,8834.0,8834.85,8831.7,8834.25,8841.5,8841.1,8848.45,8849.25,8850.45,8848.6,8847.75,8853.2,8852.6,8857.15,8850.85,8856.6,8857.3,8846.45,8848.85,8850.4,8854.65,8858.2,8851.3,8853.75,8854.5,8859.5,8855.65,8852.6,8850.9,8850.6,8844.1,8849.8,8840.1,8840.1,8840.35,8845.6,8844.55,8845.5,8847.25,8847.55,8845.6,8853.75,8851.1,8853.05,8853.5,8858.1,8857.7,8852.65,8836.95,8843.65,8843.15,8847.95,8852.45,8861.7,8871.05,8866.8,8869.55,8871.6,8864.5,8866.1,8883.3,8883.4,8880.45,8892.9,8884.2,8884.7,8872.45,8871.2,8869.95,8860.6,8862.9
2015-02-25,8802.65,8807.65,8817.65,8828.2,8834.25,8829.1,8828.15,8822.1,8820.95,8821.9,8823.55,8814.0,8815.95,8813.8,8825.25,8824.1,8825.2,8819.1,8817.45,8816.9,8818.6,8813.15,8814.75,8816.15,8817.45,8819.35,8822.35,8817.95,8822.85,8824.6,8825.55,8823.6,8826.0,8820.9,8822.75,8822.45,8820.25,8822.8,8816.25,8822.8,8816.85,8815.05,8818.2,8825.6,8822.5,8826.8,8824.2,8820.8,8808.75,8813.05,8815.5,8812.15,8817.35,8815.55,8817.5,8816.25,8806.8,8793.95,8779.8,8786.3,8771.4,8773.25,8777.4,8778.65,8767.5,8771.05,8767.8,8770.15,8753.8,8768.05,8764.3,8762.9,8771.75,8768.3,8763.6
2015-03-04,9109.15,9082.25,9082.15,9068.8,9064.4,9073.4,9077.7,9073.35,9067.0,9069.3,9079.05,9084.3,9081.3,9081.4,9076.9,9075.55,9074.1,9078.65,9082.0,9077.65,9074.5,9066.45,9058.8,9062.35,9065.85,9068.35,9062.7,9053.25,9054.1,9058.5,9056.4,9053.2,9052.1,9042.05,9021.25,9033.25,9040.25,9047.7,9038.95,9039.95,9046.65,9045.8,9042.75,9042.0,9045.05,9055.5,9058.3,9048.8,9044.55,9039.7,9047.05,9041.75,9043.8,9051.3,9052.4,9051.55,9048.1,9053.3,9054.9,9038.9,9024.75,9029.1,9029.7,8996.2,8985.0,8978.3,8952.8,8944.6,8903.65,8928.05,8944.2,8933.75,8919.8,8918.3,8910.55
2015-03-11,8728.75,8723.55,8727.3,8731.85,8732.1,8718.5,8724.75,8719.9,8730.55,8738.6,8740.7,8738.55,8739.85,8736.85,8721.7,8710.05,8713.8,8721.4,8727.05,8726.7,8726.85,8723.25,8720.0,8711.05,8712.85,8709.15,8701.45,8701.1,8688.8,8696.0,8704.75,8705.1,8699.45,8695.9,8701.6,8710.95,8710.8,8708.25,8710.8,8721.35,8720.2,8715.65,8711.25,8711.65,8721.55,8720.3,8714.0,8713.15,8715.65,8712.65,8695.45,8697.6,8702.2,8703.65,8715.25,8716.3,8729.75,8720.0,8718.8,8723.5,8727.1,8732.35,8752.2,8747.75,8733.85,8736.35,8723.25,8725.6,8724.6,8719.5,8703.25,8711.0,8695.15,8695.95,8695.55
2015-03-18,8742.9,8712.2,8718.25,8716.55,8716.15,8714.65,8697.0,8689.55,8691.1,8702.9,8705.5,8703.15,8710.95,8711.65,8706.15,8699.1,8686.25,8690.15,8692.1,8694.25,8689.3,8690.25,8691.25,8696.7,8697.75,8691.4,8696.45,8706.9,8702.15,8698.0,8707.4,8713.65,8725.25,8722.25,8721.95,8719.75,8722.85,8719.2,8717.75,8715.45,8724.25,8725.45,8716.2,8713.75,8711.55,8715.0,8717.25,8715.2,8722.4,8718.05,8716.7,8704.65,8697.2,8695.9,8697.3,8689.65,8677.35,8686.3,8694.3,8691.05,8699.2,8699.05,8696.9,8693.8,8687.55,8688.5,8673.35,8681.2,8676.35,8677.9,8674.9,8689.8,8688.55,8685.65,8683.75
