date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-12,8291.35,8267.45,8257.85,8265.7,8263.1,8257.05,8271.05,8270.3,8274.5,8285.8,8281.1,8273.65,8283.5,8294.2,8292.95,8292.75,8287.6,8281.5,8285.8,8288.7,8278.85,8284.35,8286.2,8283.5,8280.9,8281.35,8283.55,8286.0,8286.5,8282.05,8281.05,8280.75,8284.4,8287.8,8291.2,8281.95,8268.95,8263.25,8255.3,8257.35,8263.55,8264.6,8267.8,8268.9,8267.45,8270.75,8269.9,8269.15,8272.85,8267.9,8273.2,8267.75,8275.05,8277.5,8277.85,8281.45,8282.3,8281.4,8291.4,8289.75,8283.3,8287.3,8308.9,8319.3,8317.45,8317.15,8310.35,8304.9,8303.5,8305.8,8320.15,8320.45,8319.55,8329.5,8330.2
2015-01-13,8346.15,8340.35,8334.4,8331.45,8328.2,8332.55,8340.4,8342.75,8344.2,8340.0,8335.35,8339.2,8337.1,8333.9,8335.3,8337.85,8337.45,8341.1,8343.5,8341.7,8342.3,8338.1,8336.55,8335.45,8336.6,8338.65,8329.2,8329.45,8327.05,8333.95,8333.05,8333.45,8342.2,8338.6,8339.1,8339.55,8340.05,8340.45,8342.7,8335.65,8334.4,8325.25,8328.6,8327.15,8330.9,8332.65,8334.25,8336.95,8341.3,8354.95,8346.65,8351.95,8346.2,8349.9,8350.7,8351.6,8355.65,8352.5,8349.5,8352.15,8339.8,8338.2,8329.1,8317.55,8301.0,8302.45,8276.4,8276.55,8279.55,8281.0,8284.55,8299.0,8304.9,8304.9,8308.2
2015-01-14,8307.25,8304.7,8305.2,8300.45,8309.75,8313.8,8318.45,8320.8,8317.9,8312.4,8303.0,8303.95,8304.25,8297.5,8291.45,8303.95,8296.4,8300.9,8298.65,8307.05,8306.15,8304.45,8297.3,8290.55,8290.2,8284.3,8281.85,8289.4,8286.3,8282.3,8288.55,8292.15,8287.05,8283.9,8273.45,8277.25,8274.75,8275.7,8274.55,8245.9,8244.55,8247.65,8253.6,8250.75,8244.35,8251.5,8251.25,8251.45,8258.2,8258.2,8257.4,8255.45,8246.1,8253.75,8259.25,8253.35,8249.2,8256.7,8252.0,8272.45,8281.6,8292.1,8291.8,8285.25,8282.7,8267.4,8261.25,8255.4,8260.3,8263.85,8280.65,8271.25,8273.05,8280.1,8285.35
2015-01-15,8425.2,8428.0,8426.5,8416.55,8428.5,8416.0,8414.9,8409.1,8412.7,8422.35,8417.1,8413.35,8407.4,8403.3,8408.0,8408.1,8406.15,8407.4,8404.15,8414.2,8417.3,8419.25,8420.0,8423.65,8433.3,8432.65,8432.75,8431.8,8443.25,8455.0,8462.55,8457.95,8460.5,8463.65,8461.5,8453.75,8459.45,8458.95,8461.0,8459.55,8461.5,8466.15,8471.8,8482.35,8473.8,8475.5,8475.3,8475.25,8472.6,8474.9,8475.85,8476.45,8483.0,8483.95,8481.85,8476.2,8476.15,8478.55,8483.4,8488.3,8490.8,8493.55,8491.55,8491.6,8508.75,8507.85,8511.95,8526.7,8515.55,8516.5,8506.95,8502.6,8510.45,8497.6,8463.8
2015-01-20,8575.1,8582.4,8584.0,8584.8,8589.5,8592.5,8592.05,8594.9,8592.45,8591.6,8591.15,8593.9,8598.55,8598.2,8595.3,8595.1,8596.35,8594.25,8598.35,8602.75,8603.35,8601.15,8603.1,8603.2,8599.3,8594.5,8592.55,8596.05,8596.75,8597.45,8596.85,8600.9,8601.4,8605.5,8603.35,8599.85,8604.25,8606.7,8612.3,8615.3,8618.5,8620.4,8624.35,8618.85,8615.65,8616.85,8619.9,8623.9,8623.85,8621.0,8617.0,8625.95,8630.1,8629.95,8642.2,8634.75,8641.25,8645.55,8647.35,8655.55,8654.9,8660.25,8670.25,8663.95,8666.85,8673.65,8682.1,8688.25,8688.3,8692.9,8700.2,8700.85,8689.9,8690.15,8691.45
2015-01-21,8719.65,8708.85,8718.65,8715.75,8716.75,8730.65,8730.2,8730.65,8729.15,8736.5,8737.15,8721.5,8716.25,8721.7,8728.6,8727.8,8721.75,8725.7,8717.75,8714.5,8708.1,8703.35,8701.05,8702.3,8704.85,8697.75,8704.8,8711.35,8714.2,8716.4,8707.7,8711.3,8716.65,8719.55,8722.75,8725.55,8719.9,8718.5,8723.25,8723.35,8719.95,8718.3,8720.05,8711.45,8707.2,8715.3,8710.0,8714.45,8719.75,8719.7,8720.75,8717.7,8724.0,8731.4,8727.3,8723.85,8725.4,8725.05,8724.5,8717.5,8715.1,8706.3,8713.2,8709.95,8720.15,8719.95,8721.25,8730.95,8728.05,8723.15,8726.6,8730.15,8731.3,8727.05,8730.95
2015-01-22,8745.85,8751.1,8744.15,8740.8,8744.05,8746.75,8753.9,8760.45,8761.05,8760.5,8758.2,8756.25,8764.15,8765.35,8764.0,8766.1,8767.85,8771.25,8768.15,8770.4,8760.95,8751.85,8758.2,8748.8,8754.85,8754.4,8751.85,8754.95,8757.65,8759.65,8760.9,8756.0,8757.95,8759.9,8763.2,8761.3,8757.5,8752.7,8756.0,8752.75,8745.75,8754.75,8753.65,8753.3,8748.6,8745.8,8746.5,8744.45,8746.55,8749.75,8745.85,8749.15,8745.45,8759.3,8748.25,8749.55,8745.6,8742.2,8741.25,8736.8,8735.05,8734.95,8743.3,8741.4,8740.2,8739.9,8740.5,8738.65,8737.9,8735.65,8753.0,8755.35,8759.95,8771.9,8769.3
2015-01-23,8827.95,8854.4,8847.45,8852.8,8862.7,8860.7,8857.55,8854.25,8859.8,8854.25,8859.5,8852.9,8843.25,8835.95,8819.5,8813.15,8812.8,8815.65,8818.3,8805.2,8811.4,8806.8,8805.5,8798.15,8805.6,8810.05,8803.7,8805.4,8807.65,8804.2,8809.4,8815.25,8820.3,8814.85,8811.7,8812.45,8807.5,8807.55,8812.4,8811.65,8812.9,8815.05,8812.85,8811.75,8813.15,8814.8,8820.65,8819.2,8822.65,8822.65,8820.25,8824.15,8821.35,8810.6,8809.7,8813.45,8818.6,8834.3,8829.7,8832.9,8830.1,8827.7,8826.85,8827.55,8827.35,8828.85,8822.2,8827.7,8825.4,8827.45,8847.0,8843.8,8834.9,8830.6,8830.3
2015-01-27,8871.35,8844.2,8838.8,8849.0,8846.45,8845.75,8854.25,8852.55,8855.5,8857.3,8857.3,8855.55,8853.95,8859.75,8857.1,8856.1,8855.6,8854.75,8850.3,8848.85,8850.05,8848.5,8849.4,8843.65,8847.7,8848.1,8846.25,8843.8,8845.95,8837.45,8837.6,8835.25,8829.65,8832.65,8827.2,8832.45,8833.45,8841.5,8841.75,8843.45,8834.2,8837.65,8841.8,8839.4,8837.9,8836.7,8840.75,8846.35,8849.6,8849.9,8848.35,8848.05,8863.05,8856.05,8850.85,8852.9,8847.05,8849.85,8851.6,8848.75,8850.8,8859.7,8861.1,8873.35,8876.05,8881.7,8883.35,8897.55,8893.65,8896.15,8911.4,8917.55,8915.35,8912.65,8903.65
2015-01-28,8902.75,8899.05,8894.35,8904.55,8916.85,8904.0,8889.65,8901.95,8894.85,8902.95,8906.45,8912.15,8910.15,8901.9,8903.6,8906.6,8906.6,8905.65,8898.75,8902.85,8909.65,8914.4,8917.6,8928.65,8928.7,8943.9,8944.55,8957.1,8952.55,8952.45,8954.6,8959.85,8952.1,8954.65,8953.05,8957.05,8955.25,8958.15,8970.55,8976.45,8983.7,8958.45,8943.7,8926.0,8925.45,8928.3,8919.15,8925.55,8928.15,8932.35,8926.35,8913.3,8921.8,8910.7,8908.1,8906.35,8893.55,8900.7,8918.6,8911.85,8907.8,8891.05,8882.2,8890.65,8891.8,8880.95,8877.3,8886.0,8898.35,8898.55,8910.1,8914.05,8920.25,8913.45,8911.15
