date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-14,8294.82,8297.72,8299.785,8302.6,8305.525,8307.52,8309.17,8310.43,8310.775,8310.7,8310.595,8310.46,8310.14,8308.29,8307.305,8305.09,8303.025,8301.14,8300.62,8300.93,8301.015,8300.35,8299.65,8299.52,8297.545,8296.08,8294.965,8293.73,8291.235,8289.51,8288.25,8287.255,8286.565,8284.84,8284.11,8283.43,8282.04,8280.815,8277.33,8272.885,8268.44,8265.085,8261.74,8258.885,8256.45,8254.08,8251.67,8250.055,8251.125,8252.345,8253.135,8252.345,8252.68,8254.185,8254.26,8254.035,8254.56,8253.96,8255.44,8257.82,8261.49,8266.04,8269.21,8271.55,8273.17,8274.42,8274.325,8275.165,8274.265,8274.2,8272.14,8270.275,8269.78,8270.02,8271.855
2015-01-21,8694.12,8697.18,8699.95,8702.36,8705.445,8708.35,8712.585,8716.48,8720.975,8725.565,8726.855,8726.515,8727.055,8728.26,8727.98,8727.21,8726.55,8725.435,8723.3,8720.41,8718.715,8717.3,8715.355,8712.945,8709.925,8708.15,8706.695,8706.295,8706.525,8706.49,8707.265,8708.75,8710.45,8712.26,8715.005,8716.565,8717.275,8718.2,8718.77,8719.965,8720.665,8721.02,8720.265,8718.655,8717.64,8716.745,8716.415,8716.045,8715.745,8715.9,8715.88,8716.27,8718.1,8720.25,8721.01,8722.435,8723.495,8723.96,8723.685,8723.075,8721.885,8720.8,8718.81,8718.075,8717.775,8717.325,8717.9,8718.25,8718.825,8719.925,8722.345,8724.11,8725.83,8726.87,8727.695
2015-01-28,8905.205,8904.855,8905.9,8907.905,8907.175,8904.45,8903.07,8901.375,8901.25,8901.455,8902.775,8904.215,8903.955,8902.69,8902.915,8904.52,8904.94,8905.325,8905.28,8905.575,8905.805,8906.645,8909.365,8911.85,8915.68,8919.54,8924.67,8929.98,8935.04,8939.6,8943.88,8947.355,8949.88,8952.365,8953.625,8954.695,8954.775,8956.675,8959.055,8961.955,8962.045,8961.225,8958.345,8955.615,8952.725,8949.11,8945.87,8941.625,8937.145,8931.445,8926.825,8924.505,8922.99,8921.275,8919.015,8916.475,8914.0,8913.015,8910.95,8909.045,8906.96,8903.095,8901.1,8899.45,8896.995,8895.4,8893.905,8891.855,8890.575,8890.765,8893.01,8896.79,8899.055,8900.975,8903.55
2015-02-04,8763.26,8763.42,8763.32,8762.69,8762.23,8760.98,8761.815,8762.275,8764.24,8765.635,8763.5,8760.395,8756.755,8753.71,8751.38,8749.825,8747.42,8743.895,8740.2,8737.265,8735.52,8735.905,8737.72,8738.745,8738.62,8740.01,8740.985,8745.095,8747.62,8749.54,8751.76,8752.65,8753.135,8753.94,8754.075,8753.07,8752.045,8750.475,8750.14,8749.785,8748.86,8748.36,8747.165,8746.655,8748.005,8748.64,8750.555,8752.99,8755.165,8756.08,8757.405,8758.295,8758.97,8759.91,8759.785,8760.69,8760.79,8760.34,8759.77,8760.1,8760.475,8761.235,8761.97,8762.135,8762.715,8762.75,8762.41,8761.91,8760.41,8759.095,8756.855,8752.805,8748.69,8743.76,8738.76
2015-02-11,8571.81,8577.645,8580.575,8584.71,8588.96,8593.465,8597.845,8601.525,8604.875,8607.775,8607.55,8607.11,8608.92,8610.145,8611.455,8612.255,8614.69,8615.415,8614.99,8614.64,8614.58,8614.395,8613.14,8611.515,8609.845,8608.265,8606.565,8607.23,8608.185,8608.76,8609.245,8609.555,8609.33,8610.95,8612.045,8613.645,8615.075,8615.34,8616.27,8617.94,8619.02,8619.695,8620.35,8619.565,8619.725,8619.895,8622.19,8624.175,8626.36,8627.575,8628.87,8629.055,8628.62,8628.965,8629.305,8629.545,8627.795,8626.26,8624.28,8623.155,8622.295,8623.18,8625.935,8627.2,8628.48,8630.435,8632.215,8634.44,8635.525,8636.185,8636.06,8635.61,8634.325,8634.08,8634.08
2015-02-18,8821.96,8820.795,8819.805,8818.775,8819.51,8821.185,8824.24,8827.75,8831.585,8835.6,8837.145,8839.26,8841.33,8842.745,8844.52,8846.485,8848.74,8849.705,8851.265,8852.13,8851.93,8851.745,8851.95,8852.615,8853.02,8852.975,8852.625,8852.88,8853.18,8852.99,8853.65,8853.82,8853.935,8852.915,8852.16,8851.065,8849.725,8848.43,8846.955,8845.81,8845.065,8844.785,8844.385,8844.5,8844.88,8845.98,8847.335,8848.64,8849.96,8851.335,8852.06,8851.06,8850.675,8850.465,8849.94,8849.98,8850.765,8852.505,8853.335,8854.52,8856.405,8859.08,8861.325,8865.26,8868.755,8871.675,8874.79,8876.09,8877.9,8878.195,8878.12,8878.7,8878.29,8876.3,8874.49
2015-02-25,8762.925,8769.81,8777.38,8785.925,8793.21,8800.21,8805.395,8810.79,8817.035,8823.335,8823.965,8823.845,8822.375,8821.51,8820.93,8820.545,8820.265,8819.945,8819.395,8818.86,8818.83,8818.71,8818.925,8818.165,8817.755,8817.53,8817.415,8817.94,8818.75,8819.445,8820.42,8821.48,8821.985,8822.485,8822.735,8822.51,8822.97,8822.365,8822.17,8821.32,8820.48,8819.675,8820.13,8820.115,8820.56,8820.97,8820.78,8820.085,8819.275,8819.065,8818.755,8818.675,8817.74,8817.24,8816.215,8814.57,8811.905,8808.915,8806.04,8801.545,8797.685,8793.755,8790.06,8785.09,8780.6,8776.665,8774.275,8771.755,8769.91,8769.305,8768.295,8767.73,8766.63,8766.205,8765.575
2015-03-04,9004.13,9013.16,9021.095,9028.445,9035.105,9042.7,9050.81,9058.3,9065.86,9073.905,9073.505,9073.395,9074.5,9075.875,9076.125,9075.84,9076.61,9078.035,9078.875,9078.54,9076.79,9074.62,9072.75,9071.36,9070.8,9069.39,9066.745,9064.22,9062.31,9060.55,9059.215,9058.445,9056.55,9052.345,9049.355,9047.225,9046.76,9045.155,9043.265,9042.385,9041.54,9040.63,9040.585,9042.835,9044.795,9046.5,9046.62,9047.055,9047.04,9046.975,9046.72,9046.595,9047.665,9048.35,9047.32,9046.37,9046.81,9047.73,9047.665,9045.45,9043.55,9042.35,9036.74,9029.875,9022.96,9013.545,9002.51,8987.41,8976.04,8967.93,8958.195,8947.475,8939.57,8932.19,8926.215
2015-03-11,8707.635,8711.035,8716.825,8720.82,8724.075,8724.68,8725.21,8726.86,8728.505,8730.05,8731.375,8732.605,8732.785,8731.66,8730.43,8729.27,8729.125,8728.755,8727.59,8726.145,8724.625,8722.54,8719.885,8719.04,8718.87,8717.525,8715.495,8711.715,8708.705,8706.475,8704.675,8702.66,8701.02,8699.865,8700.085,8701.22,8702.01,8704.15,8706.625,8708.21,8709.26,8710.505,8712.14,8714.3,8715.3,8715.535,8716.025,8716.36,8715.505,8713.265,8711.335,8710.45,8709.7,8708.975,8708.59,8710.14,8710.84,8711.33,8712.455,8715.41,8719.0,8724.005,8728.46,8730.275,8732.25,8731.565,8731.95,8732.61,8732.355,8730.005,8727.845,8722.23,8716.84,8712.97,8709.515
2015-03-18,8704.33,8710.845,8716.895,8721.04,8722.215,8719.92,8715.755,8710.85,8707.955,8706.28,8705.46,8704.68,8704.13,8703.15,8701.605,8700.455,8700.48,8700.59,8699.965,8698.305,8697.2,8695.52,8694.18,8693.42,8692.95,8693.975,8695.67,8696.775,8697.08,8698.42,8700.455,8703.59,8705.99,8708.165,8710.715,8713.07,8714.285,8715.67,8717.485,8719.67,8720.925,8720.065,8719.425,8718.55,8718.185,8717.86,8717.45,8718.05,8718.385,8717.6,8715.48,8713.45,8711.79,8710.31,8707.84,8703.925,8701.115,8698.405,8695.66,8693.99,8693.475,8693.455,8692.93,8691.975,8691.765,8691.4,8690.79,8688.725,8687.195,8684.72,8683.61,8682.89,8682.1,8681.75,8680.9
