date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-12,8275.875,8275.84,8274.805,8274.425,8272.91,8271.515,8269.995,8269.35,8269.305,8269.43,8270.075,8272.69,8275.535,8278.565,8282.23,8283.925,8285.015,8286.125,8286.405,8286.18,8287.21,8287.415,8286.4,8285.22,8284.015,8283.58,8284.035,8284.115,8283.39,8283.56,8283.19,8283.04,8283.425,8284.39,8284.425,8282.915,8280.62,8277.505,8275.105,8273.37,8271.725,8270.07,8268.2,8265.83,8264.75,8264.875,8265.445,8267.19,8268.235,8269.15,8269.515,8270.215,8271.055,8272.08,8273.145,8274.42,8275.75,8277.525,8279.71,8280.765,8282.705,8286.14,8290.33,8294.285,8297.835,8300.605,8302.9,8304.225,8305.835,8309.51,8312.885,8313.935,8314.855,8316.07,8317.025
2015-01-13,8320.075,8322.995,8325.71,8327.905,8329.12,8331.065,8333.35,8334.89,8335.935,8336.815,8336.69,8336.945,8337.265,8338.015,8338.585,8338.305,8338.1,8338.07,8338.285,8339.01,8338.85,8338.84,8338.98,8339.09,8339.13,8338.26,8337.115,8335.445,8334.665,8333.73,8333.275,8333.8,8334.095,8334.36,8334.475,8335.58,8336.685,8338.25,8338.41,8338.53,8337.74,8336.42,8335.29,8334.45,8333.765,8333.19,8332.85,8332.655,8334.575,8335.82,8338.485,8340.225,8342.495,8344.53,8346.445,8348.57,8350.115,8350.985,8350.715,8349.95,8348.57,8346.93,8343.745,8338.68,8333.72,8325.835,8318.23,8311.3,8304.26,8298.78,8294.8,8292.315,8291.0,8291.835,8292.0
2015-01-14,8294.82,8297.72,8299.785,8302.6,8305.525,8307.52,8309.17,8310.43,8310.775,8310.7,8310.595,8310.46,8310.14,8308.29,8307.305,8305.09,8303.025,8301.14,8300.62,8300.93,8301.015,8300.35,8299.65,8299.52,8297.545,8296.08,8294.965,8293.73,8291.235,8289.51,8288.25,8287.255,8286.565,8284.84,8284.11,8283.43,8282.04,8280.815,8277.33,8272.885,8268.44,8265.085,8261.74,8258.885,8256.45,8254.08,8251.67,8250.055,8251.125,8252.345,8253.135,8252.345,8252.68,8254.185,8254.26,8254.035,8254.56,8253.96,8255.44,8257.82,8261.49,8266.04,8269.21,8271.55,8273.17,8274.42,8274.325,8275.165,8274.265,8274.2,8272.14,8270.275,8269.78,8270.02,8271.855
2015-01-15,8288.64,8305.64,8321.3,8337.945,8351.62,8365.745,8379.35,8392.28,8406.0,8418.985,8417.395,8415.595,8414.26,8412.0,8411.19,8410.56,8410.45,8409.93,8409.12,8409.12,8409.665,8410.875,8412.875,8415.455,8417.86,8420.47,8422.89,8426.655,8430.77,8435.35,8439.235,8443.285,8447.27,8450.155,8452.32,8455.03,8457.74,8459.605,8460.095,8459.935,8460.7,8461.845,8463.78,8464.98,8467.15,8468.725,8470.305,8471.505,8472.935,8474.38,8475.495,8476.595,8476.695,8477.445,8477.49,8477.545,8478.0,8479.085,8480.545,8482.03,8483.755,8484.62,8485.38,8488.08,8491.245,8494.855,8499.565,8502.8,8505.535,8507.135,8507.995,8509.92,8510.595,8506.085,8501.405
2015-01-20,8554.665,8557.215,8560.8,8564.54,8568.695,8572.455,8576.8,8581.255,8585.25,8589.35,8590.555,8592.005,8593.425,8594.025,8594.31,8594.68,8594.64,8595.265,8596.435,8597.64,8598.33,8598.84,8599.285,8599.71,8599.695,8599.32,8599.54,8599.35,8598.83,8598.19,8598.18,8597.985,8598.195,8598.63,8599.135,8600.27,8601.28,8602.895,8604.68,8606.92,8608.85,8611.16,8612.48,8613.75,8615.415,8617.065,8618.815,8619.985,8620.56,8620.34,8620.94,8621.5,8622.705,8625.235,8627.095,8629.28,8631.395,8633.745,8637.205,8640.95,8644.395,8648.4,8651.74,8654.25,8658.1,8662.095,8666.405,8670.455,8674.135,8678.68,8682.735,8684.7,8687.35,8689.82,8691.57
2015-01-21,8694.12,8697.18,8699.95,8702.36,8705.445,8708.35,8712.585,8716.48,8720.975,8725.565,8726.855,8726.515,8727.055,8728.26,8727.98,8727.21,8726.55,8725.435,8723.3,8720.41,8718.715,8717.3,8715.355,8712.945,8709.925,8708.15,8706.695,8706.295,8706.525,8706.49,8707.265,8708.75,8710.45,8712.26,8715.005,8716.565,8717.275,8718.2,8718.77,8719.965,8720.665,8721.02,8720.265,8718.655,8717.64,8716.745,8716.415,8716.045,8715.745,8715.9,8715.88,8716.27,8718.1,8720.25,8721.01,8722.435,8723.495,8723.96,8723.685,8723.075,8721.885,8720.8,8718.81,8718.075,8717.775,8717.325,8717.9,8718.25,8718.825,8719.925,8722.345,8724.11,8725.83,8726.87,8727.695
2015-01-22,8730.715,8732.11,8733.47,8735.615,8737.695,8740.11,8743.105,8746.505,8749.455,8752.45,8752.96,8754.65,8757.03,8758.995,8760.975,8762.255,8763.275,8763.975,8765.005,8765.345,8764.99,8764.565,8762.865,8761.925,8760.655,8759.12,8757.57,8756.545,8755.435,8755.365,8755.69,8755.72,8756.975,8757.91,8758.625,8759.26,8759.065,8758.88,8758.14,8756.695,8756.525,8756.23,8755.495,8753.965,8752.49,8751.28,8750.425,8749.485,8749.24,8749.265,8748.73,8747.81,8748.42,8748.39,8748.705,8748.685,8748.515,8747.945,8746.6,8745.485,8744.135,8743.9,8742.105,8741.28,8740.28,8739.735,8739.31,8738.94,8738.85,8740.545,8742.515,8744.185,8747.21,8750.18,8752.425
2015-01-23,8763.825,8774.735,8786.185,8798.91,8809.735,8819.985,8829.425,8838.19,8846.565,8856.275,8856.135,8855.705,8854.12,8849.875,8845.205,8840.74,8836.845,8832.715,8827.895,8823.125,8818.47,8814.605,8810.955,8809.535,8809.165,8808.15,8807.085,8805.955,8805.82,8805.555,8806.445,8808.025,8809.565,8810.09,8810.34,8810.82,8811.095,8811.685,8812.44,8812.835,8812.765,8811.95,8811.635,8811.86,8812.07,8813.31,8814.53,8815.48,8816.575,8817.315,8818.23,8819.075,8818.89,8818.53,8818.405,8818.29,8819.725,8820.465,8821.525,8822.53,8822.925,8823.535,8825.32,8826.99,8828.485,8828.83,8828.105,8827.695,8826.985,8828.635,8830.125,8830.885,8831.23,8831.595,8831.105
2015-01-27,8833.33,8834.53,8836.89,8838.935,8838.89,8840.045,8841.805,8844.25,8846.92,8850.23,8851.32,8852.835,8853.845,8854.87,8855.85,8855.93,8856.155,8855.63,8854.83,8854.16,8853.535,8853.065,8851.505,8850.54,8849.67,8848.77,8847.655,8847.22,8845.995,8844.755,8843.395,8841.385,8840.28,8838.2,8836.705,8835.42,8835.22,8834.775,8835.455,8835.115,8835.275,8836.55,8837.21,8838.38,8838.755,8839.465,8839.94,8840.81,8841.435,8842.845,8843.92,8846.02,8847.635,8848.93,8850.55,8851.165,8851.48,8851.575,8851.44,8851.73,8852.895,8852.69,8854.36,8856.88,8859.82,8863.51,8868.39,8872.7,8877.42,8883.43,8889.18,8894.61,8898.605,8901.4,8903.63
2015-01-28,8905.205,8904.855,8905.9,8907.905,8907.175,8904.45,8903.07,8901.375,8901.25,8901.455,8902.775,8904.215,8903.955,8902.69,8902.915,8904.52,8904.94,8905.325,8905.28,8905.575,8905.805,8906.645,8909.365,8911.85,8915.68,8919.54,8924.67,8929.98,8935.04,8939.6,8943.88,8947.355,8949.88,8952.365,8953.625,8954.695,8954.775,8956.675,8959.055,8961.955,8962.045,8961.225,8958.345,8955.615,8952.725,8949.11,8945.87,8941.625,8937.145,8931.445,8926.825,8924.505,8922.99,8921.275,8919.015,8916.475,8914.0,8913.015,8910.95,8909.045,8906.96,8903.095,8901.1,8899.45,8896.995,8895.4,8893.905,8891.855,8890.575,8890.765,8893.01,8896.79,8899.055,8900.975,8903.55
