date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-23,8756.28,8763.24,8770.576667,8778.75,8786.803333,8794.603333,8802.323333,8810.48,8818.353333,8825.486667,8832.026667,8837.586667,8841.85,8845.213333,8848.656667,8845.88,8843.73,8841.5,8837.676667,8834.413333,8831.016667,8827.706667,8823.693333,8820.526667,8817.25,8813.89,8811.316667,8809.39,8808.306667,8807.98,8808.153333,8808.493333,8808.26,8808.656667,8808.726667,8808.79,8808.976667,8809.876667,8810.243333,8810.426667,8811.23,8811.736667,8812.046667,8812.683333,8813.07,8813.366667,8813.313333,8813.82,8814.566667,8815.076667,8816.17,8817.056667,8816.85,8816.743333,8816.783333,8817.05,8818.496667,8819.706667,8821.01,8822.05,8822.58,8823.06,8823.41,8823.686667,8824.23,8824.116667,8824.516667,8825.576667,8826.646667,8828.87,8830.47,8830.5,8830.586667,8830.4,8829.946667
2015-01-30,8919.01,8924.48,8929.206667,8933.923333,8937.42,8940.97,8943.1,8945.616667,8947.703333,8945.926667,8944.323333,8942.466667,8940.64,8939.536667,8938.446667,8935.333333,8932.113333,8930.133333,8927.97,8925.603333,8923.17,8921.93,8919.256667,8915.43,8911.213333,8907.73,8903.023333,8897.496667,8891.486667,8884.62,8879.896667,8874.613333,8868.956667,8863.683333,8858.363333,8853.72,8849.88,8847.78,8846.31,8845.13,8842.073333,8840.646667,8839.97,8839.683333,8840.546667,8840.036667,8839.633333,8839.67,8839.28,8839.143333,8839.0,8838.613333,8837.263333,8837.653333,8837.146667,8837.733333,8838.156667,8838.233333,8836.18,8833.2,8830.736667,8828.256667,8824.803333,8822.506667,8820.19,8818.556667,8815.783333,8813.426667,8809.753333,8807.253333,8804.95,8802.823333,8800.996667,8800.8,8802.29
2015-02-06,8758.54,8752.173333,8744.766667,8737.216667,8729.84,8724.516667,8718.553333,8713.723333,8710.633333,8708.66,8706.93,8706.13,8705.483333,8704.696667,8703.876667,8702.146667,8698.843333,8696.383333,8693.87,8692.316667,8689.43,8688.156667,8686.06,8684.46,8682.556667,8681.286667,8679.833333,8679.483333,8679.236667,8679.79,8680.43,8682.36,8683.816667,8685.836667,8687.29,8688.786667,8689.96,8691.673333,8693.173333,8694.223333,8696.006667,8697.806667,8699.6,8701.423333,8702.72,8703.863333,8704.04,8703.35,8702.006667,8701.68,8701.523333,8699.973333,8698.32,8696.563333,8696.13,8694.693333,8694.276667,8693.186667,8691.83,8690.053333,8687.533333,8685.303333,8684.176667,8683.443333,8681.636667,8680.163333,8680.04,8679.21,8678.656667,8676.296667,8674.363333,8671.68,8669.956667,8668.743333,8667.263333
2015-02-13,8693.336667,8699.323333,8705.826667,8712.82,8718.5,8723.76,8728.6,8734.13,8739.59,8743.863333,8746.503333,8748.666667,8751.29,8753.366667,8754.84,8754.996667,8755.5,8755.813333,8754.736667,8754.196667,8752.573333,8751.62,8750.37,8749.28,8748.576667,8747.846667,8747.533333,8746.833333,8746.58,8746.89,8747.026667,8747.693333,8748.426667,8750.823333,8752.996667,8755.183333,8756.516667,8757.486667,8759.026667,8760.846667,8763.213333,8765.13,8766.92,8768.706667,8770.686667,8773.163333,8774.636667,8775.44,8775.49,8776.083333,8777.103333,8778.586667,8780.556667,8782.026667,8782.913333,8783.69,8783.946667,8784.396667,8785.28,8786.103333,8786.553333,8787.463333,8789.183333,8790.53,8791.84,8793.643333,8795.293333,8796.963333,8798.19,8800.653333,8802.14,8803.856667,8804.65,8805.03,8805.42
2015-02-20,8865.023333,8868.846667,8870.693333,8871.143333,8871.116667,8870.176667,8868.38,8867.4,8865.74,8862.456667,8858.443333,8853.896667,8849.493333,8846.22,8842.156667,8839.916667,8837.923333,8837.186667,8837.6,8838.56,8839.576667,8840.863333,8841.27,8842.066667,8843.183333,8844.736667,8846.613333,8847.84,8849.156667,8851.466667,8853.663333,8855.346667,8857.186667,8858.633333,8860.39,8862.006667,8862.123333,8863.243333,8864.076667,8864.68,8864.69,8864.25,8864.286667,8863.666667,8862.966667,8862.356667,8862.123333,8861.763333,8861.913333,8862.39,8863.513333,8865.866667,8866.963333,8868.323333,8869.06,8869.716667,8868.433333,8866.893333,8866.906667,8867.146667,8866.62,8866.433333,8866.73,8866.363333,8865.453333,8864.083333,8862.283333,8860.99,8859.063333,8857.453333,8855.703333,8855.413333,8854.646667,8852.033333,8849.536667
2015-02-27,8703.62,8704.886667,8706.256667,8707.416667,8708.12,8709.403333,8711.373333,8712.37,8714.243333,8717.77,8721.446667,8725.123333,8728.846667,8732.05,8734.813333,8734.96,8735.486667,8735.276667,8734.336667,8733.67,8732.656667,8732.44,8732.66,8732.946667,8732.95,8733.23,8734.076667,8734.796667,8736.906667,8738.586667,8740.096667,8741.453333,8743.443333,8746.933333,8749.606667,8752.833333,8755.576667,8758.32,8760.633333,8762.68,8764.763333,8766.816667,8768.503333,8769.0,8770.04,8771.26,8773.233333,8775.893333,8778.25,8780.773333,8782.816667,8784.843333,8786.24,8789.746667,8793.726667,8797.286667,8799.856667,8802.206667,8805.196667,8807.776667,8809.886667,8811.183333,8811.72,8812.45,8812.91,8813.273333,8814.216667,8815.376667,8816.076667,8817.453333,8818.976667,8821.21,8823.19,8825.04,8827.376667
2015-03-20,8665.18,8656.17,8648.973333,8643.786667,8638.283333,8632.593333,8626.806667,8621.606667,8618.286667,8614.886667,8613.576667,8611.16,8609.186667,8607.046667,8605.47,8605.183333,8604.66,8604.21,8601.693333,8599.576667,8598.713333,8598.506667,8597.303333,8596.956667,8596.973333,8597.576667,8598.193333,8598.75,8599.766667,8600.486667,8600.993333,8600.8,8600.863333,8601.216667,8600.77,8600.43,8599.746667,8599.266667,8598.033333,8597.856667,8596.816667,8595.333333,8593.81,8592.236667,8590.513333,8588.576667,8586.65,8585.8,8585.23,8585.576667,8586.193333,8586.686667,8587.72,8588.14,8587.71,8587.976667,8588.196667,8588.493333,8588.596667,8588.486667,8587.45,8589.143333,8589.703333,8590.22,8590.216667,8589.053333,8587.43,8585.576667,8585.05,8584.12,8582.726667,8581.516667,8579.646667,8578.39,8578.543333
2015-03-27,8375.876667,8374.643333,8373.203333,8371.686667,8369.35,8365.986667,8363.083333,8361.0,8359.483333,8361.536667,8362.676667,8364.166667,8365.44,8365.23,8363.43,8361.02,8357.47,8355.61,8354.246667,8354.006667,8354.503333,8354.836667,8355.236667,8354.893333,8354.45,8354.69,8353.99,8353.09,8352.696667,8351.446667,8351.623333,8351.993333,8351.276667,8350.673333,8348.483333,8346.173333,8342.523333,8339.106667,8335.38,8331.686667,8327.746667,8323.04,8318.373333,8314.163333,8311.103333,8308.12,8305.333333,8302.6,8299.333333,8298.62,8297.903333,8298.416667,8301.123333,8303.48,8306.336667,8309.6,8312.613333,8316.096667,8318.99,8321.833333,8324.143333,8325.963333,8328.493333,8330.553333,8331.683333,8332.866667,8335.076667,8335.32,8336.396667,8336.983333,8336.17,8337.516667,8338.193333,8339.103333,8340.086667
2015-04-10,8755.74,8759.03,8761.876667,8764.92,8767.62,8769.323333,8770.59,8771.723333,8772.176667,8772.99,8772.696667,8771.536667,8770.293333,8769.54,8769.123333,8769.213333,8769.043333,8768.983333,8768.523333,8768.633333,8768.263333,8768.036667,8767.786667,8767.456667,8766.276667,8764.85,8764.146667,8763.536667,8761.73,8760.413333,8759.67,8759.66,8759.333333,8759.163333,8758.126667,8757.47,8756.476667,8755.64,8754.61,8753.6,8753.75,8753.746667,8753.706667,8754.636667,8755.176667,8755.323333,8755.156667,8754.373333,8753.323333,8752.76,8751.893333,8751.486667,8751.363333,8750.883333,8750.953333,8750.896667,8750.78,8751.153333,8751.323333,8751.6,8751.796667,8751.963333,8752.94,8754.286667,8755.74,8756.836667,8757.926667,8758.716667,8760.356667,8762.22,8764.166667,8766.25,8767.47,8768.65,8769.12
2015-04-17,8691.536667,8691.956667,8692.78,8693.293333,8692.53,8690.966667,8688.47,8686.3,8683.986667,8679.96,8675.906667,8671.456667,8667.19,8664.03,8660.97,8658.45,8657.36,8655.913333,8655.163333,8653.9,8653.903333,8654.0,8653.953333,8654.52,8654.88,8656.263333,8657.586667,8658.743333,8659.463333,8660.166667,8659.913333,8660.13,8660.023333,8659.853333,8660.213333,8659.543333,8658.926667,8658.333333,8657.2,8655.893333,8655.08,8654.953333,8654.443333,8653.936667,8653.57,8653.493333,8652.19,8651.243333,8650.753333,8649.893333,8649.32,8648.93,8648.106667,8647.483333,8647.576667,8647.07,8645.956667,8645.76,8644.346667,8643.4,8642.77,8643.176667,8643.466667,8643.376667,8642.826667,8641.986667,8641.22,8640.636667,8639.25,8636.96,8634.503333,8631.493333,8628.553333,8626.56,8624.15
