date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-15,8285.11,8294.066667,8302.846667,8312.67,8322.48,8332.573333,8342.776667,8352.726667,8363.306667,8372.493333,8381.946667,8390.946667,8399.166667,8407.323333,8415.37,8413.853333,8412.65,8411.813333,8410.756667,8410.826667,8411.226667,8411.963333,8412.896667,8413.626667,8414.62,8415.903333,8417.513333,8420.076667,8423.27,8426.933333,8430.343333,8433.853333,8437.79,8440.983333,8443.42,8446.146667,8448.756667,8451.23,8453.03,8454.983333,8457.163333,8459.823333,8462.54,8463.79,8464.62,8465.806667,8466.77,8467.386667,8468.216667,8469.69,8470.806667,8472.393333,8473.933333,8475.356667,8476.323333,8477.036667,8477.54,8477.59,8478.593333,8479.61,8480.826667,8481.936667,8483.183333,8485.453333,8487.566667,8489.943333,8492.853333,8494.993333,8497.32,8499.373333,8501.126667,8503.216667,8504.19,8502.48,8500.483333
2015-01-22,8726.11,8728.25,8730.356667,8731.943333,8733.763333,8736.003333,8737.966667,8740.18,8742.683333,8744.796667,8746.52,8748.61,8751.156667,8753.36,8755.95,8757.03,8758.743333,8760.516667,8762.276667,8763.23,8763.106667,8762.916667,8762.063333,8761.673333,8761.42,8761.136667,8760.69,8760.193333,8759.903333,8759.49,8758.73,8757.88,8757.396667,8756.943333,8756.94,8757.316667,8757.023333,8757.536667,8757.38,8756.85,8757.0,8756.986667,8756.696667,8755.963333,8755.023333,8754.376667,8753.493333,8752.543333,8751.6,8750.61,8749.98,8749.483333,8749.723333,8749.463333,8749.696667,8749.15,8748.35,8747.51,8746.69,8745.94,8745.216667,8745.133333,8744.803333,8744.156667,8743.706667,8743.153333,8742.683333,8741.19,8740.33,8740.5,8741.103333,8742.246667,8744.313333,8746.543333,8748.333333
2015-01-29,8896.816667,8895.96,8894.626667,8892.676667,8891.626667,8891.303333,8890.74,8889.39,8888.17,8886.153333,8883.443333,8880.333333,8878.006667,8876.183333,8874.603333,8875.626667,8876.993333,8878.306667,8879.78,8880.79,8881.183333,8881.346667,8881.5,8880.996667,8880.393333,8880.113333,8879.733333,8879.36,8878.743333,8878.373333,8877.883333,8877.4,8877.183333,8877.413333,8878.55,8879.97,8880.993333,8881.423333,8882.443333,8883.51,8884.786667,8886.103333,8886.596667,8887.156667,8887.583333,8888.143333,8887.756667,8887.06,8886.413333,8885.426667,8884.486667,8884.203333,8885.173333,8885.61,8886.303333,8886.85,8887.403333,8887.68,8887.433333,8887.383333,8887.073333,8887.473333,8887.576667,8887.61,8888.486667,8888.6,8888.636667,8887.796667,8887.77,8891.953333,8895.99,8899.836667,8904.493333,8909.3,8913.766667
2015-02-05,8743.086667,8741.033333,8739.06,8737.493333,8735.406667,8734.013333,8732.613333,8731.026667,8730.613333,8731.093333,8732.066667,8734.27,8737.316667,8740.786667,8743.313333,8746.06,8747.796667,8749.153333,8749.97,8750.796667,8751.36,8751.896667,8752.75,8753.55,8753.593333,8754.123333,8754.363333,8753.833333,8753.306667,8753.033333,8752.753333,8751.653333,8751.506667,8751.776667,8752.43,8752.47,8752.63,8752.88,8753.433333,8753.39,8752.993333,8752.58,8752.493333,8752.926667,8753.583333,8754.503333,8755.553333,8757.536667,8760.553333,8764.053333,8767.71,8770.696667,8773.45,8776.223333,8779.386667,8782.62,8786.456667,8791.456667,8796.2,8800.636667,8804.976667,8808.84,8811.836667,8813.356667,8813.21,8812.316667,8812.263333,8811.62,8808.56,8804.79,8799.83,8792.873333,8783.95,8774.786667,8766.47
2015-02-12,8636.033333,8638.19,8638.92,8639.19,8639.37,8639.41,8639.353333,8639.19,8640.023333,8640.973333,8641.46,8642.15,8641.57,8641.606667,8641.35,8639.57,8637.856667,8636.426667,8635.9,8635.97,8634.96,8634.373333,8633.71,8632.506667,8631.1,8630.393333,8629.31,8628.476667,8627.3,8625.63,8623.706667,8622.13,8621.21,8620.38,8618.143333,8617.166667,8616.02,8614.843333,8613.9,8612.443333,8611.633333,8611.41,8611.88,8611.893333,8611.943333,8612.133333,8611.803333,8611.503333,8611.743333,8612.793333,8613.2,8613.513333,8614.003333,8614.83,8616.216667,8618.04,8619.21,8620.993333,8622.623333,8625.553333,8628.613333,8631.606667,8634.17,8636.55,8639.573333,8643.773333,8648.406667,8652.356667,8655.943333,8660.13,8665.23,8671.203333,8676.396667,8682.03,8687.17
2015-02-19,8875.58,8877.96,8879.443333,8879.626667,8879.636667,8880.28,8880.34,8880.37,8880.736667,8882.033333,8883.766667,8885.39,8887.61,8889.49,8890.763333,8890.053333,8887.81,8885.403333,8883.343333,8881.74,8878.346667,8873.486667,8868.723333,8864.466667,8859.65,8854.92,8850.413333,8845.566667,8841.37,8838.133333,8834.99,8833.213333,8831.573333,8830.166667,8828.436667,8827.883333,8828.906667,8830.24,8830.703333,8832.053333,8832.996667,8834.203333,8835.983333,8837.2,8837.523333,8837.84,8837.013333,8837.346667,8837.466667,8837.676667,8838.016667,8838.12,8837.496667,8837.6,8837.866667,8837.3,8835.62,8833.43,8830.653333,8828.23,8826.123333,8825.6,8825.19,8825.016667,8824.443333,8824.566667,8825.906667,8827.636667,8829.193333,8831.64,8835.646667,8841.253333,8847.563333,8853.98,8860.25
2015-02-26,8767.04,8765.083333,8763.603333,8762.36,8760.416667,8758.303333,8756.446667,8755.89,8754.596667,8753.503333,8752.526667,8750.926667,8748.866667,8747.336667,8746.126667,8745.743333,8745.53,8744.756667,8744.646667,8744.296667,8744.443333,8744.523333,8743.973333,8743.796667,8744.39,8744.57,8744.81,8745.813333,8746.086667,8746.083333,8746.123333,8746.256667,8746.093333,8745.496667,8745.403333,8745.443333,8745.326667,8745.513333,8745.086667,8743.563333,8742.593333,8740.426667,8738.433333,8736.68,8734.7,8732.616667,8730.913333,8730.33,8729.053333,8728.226667,8727.116667,8725.06,8721.886667,8718.28,8715.516667,8712.536667,8710.8,8709.093333,8708.446667,8707.85,8707.213333,8706.713333,8705.6,8705.503333,8705.886667,8705.74,8705.29,8706.94,8707.9,8706.976667,8705.973333,8705.173333,8704.296667,8702.726667,8701.81
2015-03-05,8945.253333,8939.336667,8935.82,8932.846667,8929.663333,8927.66,8926.213333,8926.713333,8925.123333,8923.21,8922.706667,8922.456667,8923.36,8925.1,8926.083333,8926.516667,8925.55,8924.296667,8923.28,8922.356667,8922.416667,8923.05,8924.28,8926.03,8926.736667,8927.46,8928.27,8928.16,8926.91,8925.39,8923.49,8921.53,8920.186667,8919.116667,8917.67,8916.436667,8914.863333,8913.32,8911.9,8910.32,8908.896667,8906.863333,8902.746667,8900.18,8897.573333,8895.533333,8892.68,8889.87,8887.053333,8885.476667,8883.453333,8880.973333,8878.956667,8876.323333,8874.186667,8872.62,8873.226667,8875.706667,8877.21,8880.14,8882.386667,8885.046667,8887.343333,8889.53,8891.573333,8893.263333,8895.56,8898.546667,8901.833333,8904.616667,8908.41,8911.266667,8913.716667,8915.906667,8917.41
2015-03-12,8720.17,8720.47,8721.913333,8723.97,8725.636667,8728.6,8731.563333,8734.39,8737.406667,8741.41,8744.236667,8748.216667,8752.846667,8756.773333,8760.44,8761.743333,8762.21,8761.71,8761.913333,8762.21,8761.516667,8760.993333,8760.416667,8759.94,8759.49,8760.266667,8760.79,8760.65,8760.863333,8761.003333,8761.316667,8761.093333,8760.563333,8759.503333,8758.183333,8757.843333,8756.936667,8756.62,8756.433333,8756.713333,8756.83,8756.763333,8756.74,8756.91,8756.753333,8756.23,8755.543333,8755.606667,8755.896667,8756.393333,8756.566667,8756.46,8756.39,8756.193333,8755.803333,8755.016667,8755.013333,8755.34,8755.816667,8755.81,8755.79,8755.906667,8755.94,8756.27,8756.84,8757.583333,8758.506667,8758.756667,8758.956667,8759.766667,8761.076667,8762.25,8762.86,8763.676667,8764.673333
2015-03-19,8687.593333,8690.203333,8693.526667,8699.206667,8705.41,8712.193333,8718.533333,8725.296667,8731.893333,8738.796667,8745.33,8751.346667,8757.403333,8763.013333,8768.82,8771.086667,8773.06,8774.39,8773.966667,8772.323333,8770.373333,8768.343333,8766.32,8764.113333,8762.043333,8759.59,8757.75,8754.78,8752.173333,8749.73,8747.22,8745.463333,8743.64,8741.903333,8740.956667,8740.793333,8740.516667,8740.403333,8740.626667,8740.84,8741.046667,8740.543333,8741.02,8741.87,8741.92,8742.1,8742.06,8742.09,8742.326667,8742.973333,8743.08,8743.323333,8743.3,8743.24,8742.94,8742.42,8742.25,8742.486667,8742.136667,8742.883333,8743.486667,8743.75,8741.666667,8738.593333,8735.303333,8731.986667,8728.456667,8724.746667,8719.003333,8712.706667,8704.15,8697.006667,8689.673333,8682.476667,8674.45
2015-03-26,8528.926667,8524.74,8520.626667,8516.666667,8512.616667,8508.82,8504.883333,8501.07,8497.02,8492.843333,8488.873333,8485.003333,8480.746667,8476.913333,8473.863333,8473.0,8472.066667,8471.3,8470.24,8469.893333,8469.81,8470.133333,8470.55,8470.273333,8469.716667,8469.86,8469.316667,8469.05,8468.513333,8467.853333,8466.906667,8465.49,8463.38,8462.56,8461.45,8460.156667,8458.646667,8456.913333,8455.423333,8453.84,8452.533333,8451.206667,8449.89,8448.42,8447.166667,8446.3,8445.85,8446.47,8446.346667,8445.806667,8445.273333,8443.94,8443.0,8441.77,8440.37,8438.88,8436.986667,8434.453333,8432.356667,8430.51,8428.01,8425.973333,8422.89,8419.206667,8415.79,8413.033333,8411.24,8408.14,8405.463333,8399.176667,8393.013333,8387.813333,8383.47,8380.08,8377.91
