date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-12,8280.19,8274.64,8271.55,8266.85,8262.14,8262.84,8265.35,8267.15,8271.76,8276.72,8277.31,8280.03,8283.92,8285.37,8287.74,8290.54,8290.0,8288.33,8287.44,8284.62,8283.88,8284.83,8284.47,8283.0,8283.41,8283.28,8283.24,8283.76,8283.78,8283.71,8283.1,8282.84,8283.09,8285.0,8285.14,8282.73,8278.4,8271.92,8265.21,8261.6,8260.72,8261.74,8264.48,8266.45,8267.9,8269.03,8269.15,8269.9,8270.02,8270.4,8270.0,8271.28,8272.21,8274.14,8275.89,8278.84,8280.22,8282.84,8285.28,8285.64,8286.57,8292.06,8297.82,8303.29,8310.03,8314.64,8313.74,8310.63,8308.38,8308.99,8311.13,8314.13,8319.08,8323.76,8325.06
2015-02-02,8806.81,8800.31,8796.43,8791.23,8781.81,8781.13,8784.04,8785.51,8788.96,8792.64,8791.85,8789.28,8786.63,8782.52,8780.93,8780.22,8782.73,8785.36,8788.88,8790.01,8791.47,8790.87,8789.28,8787.66,8787.33,8787.83,8787.28,8787.32,8786.99,8785.48,8782.71,8779.75,8774.16,8769.49,8764.75,8763.34,8762.34,8761.97,8761.7,8762.94,8761.41,8761.48,8762.28,8761.51,8760.57,8760.54,8759.23,8758.56,8759.03,8759.1,8762.74,8769.68,8784.87,8795.23,8808.73,8816.65,8820.24,8820.01,8823.7,8823.57,8821.94,8822.07,8815.83,8808.67,8800.98,8795.96,8790.28,8785.77,8783.86,8786.27,8788.9,8791.72,8795.13,8798.49,8798.15
2015-02-09,8649.19,8637.62,8621.41,8604.23,8588.97,8588.23,8586.15,8583.38,8580.89,8573.34,8567.12,8562.31,8559.03,8559.53,8564.12,8566.12,8567.13,8568.98,8568.59,8568.24,8568.59,8568.49,8567.17,8564.55,8562.61,8564.34,8566.92,8570.24,8574.38,8577.11,8576.63,8576.01,8576.69,8576.01,8574.07,8572.43,8571.26,8569.66,8569.37,8570.99,8573.08,8574.35,8578.08,8580.5,8582.77,8583.39,8584.33,8583.12,8583.61,8584.19,8584.15,8584.14,8583.67,8580.92,8576.3,8574.21,8571.29,8569.25,8568.29,8567.79,8566.93,8564.36,8562.59,8558.64,8556.82,8553.95,8554.01,8553.95,8553.48,8551.38,8545.84,8539.93,8533.04,8529.5,8524.25
2015-02-16,8806.99,8813.36,8825.89,8838.98,8849.87,8853.35,8854.82,8853.69,8850.58,8849.18,8848.33,8851.27,8851.83,8853.52,8856.5,8859.56,8860.87,8862.78,8864.0,8861.2,8857.71,8854.03,8851.51,8848.97,8845.7,8841.66,8836.12,8831.74,8827.12,8826.51,8827.19,8828.86,8829.18,8832.92,8831.89,8830.28,8829.45,8830.25,8828.71,8830.15,8832.07,8832.88,8832.26,8831.06,8830.59,8830.11,8829.28,8828.59,8828.27,8827.44,8827.25,8827.96,8828.12,8829.61,8831.04,8833.16,8835.61,8836.63,8836.32,8837.21,8836.75,8837.48,8839.88,8843.26,8845.36,8845.79,8844.83,8843.37,8842.23,8837.95,8833.1,8825.62,8819.38,8811.21,8807.3
2015-02-23,8834.52,8839.09,8843.92,8848.85,8854.71,8855.74,8857.74,8860.01,8862.87,8861.79,8857.41,8852.5,8849.71,8847.65,8847.52,8849.9,8852.8,8853.56,8853.67,8854.36,8853.26,8851.48,8850.71,8850.22,8848.89,8846.9,8845.61,8844.44,8843.59,8843.77,8843.97,8842.22,8840.87,8839.78,8839.8,8841.39,8844.37,8845.45,8846.45,8846.41,8846.61,8846.76,8847.65,8847.63,8846.14,8845.01,8844.05,8844.59,8845.11,8846.93,8847.35,8849.45,8847.73,8846.94,8845.47,8839.32,8833.06,8829.55,8817.77,8804.47,8795.89,8786.62,8775.13,8772.77,8770.07,8768.61,8764.38,8763.0,8760.23,8761.7,8763.72,8764.7,8761.0,8758.22,8752.74
2015-03-02,8923.27,8928.96,8934.42,8939.16,8948.58,8950.09,8955.09,8959.45,8962.55,8960.43,8958.16,8958.13,8960.38,8960.44,8959.23,8958.27,8956.43,8950.69,8945.09,8939.68,8935.32,8929.07,8925.93,8924.78,8922.7,8918.24,8917.04,8914.56,8909.77,8905.36,8905.77,8904.44,8900.35,8898.01,8899.29,8898.89,8896.23,8899.29,8905.1,8910.79,8913.97,8917.77,8919.29,8918.63,8917.9,8916.58,8914.8,8911.26,8907.99,8903.97,8900.2,8901.08,8903.39,8905.72,8908.42,8913.23,8914.63,8917.57,8918.51,8920.9,8920.86,8923.36,8925.75,8929.5,8931.17,8934.78,8933.88,8930.55,8928.73,8930.22,8935.52,8942.58,8950.54,8958.31,8961.81
2015-03-09,8920.33,8897.58,8875.11,8854.41,8829.21,8825.24,8820.02,8817.78,8816.56,8819.48,8819.62,8820.95,8820.26,8817.57,8815.78,8815.77,8816.42,8818.43,8820.54,8820.91,8822.02,8821.98,8820.26,8818.54,8816.67,8813.18,8810.85,8809.69,8809.92,8811.42,8815.0,8816.49,8817.75,8816.8,8815.91,8815.5,8815.05,8816.08,8817.85,8818.98,8817.89,8817.31,8815.75,8815.02,8815.06,8815.59,8816.59,8811.58,8806.93,8799.76,8793.68,8785.54,8782.58,8777.12,8773.38,8770.9,8771.67,8773.76,8776.94,8779.58,8779.76,8779.08,8777.66,8777.91,8780.84,8781.11,8780.58,8778.11,8775.92,8771.76,8768.78,8765.5,8762.93,8759.29,8753.68
2015-03-23,8576.47,8582.62,8587.91,8590.0,8589.25,8584.02,8578.51,8576.1,8576.35,8575.99,8577.21,8577.72,8577.6,8576.3,8577.08,8579.18,8579.72,8579.28,8579.6,8576.62,8575.59,8575.12,8575.22,8574.89,8576.04,8574.69,8573.9,8574.42,8574.31,8575.68,8579.15,8581.73,8583.91,8586.87,8588.63,8589.25,8590.24,8589.94,8589.54,8589.34,8587.27,8585.23,8583.54,8582.3,8579.96,8580.45,8580.23,8579.72,8579.35,8581.15,8581.49,8580.74,8577.95,8573.53,8568.54,8561.63,8559.08,8559.41,8557.88,8555.81,8555.7,8553.32,8552.45,8554.21,8555.81,8556.46,8555.69,8554.4,8552.74,8552.2,8553.31,8554.97,8553.83,8553.16,8552.15
2015-03-30,8353.37,8360.98,8370.51,8381.75,8392.25,8395.78,8399.92,8402.32,8404.42,8406.45,8406.14,8405.12,8406.25,8405.18,8404.19,8404.76,8408.97,8413.42,8418.6,8422.89,8425.39,8423.87,8421.47,8419.16,8417.05,8416.42,8416.69,8414.36,8411.95,8409.97,8407.69,8405.6,8406.52,8407.49,8406.52,8405.6,8405.44,8405.23,8404.43,8406.02,8407.85,8409.51,8412.38,8416.2,8418.73,8421.94,8425.66,8426.97,8430.04,8434.9,8437.76,8440.29,8444.1,8445.53,8448.14,8452.14,8456.67,8459.47,8461.31,8461.86,8463.18,8463.74,8464.1,8464.63,8463.83,8464.13,8464.96,8468.02,8472.05,8477.29,8481.52,8485.53,8487.2,8489.85,8493.16
2015-04-06,8590.38,8591.28,8589.88,8587.49,8587.24,8585.61,8586.85,8586.93,8586.41,8585.22,8585.31,8584.84,8588.32,8590.6,8592.19,8591.41,8591.58,8590.25,8590.11,8589.49,8590.12,8590.32,8589.26,8588.44,8588.74,8589.0,8587.65,8586.24,8584.76,8584.09,8584.32,8585.78,8586.32,8587.21,8585.42,8582.92,8581.59,8581.68,8582.26,8583.09,8585.37,8586.48,8587.89,8588.75,8590.93,8592.76,8593.94,8596.58,8599.32,8602.71,8603.89,8606.03,8606.86,8608.82,8612.04,8615.83,8619.6,8621.14,8622.67,8623.36,8622.76,8622.72,8626.79,8629.43,8632.11,8637.01,8642.62,8645.67,8647.75,8650.97,8654.21,8655.15,8657.27,8660.33,8659.09
