date_only,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00
2015-01-13,8329.02,8331.86,8332.34,8332.05,8333.18,8333.11,8334.84,8337.44,8339.82,8340.45,8340.27,8339.05,8337.09,8336.21,8336.72,8336.34,8337.15,8339.05,8340.36,8341.3,8341.36,8340.53,8338.91,8337.82,8336.96,8335.16,8333.7,8331.98,8331.51,8330.5,8331.39,8333.9,8336.21,8337.21,8338.45,8339.77,8339.47,8340.29,8339.61,8338.61,8335.71,8333.37,8330.29,8329.29,8328.92,8330.67,8332.33,8335.02,8339.86,8342.72,8346.3,8348.12,8349.97,8349.2,8350.17,8350.84,8352.11,8352.0,8352.23,8349.73,8346.3,8341.75,8335.49,8325.13,8317.71,8305.37,8294.71,8287.11,8283.39,8279.85,8284.23,8289.92,8294.89,8300.28,8304.15
2015-01-20,8556.47,8562.94,8570.31,8577.91,8586.3,8588.44,8590.66,8592.2,8592.59,8592.4,8592.67,8593.35,8594.65,8595.46,8596.22,8596.69,8595.93,8595.88,8597.41,8599.06,8599.97,8601.75,8602.69,8602.01,8600.33,8598.67,8597.33,8596.01,8595.65,8596.05,8597.69,8598.64,8600.38,8601.61,8602.22,8602.85,8603.92,8605.41,8607.75,8611.62,8614.85,8618.4,8619.55,8619.75,8619.21,8619.28,8619.23,8620.42,8621.37,8621.47,8622.6,8623.77,8624.99,8629.1,8632.72,8635.96,8639.02,8642.5,8645.31,8649.18,8652.83,8657.78,8660.98,8663.19,8667.02,8671.36,8675.03,8679.93,8685.08,8690.34,8694.11,8694.37,8694.77,8694.56,8692.8
2015-01-27,8832.91,8833.77,8837.41,8840.64,8845.21,8847.18,8849.84,8851.09,8853.2,8855.25,8855.46,8855.83,8856.6,8856.54,8856.45,8856.4,8856.48,8854.66,8853.12,8851.87,8850.67,8849.65,8848.35,8847.96,8847.47,8846.87,8845.66,8846.09,8844.03,8842.04,8839.92,8837.11,8834.47,8832.37,8831.37,8830.92,8833.33,8835.08,8838.54,8838.86,8839.63,8839.77,8839.34,8838.22,8838.65,8839.3,8840.11,8842.28,8844.65,8847.04,8848.54,8851.93,8852.99,8853.21,8854.06,8853.79,8851.03,8850.16,8849.67,8849.4,8852.0,8854.35,8858.56,8864.09,8870.24,8875.02,8882.43,8886.84,8890.75,8896.62,8903.34,8906.79,8910.37,8912.05,8910.64
2015-02-03,8803.11,8807.23,8811.45,8816.01,8821.36,8820.14,8820.4,8820.02,8815.93,8811.43,8808.61,8805.06,8799.67,8797.57,8795.89,8794.99,8795.35,8798.85,8801.06,8802.27,8802.83,8799.96,8798.65,8803.64,8808.43,8811.15,8815.19,8815.1,8809.09,8803.12,8791.94,8779.34,8766.32,8757.17,8747.66,8744.19,8742.36,8744.15,8741.47,8740.61,8742.09,8746.38,8747.32,8748.49,8747.48,8745.7,8740.33,8737.48,8734.85,8735.07,8734.9,8737.79,8740.71,8745.59,8751.08,8761.61,8767.96,8773.22,8777.58,8778.49,8775.65,8774.92,8776.65,8775.31,8773.81,8770.2,8769.44,8767.31,8767.42,8769.59,8772.06,8770.41,8766.42,8760.32,8754.91
2015-02-10,8526.63,8531.12,8535.19,8539.72,8548.97,8558.31,8571.02,8580.35,8587.08,8587.55,8587.74,8582.29,8580.1,8581.34,8584.8,8586.89,8589.97,8593.75,8595.92,8598.31,8599.29,8598.15,8598.9,8598.54,8605.55,8612.32,8619.98,8627.06,8632.03,8630.61,8628.94,8625.34,8620.2,8615.34,8609.59,8601.19,8590.52,8582.04,8577.67,8575.02,8574.47,8577.91,8581.77,8582.99,8583.23,8582.08,8580.81,8576.43,8574.01,8570.36,8567.21,8564.19,8560.67,8556.4,8554.61,8551.66,8545.91,8537.31,8524.36,8512.27,8504.67,8496.13,8495.05,8501.11,8511.1,8518.74,8532.94,8547.89,8558.43,8562.88,8567.5,8566.78,8564.03,8564.81,8567.01
2015-02-24,8750.44,8749.61,8753.7,8757.92,8762.47,8764.29,8767.48,8766.56,8765.15,8762.63,8759.57,8756.34,8757.88,8760.14,8764.64,8768.62,8770.78,8771.1,8769.71,8765.97,8761.31,8755.88,8751.62,8748.77,8746.8,8745.9,8748.93,8751.84,8755.29,8757.51,8760.1,8762.82,8763.54,8762.08,8762.3,8762.72,8762.06,8761.48,8763.23,8764.95,8764.74,8763.53,8762.65,8758.24,8753.92,8751.36,8749.86,8749.23,8754.07,8758.54,8764.51,8770.87,8775.27,8777.05,8780.59,8783.0,8783.0,8785.96,8789.0,8786.7,8780.4,8776.57,8767.88,8759.89,8750.43,8746.51,8743.47,8744.7,8743.5,8749.39,8752.94,8757.25,8760.03,8762.27,8763.07
2015-03-03,8957.16,8953.42,8948.17,8944.98,8942.46,8946.67,8950.37,8952.96,8952.23,8953.75,8953.4,8952.14,8955.88,8959.72,8962.27,8961.78,8962.48,8961.03,8959.99,8958.09,8958.71,8958.41,8956.88,8955.22,8951.73,8947.83,8945.96,8944.74,8943.39,8945.13,8946.49,8947.11,8949.77,8952.38,8953.71,8956.63,8960.1,8960.89,8961.83,8962.92,8963.23,8962.86,8965.25,8968.0,8970.48,8973.73,8975.54,8976.16,8976.04,8976.33,8976.02,8978.06,8979.28,8980.71,8977.77,8975.39,8972.76,8971.57,8970.97,8974.9,8977.74,8979.67,8981.24,8981.47,8981.76,8982.79,8985.32,8986.29,8988.31,8992.51,8996.05,8995.65,8996.21,8996.64,8995.11
2015-03-10,8751.05,8747.37,8747.27,8748.09,8748.67,8748.75,8750.89,8748.05,8747.21,8748.3,8746.66,8743.38,8743.72,8743.27,8743.15,8746.38,8753.0,8755.96,8758.36,8761.39,8764.82,8765.21,8767.0,8766.64,8765.82,8763.78,8762.96,8763.69,8764.85,8764.11,8761.47,8758.9,8756.22,8752.99,8752.04,8752.45,8751.38,8751.04,8753.51,8755.4,8756.63,8758.86,8759.3,8759.51,8758.82,8757.62,8757.16,8753.24,8746.54,8742.0,8739.23,8736.39,8736.25,8735.04,8728.21,8720.59,8712.79,8707.83,8703.67,8704.99,8705.83,8705.57,8704.67,8701.95,8697.81,8695.98,8694.4,8689.1,8689.84,8690.05,8694.51,8699.3,8706.6,8712.42,8719.6
2015-03-17,8644.05,8653.2,8661.57,8668.37,8674.88,8673.09,8673.47,8675.28,8680.24,8688.47,8699.37,8707.76,8713.3,8719.48,8721.35,8720.79,8719.57,8720.08,8718.23,8717.98,8718.93,8720.05,8720.93,8721.89,8722.92,8723.85,8725.35,8727.55,8728.71,8727.24,8725.09,8722.0,8718.58,8712.6,8706.03,8699.0,8693.4,8687.63,8684.08,8683.73,8685.79,8684.96,8684.54,8684.51,8680.9,8673.89,8666.28,8660.5,8655.16,8651.77,8653.34,8655.92,8655.29,8651.15,8649.65,8645.64,8644.54,8645.11,8649.22,8652.42,8653.02,8653.96,8653.55,8652.03,8650.41,8651.23,8650.52,8651.47,8657.25,8667.8,8681.5,8697.18,8713.86,8724.96,8728.88
2015-03-24,8549.91,8551.06,8553.38,8555.83,8558.44,8562.14,8565.43,8568.54,8571.42,8574.23,8576.33,8576.62,8577.41,8578.38,8577.04,8575.89,8573.52,8571.49,8571.26,8574.2,8576.62,8580.09,8582.42,8583.28,8584.01,8585.59,8587.2,8591.04,8594.19,8594.68,8596.02,8595.95,8592.83,8588.47,8586.35,8584.12,8581.6,8580.89,8582.94,8584.18,8583.67,8584.25,8583.77,8582.37,8581.34,8581.04,8581.97,8582.0,8579.38,8574.98,8571.13,8564.2,8558.89,8557.32,8557.31,8559.48,8566.75,8579.29,8588.75,8600.96,8609.56,8613.64,8612.77,8615.06,8611.59,8604.09,8594.24,8583.65,8570.08,8556.75,8550.76,8547.23,8545.09,8543.8,8546.26
2015-03-31,8497.51,8500.23,8505.55,8510.05,8513.81,8516.51,8519.61,8520.53,8519.49,8518.58,8516.38,8514.76,8513.33,8513.33,8512.76,8512.8,8514.0,8516.34,8519.66,8522.48,8523.54,8523.73,8522.08,8520.58,8518.65,8517.91,8518.23,8519.57,8518.87,8519.65,8520.56,8520.71,8521.3,8522.54,8523.25,8524.24,8525.37,8527.21,8527.33,8525.94,8524.43,8523.88,8522.83,8523.35,8524.83,8525.05,8524.94,8525.11,8526.47,8527.91,8531.92,8534.73,8535.87,8537.13,8539.11,8538.83,8539.52,8541.17,8541.43,8540.1,8533.87,8522.81,8509.74,8496.96,8485.49,8479.4,8479.25,8480.29,8479.79,8482.45,8486.86,8488.49,8491.46,8495.09,8492.97
2015-04-07,8663.98,8668.77,8672.83,8676.21,8678.94,8673.45,8670.0,8666.39,8664.93,8665.19,8667.54,8668.68,8669.87,8668.77,8665.85,8662.63,8660.04,8656.77,8655.37,8654.78,8655.19,8652.47,8648.92,8640.45,8635.29,8631.38,8629.75,8630.35,8635.05,8639.36,8642.29,8650.12,8654.71,8654.06,8649.73,8642.45,8629.75,8619.01,8611.72,8609.58,8608.58,8606.31,8602.83,8603.7,8603.16,8604.55,8605.84,8609.07,8610.25,8607.84,8605.68,8605.36,8605.53,8604.33,8605.59,8605.51,8605.62,8602.96,8602.78,8605.08,8609.36,8614.35,8618.1,8621.76,8623.16,8624.21,8624.88,8626.06,8624.14,8627.24,8630.22,8636.89,8646.9,8660.42,8668.13
2015-04-21,8443.62,8444.54,8446.95,8447.19,8445.89,8448.09,8443.69,8438.06,8432.76,8426.38,8420.45,8417.23,8413.08,8408.43,8405.88,8404.69,8401.54,8402.14,8405.66,8411.45,8415.05,8419.14,8424.74,8426.81,8428.05,8432.62,8435.76,8436.87,8439.74,8442.41,8442.97,8443.39,8443.07,8443.4,8442.33,8438.96,8435.18,8430.28,8426.92,8427.25,8429.5,8432.86,8439.77,8445.85,8447.92,8449.73,8451.77,8451.11,8447.08,8446.08,8446.72,8444.08,8440.21,8437.08,8435.06,8432.79,8432.58,8431.6,8433.36,8433.22,8434.36,8434.24,8434.1,8430.99,8429.81,8423.75,8414.32,8408.59,8403.34,8394.05,8384.7,8380.66,8376.32,8376.14,8379.99
2015-04-28,8211.53,8210.4,8211.78,8214.2,8216.34,8219.14,8220.75,8224.13,8227.36,8234.89,8240.28,8243.86,8245.44,8249.96,8251.82,8254.18,8257.52,8259.21,8255.02,8250.18,8245.36,8242.61,8241.61,8243.47,8245.1,8245.67,8243.51,8241.85,8238.63,8236.23,8233.81,8229.54,8224.86,8218.62,8213.28,8209.65,8210.52,8211.8,8214.31,8216.84,8218.59,8218.47,8217.57,8218.42,8219.13,8218.91,8218.43,8215.31,8210.6,8206.89,8204.23,8201.83,8201.48,8202.61,8208.08,8213.5,8216.34,8219.04,8220.64,8217.44,8215.48,8216.14,8217.48,8223.15,8227.28,8233.35,8244.05,8259.23,8267.24,8280.96,8290.4,8295.01,8290.38,8287.1,8279.21
